,0,1,2,3,4,5
0,21.633,18.923,17.52,16.233,20.228,22.865
1,33.805,36.205,35.905,32.905,34.205,38.863
2,37.639,38.839,41.839,38.839,45.739,46.939
3,42.196,35.596,38.596,42.196,36.496,40.096
4,24.396,40.728,26.396,31.996,29.316,55.796
5,11.787,29.363,24.987,26.087,17.367,71.367
6,16.899,27.395,26.544,42.709,22.299,39.869
7,48.6,49.5,43.755,28.83,58.9,48.3
8,22.273,33.497,44.021,41.543,47.168,36.749
9,32.817,31.601,66.267,70.601,29.472,28.737
10,26.912,40.328,43.664,60.662,44.112,38.907
11,14.857,42.719,49.813,60.185,31.159,47.909
12,24.004,37.716,56.11,48.722,29.082,54.711
13,28.027,42.035,53.693,59.797,25.459,60.457
14,26.581,29.217,59.741,27.807,43.885,18.233
15,26.305,37.241,36.735,29.494,46.051,31.44
16,41.233,50.551,58.161,33.284,30.063,27.896
17,42.627,51.693,73.097,40.94,71.397,34.66
18,52.157,57.947,48.743,40.583,65.077,51.72
19,43.844,41.578,33.602,68.068,62.078,43.006
20,74.905,46.361,51.937,29.042,33.237,39.069
21,80.656,67.121,57.313,55.698,70.538,27.369
22,55.329,58.568,25.174,55.592,61.469,32.933
23,68.722,85.209,34.147,71.827,55.728,34.065
24,82.496,53.518,38.723,65.865,61.415,43.221
25,50.16,44.479,31.663,40.379,58.815,44.018
26,34.458,37.691,51.294,32.055,22.11,61.168
27,25.546,64.365,43.191,32.57,27.864,51.191
28,61.613,48.139,22.797,16.058,40.833,48.623
29,60.063,29.453,17.909,36.689,26.523,63.103
30,57.761,18.431,23.231,52.98,17.314,26.413
31,45.641,14.919,25.721,39.531,21.319,42.272
32,70.204,32.487,43.512,46.023,36.309,38.916
33,62.449,29.949,55.911,43.257,58.083,40.608
34,76.927,46.179,49.791,51.559,63.085,47.579
35,43.806,35.48,35.918,42.09,74.421,53.771
36,36.76,45.331,41.965,39.778,31.463,41.826
37,29.588,42.284,60.6,57.643,48.811,48.652
38,53.942,47.132,46.112,62.047,55.604,52.181
39,30.228,48.828,50.165,24.293,48.917,56.343
40,37.552,43.782,65.312,16.769,58.379,55.744
41,40.76,41.944,46.022,23.188,26.034,34.534
42,49.312,54.071,31.02,25.558,36.647,24.556
43,56.561,31.536,25.021,29.363,46.064,10.635
44,33.239,25.085,39.453,33.889,26.414,28.167
45,30.182,33.21,42.976,55.528,28.554,34.8
46,15.726,58.794,37.59,38.756,43.532,47.133
47,10.419,36.579,19.94,34.089,24.562,26.187
