,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.54,0.0,0.0,0.0,20759029.0,665363.0,311067115.2,0.0
1,1.48,0.04,0.02,23107.28,20759029.0,639267.54,303985569.85,0.0243
2,1.43,0.07,0.04,50020.39,20759029.0,618882.95,300116800.42,0.0194
3,1.4,0.09,0.04,70884.13,20759029.0,606014.95,298388357.95,0.0123
4,1.37,0.11,0.05,95887.1,20759029.0,590453.36,296813982.29,0.0148
5,1.34,0.13,0.05,102383.62,20759029.0,579338.64,295952555.79,0.0119
6,1.32,0.14,0.05,108934.52,20759029.0,570138.42,295342346.7,0.0097
7,1.3,0.15,0.05,114431.94,20759029.0,563334.26,294995457.78,0.0075
8,1.27,0.17,0.05,122388.2,20759029.0,551070.18,294471417.88,0.0129
9,1.26,0.18,0.05,127267.95,20759029.0,542861.19,294178065.64,0.0087
10,1.24,0.19,0.06,131868.05,20759029.0,536382.57,293954895.74,0.0076
11,1.22,0.21,0.06,135635.0,20759029.0,528392.91,293744836.88,0.0096
12,1.21,0.21,0.06,139969.92,20759029.0,523845.94,293625948.91,0.006
13,1.19,0.22,0.06,145362.93,20759029.0,516574.61,293467494.22,0.0075
14,1.19,0.23,0.06,148138.68,20759029.0,512969.46,293411951.29,0.0048
15,1.18,0.23,0.06,150091.85,20759029.0,509899.44,293363053.41,0.0043
16,1.17,0.24,0.06,152726.87,20759029.0,507936.98,293334377.0,0.003
17,1.17,0.24,0.06,154232.01,20759029.0,506667.47,293313095.3,0.0025
18,1.17,0.24,0.06,154735.62,20759029.0,505149.01,293294949.96,0.0026
19,1.17,0.24,0.06,155523.76,20759029.0,504139.23,293285034.09,0.002
20,1.16,0.24,0.06,156323.56,20759029.0,503131.47,293275252.7,0.0019
21,1.16,0.25,0.06,157079.23,20759029.0,502125.72,293266253.79,0.0019
22,1.16,0.25,0.06,157730.2,20759029.0,500120.26,293249752.16,0.0031
23,1.15,0.25,0.06,159130.91,20759029.0,498621.42,293237381.7,0.0025
24,1.15,0.25,0.06,159511.61,20759029.0,497624.69,293231100.33,0.002
25,1.15,0.25,0.06,160182.48,20759029.0,496629.95,293226108.76,0.002
26,1.14,0.26,0.06,160635.09,20759029.0,495141.57,293218295.62,0.0026
27,1.14,0.26,0.06,160783.09,20759029.0,494151.8,293212169.59,0.0019
28,1.14,0.26,0.06,161300.0,20759029.0,492670.35,293205332.51,0.002
29,1.14,0.26,0.06,161520.14,20759029.0,492177.69,293202332.18,0.0014
30,1.14,0.26,0.06,161891.31,20759029.0,491689.13,293199579.4,0.0014
31,1.14,0.26,0.06,162308.3,20759029.0,491208.45,293197935.48,0.0014
32,1.13,0.26,0.06,162661.36,20759029.0,490717.25,293196086.97,0.0014
33,1.08,0.3,0.06,155439.8,20759029.0,468600.33,293158571.85,0.0088
34,1.08,0.3,0.06,156988.71,20759029.0,467664.34,293149588.2,0.002
35,1.08,0.3,0.06,157691.65,20759029.0,466729.59,293145098.72,0.0019
36,1.08,0.3,0.06,158382.99,20759029.0,465796.7,293141603.37,0.002
37,1.07,0.3,0.06,158667.58,20759029.0,464865.68,293139453.87,0.0019
38,1.07,0.3,0.06,158953.68,20759029.0,463936.52,293137078.12,0.002
39,1.07,0.3,0.06,159264.55,20759029.0,463472.63,293135650.49,0.0014
40,1.07,0.3,0.06,159593.87,20759029.0,463009.21,293134472.64,0.0014
41,1.07,0.3,0.06,159593.87,20759029.0,463009.21,293134472.64,0.0008
