,0,1,2,3,4,5
0,4250.123,4580.057,4293.594,4469.282,4545.592,4514.198
1,3946.762,4079.826,3894.06,4013.055,4059.942,4079.042
2,3839.901,4029.108,3970.25,4082.859,4025.558,3956.119
3,3513.426,4865.159,4755.774,4855.096,4839.751,4598.495
4,3512.253,4051.827,4083.061,4018.201,4016.04,3998.23
5,3626.273,4170.475,4104.852,4012.892,4024.007,4242.119
6,3293.055,4807.094,4634.63,4752.921,4506.966,5004.118
7,3259.368,3955.478,3880.764,3938.305,3810.678,4047.614
8,3598.041,4269.765,4407.053,4342.563,4363.023,4220.499
9,3542.365,4550.724,4667.164,4805.735,4539.861,4525.608
10,3633.451,4179.075,4270.874,4394.945,4192.77,4161.19
11,3834.84,4237.218,4352.689,4323.219,4229.78,4165.503
12,4031.685,4063.122,4156.663,4316.847,4195.875,4085.028
13,4222.762,3943.961,3967.74,4087.523,4073.607,3959.184
14,4647.129,4309.752,4295.225,4291.374,4336.908,4254.393
15,4662.386,4345.031,4367.076,4313.262,4313.016,4267.554
16,4755.344,4421.223,4444.528,4373.532,4532.734,4438.912
17,4695.699,4373.732,4288.623,4367.817,4449.774,4315.308
18,4693.353,4364.297,4315.563,4362.774,4405.11,4378.076
19,4867.417,4571.336,4507.711,4520.609,4537.991,4571.983
20,4485.669,4188.32,4133.357,4167.024,4185.645,4262.232
21,4534.365,4246.814,4191.842,4206.3,4171.853,4282.324
22,4435.675,4197.076,4121.039,4175.888,4159.056,4237.485
23,4493.949,4235.813,4224.511,4187.363,4228.872,4214.411
24,4549.747,4197.248,4279.507,4207.006,4273.664,4177.181
25,4901.884,4546.729,4587.847,4500.246,4554.506,4522.95
26,4594.466,4234.162,4300.522,4231.127,4243.966,4321.938
27,4432.983,4394.349,4449.714,4499.736,4326.816,4462.573
28,4171.213,4254.883,4191.41,4254.184,4030.656,4219.936
29,4322.672,4105.25,4068.56,4050.944,4017.638,4098.728
30,4713.719,4395.472,4398.382,4394.939,4366.709,4428.393
31,4551.164,4276.371,4221.046,4200.574,4194.39,4224.429
32,4899.565,4497.021,4591.222,4442.544,4511.33,4536.437
33,5099.875,4649.967,4779.579,4733.152,4707.034,4701.618
34,5041.025,4682.258,4707.222,4633.01,4719.608,4596.942
35,5079.61,4699.284,4709.33,4638.488,4753.938,4704.297
36,5258.744,4874.861,4846.881,4787.61,4902.281,4941.37
37,5128.841,4747.306,4781.27,4703.364,4813.175,4816.391
38,5035.607,4731.253,4661.055,4644.771,4748.66,4698.807
39,5098.933,4793.871,4759.397,4620.689,4798.223,4733.637
40,4934.536,4675.934,4532.126,4552.499,4718.961,4603.965
41,4473.558,4456.587,4595.159,4462.549,4532.444,4521.893
42,4122.818,4093.193,4233.573,4234.279,4075.557,4212.79
43,4281.949,4057.509,4115.36,3999.065,4047.674,4029.952
44,4575.023,4262.321,4285.214,4183.393,4309.121,4283.915
45,4315.38,4048.212,4006.602,4015.907,4126.191,4141.776
46,3905.564,4887.318,5109.66,5102.147,5017.154,4796.577
47,3661.216,3927.741,3986.102,4053.774,3991.278,3969.263
