,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.44,0.0,0.0,0.0,41659355.0,1253581.0,623902116.6,0.0
1,1.42,0.02,0.01,47285.89,41659355.0,1229975.03,617061799.43,0.0124
2,1.37,0.05,0.02,120692.81,41659355.0,1192412.68,608358126.65,0.0206
3,1.35,0.06,0.03,155588.48,41659355.0,1173476.82,605356204.62,0.011
4,1.33,0.08,0.03,189102.37,41659355.0,1152532.17,602403526.51,0.0118
5,1.31,0.09,0.04,201455.09,41659355.0,1141057.79,601321727.13,0.0067
6,1.3,0.1,0.04,219618.35,41659355.0,1124061.59,600081245.19,0.0104
7,1.28,0.11,0.04,232212.93,41659355.0,1110646.2,599413159.49,0.0078
8,1.27,0.12,0.04,240018.96,41659355.0,1101792.38,598823802.81,0.0061
9,1.25,0.13,0.04,246478.26,41659355.0,1085382.92,598305522.87,0.0095
10,1.24,0.14,0.04,258927.76,41659355.0,1074580.71,597985063.59,0.0073
11,1.24,0.14,0.04,258927.76,41659355.0,1074580.71,597985063.59,0.0009
