,0,1,2,3,4,5
0,14.0,14.3,14.6,17.0,14.3,15.8
1,14.0,14.8,36.3,36.3,22.1,22.1
2,14.0,14.0,14.8,14.2,14.2,14.3
3,14.3,15.1,14.3,14.4,14.2,14.6
4,14.0,14.3,14.0,14.6,14.0,14.2
5,14.0,14.0,14.0,14.0,14.0,14.0
6,14.1,17.8,17.0,15.8,15.4,14.1
7,14.3,14.3,14.2,14.3,14.2,14.0
8,17.0,15.1,15.1,14.6,14.8,15.8
9,14.0,14.8,20.3,14.5,14.5,18.9
10,14.0,14.0,14.1,14.0,14.0,14.0
11,14.2,14.8,18.9,16.3,17.8,14.3
12,14.0,14.3,14.3,14.1,14.5,14.0
13,18.9,14.5,14.2,14.3,14.5,14.8
14,36.3,14.8,15.1,17.0,15.4,17.0
15,27.5,17.0,20.3,27.5,20.3,17.8
16,14.8,15.1,14.8,15.8,24.5,16.3
17,14.8,15.1,14.0,14.5,15.8,14.5
18,15.4,14.5,14.0,14.5,14.4,14.0
19,42.7,20.3,15.8,16.3,15.8,14.8
20,18.9,14.6,15.4,14.5,14.3,14.8
21,20.3,14.6,15.4,14.6,14.4,14.5
22,230.4,50.9,75.2,24.5,24.5,18.9
23,17.0,14.5,14.8,14.6,14.6,14.0
24,17.8,14.5,14.3,15.1,14.8,14.6
25,61.6,17.8,15.1,15.8,15.8,15.8
26,92.8,50.9,24.5,24.5,36.3,61.6
27,14.6,14.2,14.0,14.2,14.3,14.5
28,14.3,17.0,42.7,15.1,22.1,20.3
29,14.0,17.0,27.5,14.8,17.8,17.0
30,14.0,14.8,22.1,14.8,14.8,17.8
31,14.1,14.5,14.6,14.0,14.3,15.4
32,15.4,14.4,14.3,14.5,14.5,14.5
33,14.8,14.8,14.2,14.8,16.3,14.6
34,14.6,15.1,15.4,14.6,17.0,15.4
35,14.8,14.0,14.1,14.2,14.3,14.2
36,27.5,15.1,14.2,17.0,15.1,14.8
37,20.3,14.8,14.0,15.4,14.5,14.5
38,18.9,14.6,14.5,14.5,14.5,14.6
39,15.8,15.8,14.8,14.6,15.1,24.5
40,14.4,14.0,14.0,14.0,14.0,14.3
41,14.2,14.2,14.0,14.6,14.3,14.6
42,14.0,14.3,14.2,15.4,14.6,14.5
43,14.0,14.0,14.0,14.0,14.0,14.0
44,14.8,15.4,15.1,14.5,14.8,17.0
45,14.0,15.4,14.2,14.0,14.0,14.0
46,14.0,14.8,14.5,14.1,14.2,14.3
47,14.0,14.0,14.1,14.0,14.0,14.2
