,0,1,2,3,4,5
0,22.1,31.3,24.5,31.3,31.3,27.5
1,24.5,31.3,24.5,36.3,24.5,31.3
2,20.3,27.5,22.1,36.3,20.3,42.7
3,15.4,31.3,31.3,22.1,22.1,27.5
4,15.8,24.5,31.3,36.3,24.5,24.5
5,15.4,24.5,27.5,27.5,36.3,24.5
6,14.8,24.5,24.5,36.3,31.3,31.3
7,14.4,31.3,31.3,24.5,36.3,24.5
8,14.6,36.3,36.3,22.1,31.3,31.3
9,14.6,36.3,42.7,22.1,36.3,24.5
10,15.4,31.3,31.3,31.3,36.3,61.6
11,17.8,31.3,31.3,27.5,27.5,92.8
12,22.1,36.3,36.3,24.5,31.3,24.5
13,24.5,36.3,31.3,24.5,27.5,27.5
14,24.5,31.3,27.5,27.5,31.3,22.1
15,75.2,31.3,31.3,36.3,22.1,27.5
16,92.8,31.3,36.3,36.3,22.1,24.5
17,36.3,24.5,27.5,27.5,24.5,24.5
18,36.3,24.5,27.5,24.5,27.5,31.3
19,42.7,22.1,36.3,27.5,31.3,31.3
20,36.3,24.5,24.5,36.3,36.3,31.3
21,36.3,36.3,27.5,31.3,36.3,31.3
22,61.6,36.3,31.3,36.3,42.7,31.3
23,31.3,36.3,22.1,31.3,31.3,31.3
24,31.3,24.5,31.3,27.5,27.5,36.3
25,36.3,24.5,27.5,31.3,31.3,24.5
26,42.7,31.3,24.5,36.3,50.9,27.5
27,36.3,31.3,24.5,36.3,42.7,24.5
28,61.6,24.5,31.3,27.5,31.3,24.5
29,42.7,27.5,27.5,31.3,50.9,22.1
30,50.9,24.5,31.3,27.5,36.3,24.5
31,61.6,22.1,31.3,31.3,31.3,31.3
32,115.5,27.5,31.3,31.3,27.5,36.3
33,230.4,42.7,31.3,27.5,27.5,36.3
34,230.4,50.9,27.5,42.7,36.3,50.9
35,182.1,42.7,27.5,31.3,36.3,31.3
36,115.5,36.3,50.9,36.3,31.3,36.3
37,144.6,36.3,50.9,31.3,31.3,36.3
38,182.1,50.9,42.7,31.3,31.3,36.3
39,92.8,31.3,36.3,27.5,24.5,24.5
40,92.8,31.3,36.3,24.5,27.5,27.5
41,115.5,27.5,42.7,24.5,31.3,31.3
42,36.3,24.5,50.9,27.5,27.5,31.3
43,24.5,36.3,22.1,42.7,31.3,27.5
44,27.5,36.3,22.1,42.7,31.3,36.3
45,24.5,36.3,31.3,36.3,31.3,36.3
46,22.1,24.5,42.7,36.3,24.5,36.3
47,16.3,20.3,36.3,36.3,27.5,27.5
