,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.16,0.0,0.0,0.0,162933601.0,3951317.0,3145919230.6,0.0
1,1.15,0.01,0.04,176143.66,162933601.0,3900256.97,3032713914.3,0.01
2,1.13,0.03,0.07,404844.68,162933601.0,3830645.91,2910285792.83,0.0139
3,1.12,0.04,0.09,490966.53,162933601.0,3792511.39,2860977899.88,0.0079
4,1.11,0.05,0.1,648299.98,162933601.0,3759567.72,2821131564.41,0.0079
5,1.1,0.06,0.11,717221.81,162933601.0,3733349.6,2790636545.21,0.0058
6,1.11,0.05,0.12,760932.51,162933601.0,3770614.48,2779193710.7,0.0044
7,1.11,0.05,0.12,800612.01,162933601.0,3764289.36,2765227380.31,0.0045
8,1.1,0.05,0.12,865287.81,162933601.0,3742336.46,2754338173.06,0.0052
9,1.1,0.05,0.12,865287.81,162933601.0,3742336.46,2754338173.06,0.001
