,0,1,2,3,4,5
0,3280.202,3523.022,3575.75,3528.814,3444.081,3522.78
1,3042.131,3425.764,3588.651,3453.393,3380.853,3410.407
2,2845.713,3128.615,3075.263,3075.175,3089.159,3011.35
3,2750.175,3426.705,3396.605,3645.422,3587.908,3397.272
4,2789.722,3335.118,3497.671,3535.451,3594.302,3560.794
5,2654.289,3084.386,3174.582,3012.65,3121.656,3280.65
6,2410.343,3547.597,3486.701,3358.217,3393.562,3589.444
7,2407.07,3389.203,3355.757,3463.277,3433.387,3589.934
8,2712.871,3015.498,3119.504,3143.569,3130.736,3244.988
9,2696.478,3524.972,3461.636,3525.863,3533.937,3783.459
10,2649.543,3457.221,3375.299,3378.109,3602.171,3847.919
11,3025.37,3160.892,3291.786,3152.989,3318.575,3344.017
12,3336.788,3207.911,3410.477,3345.548,3427.025,3285.114
13,3367.002,3225.06,3290.313,3324.181,3396.388,3253.898
14,3442.749,3262.285,3214.212,3205.241,3225.012,3233.015
15,3604.198,3334.665,3254.215,3283.934,3276.556,3304.456
16,3776.159,3486.945,3410.092,3443.427,3376.61,3390.7
17,3550.324,3251.683,3259.418,3245.918,3207.242,3169.482
18,3456.327,3176.586,3136.064,3206.201,3120.61,3111.326
19,3664.234,3409.738,3311.992,3471.462,3276.162,3234.942
20,3727.277,3430.759,3444.428,3441.435,3385.7,3314.241
21,3684.929,3387.902,3412.106,3393.217,3385.334,3396.348
22,3791.409,3471.025,3501.182,3500.116,3383.536,3460.809
23,3681.111,3460.964,3438.749,3390.834,3329.561,3356.434
24,3832.684,3531.115,3471.038,3556.856,3525.005,3559.193
25,3572.488,3250.953,3233.96,3346.536,3307.488,3253.432
26,3586.424,3427.661,3435.096,3389.389,3369.51,3285.45
27,3444.417,3375.871,3357.047,3327.97,3458.26,3221.511
28,3425.557,3255.642,3223.407,3275.041,3384.69,3204.804
29,3475.241,3208.468,3227.027,3244.612,3256.365,3191.868
30,3730.444,3428.403,3484.91,3469.206,3386.637,3450.866
31,3896.085,3612.217,3589.699,3721.531,3601.421,3590.617
32,3801.426,3487.898,3465.529,3584.515,3448.735,3526.411
33,3583.002,3291.784,3289.468,3297.477,3259.435,3300.169
34,3541.232,3219.822,3290.534,3176.942,3244.266,3255.29
35,3641.966,3260.859,3378.122,3363.523,3387.365,3367.502
36,4012.472,3672.057,3817.333,3725.21,3679.008,3673.664
37,3971.902,3706.657,3774.59,3647.704,3617.222,3648.744
38,3684.189,3469.922,3389.594,3424.303,3296.326,3362.189
39,3738.133,3507.551,3466.02,3506.334,3360.979,3361.095
40,3666.023,3429.465,3399.692,3392.939,3393.791,3221.359
41,3802.732,3573.002,3529.3,3523.044,3486.676,3447.139
42,3729.685,3478.723,3423.872,3485.721,3385.534,3428.502
43,3647.605,3629.682,3550.154,3573.824,3615.468,3617.924
44,3176.025,3352.855,3221.302,3253.729,3320.732,3295.796
45,3061.828,3185.615,3124.958,3069.074,3117.052,3112.868
46,3107.688,3830.722,3809.02,3593.878,3982.152,3896.765
47,2982.863,3147.065,3024.4,2984.724,3154.345,3091.588
