,0,1,2,3,4,5
0,24.5,61.6,61.6,50.9,61.6,36.3
1,22.1,92.8,61.6,61.6,50.9,42.7
2,17.8,36.3,36.3,27.5,31.3,75.2
3,20.3,61.6,42.7,36.3,36.3,50.9
4,22.1,92.8,50.9,50.9,36.3,50.9
5,16.3,92.8,50.9,50.9,36.3,50.9
6,15.8,61.6,61.6,50.9,50.9,61.6
7,17.8,61.6,36.3,61.6,50.9,36.3
8,15.8,61.6,31.3,50.9,115.5,36.3
9,17.0,27.5,36.3,31.3,36.3,31.3
10,17.8,31.3,50.9,42.7,31.3,36.3
11,18.9,42.7,36.3,50.9,31.3,31.3
12,24.5,42.7,36.3,50.9,50.9,36.3
13,27.5,31.3,36.3,36.3,61.6,50.9
14,42.7,31.3,42.7,50.9,61.6,61.6
15,92.8,36.3,42.7,42.7,36.3,50.9
16,115.5,42.7,42.7,42.7,36.3,50.9
17,61.6,36.3,36.3,36.3,42.7,50.9
18,230.4,61.6,75.2,61.6,50.9,92.8
19,230.4,61.6,75.2,75.2,61.6,75.2
20,144.6,50.9,61.6,50.9,50.9,50.9
21,230.4,50.9,61.6,75.2,50.9,61.6
22,115.5,36.3,36.3,42.7,50.9,36.3
23,92.8,36.3,61.6,50.9,50.9,50.9
24,42.7,42.7,61.6,50.9,75.2,50.9
25,61.6,36.3,36.3,50.9,50.9,36.3
26,92.8,36.3,36.3,36.3,36.3,50.9
27,36.3,50.9,36.3,42.7,61.6,50.9
28,61.6,36.3,36.3,50.9,50.9,36.3
29,92.8,36.3,42.7,50.9,50.9,36.3
30,61.6,61.6,61.6,36.3,50.9,36.3
31,144.6,42.7,36.3,50.9,42.7,50.9
32,115.5,42.7,36.3,50.9,50.9,36.3
33,115.5,42.7,42.7,36.3,61.6,42.7
34,230.4,75.2,61.6,61.6,75.2,75.2
35,230.4,61.6,92.8,75.2,61.6,75.2
36,230.4,75.2,50.9,61.6,50.9,61.6
37,230.4,50.9,50.9,50.9,50.9,50.9
38,182.1,50.9,50.9,50.9,50.9,42.7
39,144.6,50.9,61.6,36.3,50.9,50.9
40,92.8,50.9,50.9,61.6,50.9,50.9
41,61.6,50.9,42.7,50.9,36.3,42.7
42,61.6,42.7,36.3,42.7,36.3,50.9
43,61.6,36.3,36.3,36.3,42.7,50.9
44,24.5,61.6,115.5,36.3,42.7,50.9
45,31.3,50.9,75.2,36.3,61.6,61.6
46,36.3,50.9,61.6,50.9,36.3,50.9
47,24.5,50.9,36.3,50.9,24.5,50.9
