,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.97,0.0,0.0,0.0,1581424.0,65014.0,23994869.1,0.0
1,1.74,0.12,0.06,16024.32,1581424.0,57197.26,22656113.44,0.0352
2,1.63,0.17,0.07,28331.52,1581424.0,53729.28,22406188.95,0.0299
3,1.61,0.18,0.07,31914.76,1581424.0,53194.45,22365886.93,0.0165
4,1.54,0.22,0.07,38489.28,1581424.0,50792.24,22270266.52,0.0251
5,1.56,0.21,0.07,39327.33,1581424.0,51487.0,22268229.53,0.0066
6,1.47,0.25,0.07,44577.28,1581424.0,48498.46,22218274.67,0.0216
7,1.38,0.3,0.07,47887.36,1581424.0,45453.72,22196919.82,0.0156
8,1.28,0.35,0.08,51375.06,1581424.0,42227.79,22180171.55,0.0135
9,1.25,0.36,0.08,53100.63,1581424.0,41318.56,22174295.4,0.0082
10,1.27,0.36,0.08,54149.42,1581424.0,41766.36,22171356.72,0.0054
11,1.29,0.34,0.08,54634.39,1581424.0,42633.59,22170484.38,0.0023
12,1.24,0.37,0.08,56299.01,1581424.0,41006.33,22166198.34,0.0075
13,1.23,0.37,0.08,57400.91,1581424.0,40671.3,22163554.5,0.0074
14,1.21,0.39,0.08,58274.29,1581424.0,39945.85,22161752.41,0.0044
15,1.24,0.37,0.08,58709.5,1581424.0,40689.01,22161041.22,0.0057
16,1.24,0.37,0.08,59049.23,1581424.0,40999.73,22160322.58,0.0056
17,1.2,0.39,0.08,59727.41,1581424.0,39695.53,22158587.93,0.0058
18,1.2,0.39,0.08,59819.37,1581424.0,39623.38,22158459.88,0.0017
19,1.2,0.39,0.08,59819.37,1581424.0,39623.38,22158459.88,0.0006
