,0,1,2,3,4,5
0,20.3,24.5,24.5,27.5,24.5,24.5
1,15.8,24.5,22.1,36.3,22.1,22.1
2,15.4,22.1,22.1,36.3,20.3,24.5
3,14.8,27.5,24.5,27.5,24.5,36.3
4,15.1,22.1,24.5,31.3,31.3,31.3
5,15.1,22.1,31.3,31.3,24.5,31.3
6,14.6,31.3,22.1,36.3,24.5,24.5
7,14.8,24.5,24.5,31.3,36.3,20.3
8,15.1,31.3,27.5,50.9,31.3,20.3
9,15.4,24.5,22.1,36.3,24.5,20.3
10,15.8,27.5,27.5,24.5,31.3,22.1
11,15.4,42.7,31.3,31.3,27.5,36.3
12,18.9,36.3,27.5,27.5,24.5,31.3
13,31.3,24.5,31.3,24.5,36.3,31.3
14,36.3,27.5,24.5,24.5,31.3,27.5
15,92.8,27.5,27.5,24.5,24.5,24.5
16,92.8,24.5,31.3,24.5,24.5,31.3
17,42.7,24.5,31.3,31.3,24.5,24.5
18,50.9,27.5,27.5,27.5,27.5,31.3
19,61.6,24.5,22.1,24.5,27.5,31.3
20,42.7,27.5,22.1,22.1,31.3,24.5
21,50.9,27.5,27.5,24.5,27.5,24.5
22,24.5,31.3,31.3,24.5,36.3,27.5
23,22.1,31.3,27.5,24.5,36.3,22.1
24,27.5,24.5,27.5,24.5,27.5,27.5
25,24.5,24.5,27.5,24.5,24.5,31.3
26,50.9,24.5,27.5,24.5,27.5,24.5
27,42.7,31.3,27.5,27.5,31.3,31.3
28,36.3,24.5,36.3,27.5,27.5,27.5
29,36.3,24.5,36.3,27.5,27.5,36.3
30,31.3,27.5,27.5,24.5,36.3,24.5
31,42.7,24.5,27.5,27.5,36.3,31.3
32,61.6,24.5,24.5,24.5,31.3,24.5
33,61.6,31.3,27.5,27.5,31.3,24.5
34,61.6,24.5,24.5,24.5,24.5,27.5
35,92.8,24.5,24.5,24.5,24.5,31.3
36,92.8,24.5,27.5,22.1,27.5,31.3
37,144.6,36.3,27.5,27.5,31.3,31.3
38,230.4,50.9,36.3,36.3,36.3,42.7
39,230.4,42.7,42.7,36.3,36.3,36.3
40,144.6,27.5,27.5,24.5,27.5,31.3
41,50.9,22.1,27.5,31.3,24.5,22.1
42,50.9,24.5,27.5,24.5,22.1,27.5
43,24.5,42.7,24.5,24.5,22.1,27.5
44,22.1,36.3,27.5,24.5,24.5,31.3
45,24.5,24.5,27.5,27.5,24.5,31.3
46,24.5,24.5,31.3,27.5,24.5,27.5
47,17.0,24.5,24.5,24.5,24.5,24.5
