,0,1,2,3,4,5
0,1697.804,1689.819,1702.092,1764.021,1599.913,1585.131
1,1528.284,1800.417,1693.016,1672.466,1609.79,1638.436
2,1505.52,1769.808,1725.05,1686.279,1628.017,1689.312
3,1406.915,1708.587,1783.8,1648.293,1608.617,1721.345
4,1427.346,1710.903,1889.626,1784.497,1631.358,1692.866
5,1372.576,1775.204,1634.508,1656.249,1864.599,1639.842
6,1334.736,1673.89,1636.484,1702.284,1884.372,1738.637
7,1432.215,1901.743,1723.764,1821.501,1703.445,1790.692
8,1277.771,1694.973,1697.816,1769.676,1689.704,1764.305
9,1256.442,1502.701,1723.698,1634.593,1780.495,1592.319
10,1411.392,1547.554,1789.562,1700.166,1631.732,1775.22
11,1589.456,1608.48,1655.844,1672.056,1582.774,1687.316
12,1645.737,1732.207,1736.162,1769.755,1720.585,1639.04
13,1688.753,1701.391,1757.469,1807.993,1734.081,1693.011
14,1789.792,1755.965,1759.633,1742.272,1761.437,1724.045
15,1710.394,1759.36,1717.303,1683.22,1733.268,1665.627
16,1631.655,1723.1,1728.124,1718.856,1774.792,1606.723
17,1800.181,1722.855,1684.929,1817.673,1701.845,1699.45
18,1763.925,1715.531,1605.452,1782.931,1671.726,1681.081
19,2008.86,1681.34,1719.045,1705.882,1730.315,1737.041
20,1894.476,1814.791,1738.297,1759.557,1707.406,1737.538
21,1941.96,1701.397,1775.869,1793.563,1710.048,1744.099
22,1911.552,1711.34,1693.649,1667.487,1682.109,1705.649
23,2021.619,1641.981,1775.815,1651.568,1645.554,1688.616
24,1749.957,1739.491,1638.232,1552.013,1744.784,1811.236
25,1819.066,1745.776,1697.311,1702.663,1786.852,1811.343
26,1773.265,1716.674,1742.084,1652.727,1788.288,1760.099
27,1921.425,1693.725,1713.232,1804.591,1702.209,1711.312
28,1947.349,1644.778,1683.381,1826.811,1751.658,1718.575
29,1702.476,1621.942,1658.647,1853.158,1715.542,1748.595
30,1792.95,1717.124,1714.655,1683.165,1713.164,1755.816
31,1930.755,1759.967,1724.669,1668.464,1778.645,1766.147
32,1983.455,1843.39,1747.78,1723.896,1812.757,1712.18
33,1866.836,1835.73,1669.669,1640.534,1720.415,1673.191
34,2108.741,1810.579,1726.47,1737.124,1727.025,1727.548
35,2222.154,1835.715,1905.0,1859.074,1841.027,1858.159
36,1913.842,1724.748,1758.667,1698.501,1717.387,1813.535
37,1891.191,1694.945,1781.737,1668.125,1746.955,1841.6
38,1871.064,1739.527,1728.347,1714.168,1785.962,1835.897
39,1833.548,1753.836,1719.75,1768.983,1824.632,1797.102
40,1966.887,1740.836,1671.567,1683.739,1817.064,1705.946
41,1907.712,1808.65,1703.854,1671.62,1719.634,1684.863
42,1859.0,1791.548,1724.721,1659.57,1721.006,1702.545
43,1732.789,1776.694,1752.917,1718.982,1630.93,1787.526
44,1559.12,1697.087,1770.243,1743.424,1641.841,1766.817
45,1402.295,1596.81,1719.019,1870.931,1777.827,1807.116
46,1523.802,1741.154,1801.555,1828.339,1855.607,1720.902
47,1520.519,1773.496,1749.045,1706.119,1740.366,1694.168
