,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.3,0.0,0.0,0.0,85601741.0,2314632.0,1384332598.5,0.0
1,1.27,0.02,0.03,120784.0,85601741.0,2268776.51,1348505345.98,0.0165
2,1.25,0.04,0.04,194846.82,85601741.0,2232747.08,1327456132.19,0.0132
3,1.22,0.06,0.06,293978.64,85601741.0,2181952.66,1304632799.17,0.0176
4,1.21,0.07,0.07,363331.93,85601741.0,2151603.09,1293322979.49,0.0116
5,1.19,0.08,0.07,422974.6,85601741.0,2128054.97,1285916755.39,0.0094
6,1.18,0.09,0.07,463287.48,85601741.0,2107638.73,1280703520.21,0.0094
7,1.17,0.1,0.08,496595.89,85601741.0,2080403.22,1275187149.28,0.0108
8,1.16,0.11,0.08,516073.2,85601741.0,2067951.97,1272596161.69,0.0056
9,1.15,0.11,0.08,545716.2,85601741.0,2049414.67,1269680657.68,0.0078
10,1.14,0.12,0.08,566477.41,85601741.0,2039188.07,1268261743.92,0.0048
11,1.13,0.13,0.09,596982.29,85601741.0,2022931.55,1266209348.76,0.0072
12,1.13,0.13,0.09,612189.53,85601741.0,2012857.81,1265141232.69,0.0048
13,1.12,0.14,0.09,629708.2,85601741.0,1998828.81,1263782384.36,0.0063
14,1.11,0.14,0.09,641436.6,85601741.0,1987143.78,1263019774.33,0.0056
15,1.11,0.14,0.09,647247.69,85601741.0,1981188.31,1262553248.25,0.0033
16,1.1,0.15,0.09,660875.96,85601741.0,1969330.86,1261829323.06,0.0055
17,1.1,0.15,0.09,669958.19,85601741.0,1963428.77,1261408196.63,0.0034
18,1.1,0.15,0.09,674317.75,85601741.0,1959503.88,1261224302.39,0.0025
19,1.1,0.16,0.09,678460.12,85601741.0,1953631.25,1261011778.17,0.0033
20,1.09,0.16,0.09,681358.35,85601741.0,1949725.94,1260817825.86,0.0025
21,1.09,0.16,0.09,689341.41,85601741.0,1943887.35,1260617772.79,0.0033
22,1.09,0.16,0.09,691650.57,85601741.0,1941948.41,1260549411.62,0.0018
23,1.09,0.16,0.09,697599.18,85601741.0,1938066.45,1260413331.17,0.0025
24,1.09,0.16,0.09,699333.75,85601741.0,1936128.39,1260324352.53,0.0017
25,1.08,0.16,0.09,700561.02,85601741.0,1934192.26,1260262423.61,0.0017
26,1.08,0.17,0.09,701944.5,85601741.0,1932264.12,1260203708.37,0.0017
27,1.08,0.17,0.09,709149.19,85601741.0,1928533.9,1260076871.71,0.0025
28,1.08,0.17,0.09,711072.33,85601741.0,1926605.37,1260023629.12,0.0018
29,1.08,0.17,0.09,713311.04,85601741.0,1924678.77,1259987492.21,0.0018
30,1.08,0.17,0.09,714771.51,85601741.0,1922754.09,1259953610.45,0.0017
31,1.08,0.17,0.09,716840.42,85601741.0,1920831.33,1259924898.65,0.0018
32,1.08,0.17,0.09,718752.23,85601741.0,1918910.5,1259902060.25,0.0018
33,1.08,0.17,0.09,718752.23,85601741.0,1918910.5,1259902060.25,0.001
