,0,1,2,3,4,5
0,24.5,31.3,61.6,61.6,61.6,61.6
1,18.9,36.3,50.9,61.6,50.9,61.6
2,17.8,24.5,27.5,24.5,27.5,22.1
3,16.3,50.9,92.8,31.3,75.2,31.3
4,16.3,92.8,92.8,42.7,50.9,92.8
5,15.8,24.5,31.3,24.5,22.1,27.5
6,15.8,92.8,75.2,92.8,50.9,61.6
7,15.1,27.5,24.5,24.5,22.1,20.3
8,16.3,36.3,75.2,50.9,61.6,36.3
9,15.8,42.7,61.6,61.6,115.5,50.9
10,17.8,36.3,36.3,42.7,61.6,50.9
11,24.5,61.6,31.3,36.3,50.9,75.2
12,27.5,24.5,22.1,22.1,22.1,27.5
13,144.6,50.9,61.6,50.9,50.9,61.6
14,75.2,31.3,36.3,31.3,36.3,36.3
15,92.8,31.3,42.7,36.3,42.7,36.3
16,92.8,31.3,36.3,36.3,50.9,31.3
17,115.5,42.7,36.3,36.3,42.7,36.3
18,182.1,92.8,61.6,61.6,50.9,61.6
19,75.2,50.9,50.9,50.9,31.3,36.3
20,31.3,42.7,31.3,36.3,31.3,36.3
21,31.3,24.5,22.1,24.5,24.5,22.1
22,75.2,31.3,36.3,36.3,31.3,36.3
23,50.9,31.3,31.3,42.7,36.3,36.3
24,36.3,24.5,24.5,31.3,31.3,31.3
25,50.9,27.5,27.5,27.5,31.3,31.3
26,61.6,36.3,24.5,42.7,42.7,50.9
27,50.9,36.3,27.5,36.3,31.3,50.9
28,42.7,24.5,22.1,24.5,22.1,31.3
29,36.3,92.8,92.8,144.6,144.6,182.1
30,22.1,22.1,22.1,24.5,22.1,24.5
31,92.8,42.7,50.9,50.9,36.3,42.7
32,50.9,24.5,31.3,24.5,24.5,27.5
33,61.6,27.5,27.5,27.5,31.3,24.5
34,230.4,92.8,92.8,92.8,75.2,61.6
35,182.1,61.6,61.6,50.9,50.9,50.9
36,144.6,61.6,42.7,50.9,50.9,50.9
37,92.8,31.3,27.5,31.3,36.3,36.3
38,144.6,50.9,36.3,50.9,50.9,36.3
39,144.6,61.6,42.7,61.6,50.9,36.3
40,182.1,61.6,42.7,61.6,50.9,61.6
41,75.2,50.9,36.3,36.3,36.3,36.3
42,50.9,36.3,50.9,36.3,27.5,27.5
43,42.7,24.5,31.3,27.5,24.5,31.3
44,36.3,50.9,50.9,36.3,36.3,50.9
45,24.5,31.3,24.5,24.5,24.5,24.5
46,31.3,61.6,61.6,61.6,61.6,61.6
47,20.3,20.3,24.5,18.9,18.9,20.3
