,0,1,2,3,4
0,17.0,16.3,15.8,15.8,15.8
1,17.0,16.3,15.8,15.8,15.8
2,20.3,18.9,17.8,17.8,17.8
3,16.3,15.8,16.3,16.3,16.3
4,15.8,15.8,50.9,50.9,50.9
5,15.4,15.1,36.3,36.3,36.3
6,15.8,15.8,15.8,15.8,15.8
7,15.8,22.1,22.1,22.1,22.1
8,14.8,75.2,61.6,61.6,61.6
9,14.8,20.3,18.9,18.9,18.9
10,15.8,15.4,15.4,15.4,15.4
11,22.1,22.1,20.3,20.3,20.3
12,50.9,42.7,36.3,36.3,36.3
13,24.5,24.5,22.1,22.1,22.1
14,36.3,31.3,27.5,27.5,27.5
15,36.3,31.3,31.3,31.3,31.3
16,27.5,24.5,22.1,22.1,22.1
17,31.3,27.5,24.5,24.5,24.5
18,42.7,36.3,31.3,31.3,31.3
19,31.3,24.5,24.5,24.5,24.5
20,50.9,42.7,36.3,36.3,36.3
21,115.5,92.8,75.2,75.2,75.2
22,50.9,50.9,42.7,42.7,42.7
23,115.5,115.5,92.8,92.8,92.8
24,36.3,36.3,31.3,31.3,31.3
25,20.3,20.3,18.9,17.8,17.8
26,230.4,230.4,144.6,144.6,144.6
27,144.6,115.5,115.5,92.8,92.8
28,36.3,36.3,31.3,31.3,31.3
29,20.3,18.9,17.8,17.8,17.8
30,27.5,24.5,24.5,24.5,24.5
31,50.9,50.9,42.7,42.7,42.7
32,36.3,31.3,27.5,27.5,27.5
33,27.5,24.5,24.5,24.5,24.5
34,92.8,75.2,61.6,61.6,61.6
35,144.6,115.5,92.8,92.8,92.8
36,115.5,92.8,75.2,75.2,75.2
37,92.8,61.6,61.6,61.6,61.6
38,92.8,61.6,61.6,61.6,61.6
39,92.8,75.2,61.6,61.6,61.6
40,92.8,61.6,61.6,61.6,61.6
41,115.5,92.8,92.8,92.8,92.8
42,31.3,27.5,24.5,24.5,24.5
43,36.3,31.3,31.3,31.3,31.3
44,36.3,31.3,27.5,27.5,27.5
45,20.3,17.8,17.8,17.8,17.8
46,22.1,36.3,61.6,75.2,75.2
47,14.8,15.1,15.4,15.4,15.4
