,0,1,2,3,4,5,6,7,8,9,10,11
0,27.5,24.5,24.5,22.1,22.1,20.3,20.3,18.9,18.9,17.8,18.9,18.9
1,20.3,18.9,17.8,20.3,20.3,20.3,20.3,20.3,20.3,18.9,18.9,18.9
2,15.8,16.3,15.8,17.0,17.0,17.8,18.9,18.9,22.1,22.1,22.1,22.1
3,14.6,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
4,14.5,61.6,50.9,92.8,92.8,75.2,61.6,61.6,50.9,50.9,50.9,50.9
5,14.2,15.8,15.8,18.9,18.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3
6,15.8,15.8,17.0,17.0,16.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5
7,15.4,15.4,18.9,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0
8,14.8,15.4,50.9,50.9,42.7,36.3,61.6,50.9,50.9,42.7,42.7,42.7
9,14.8,14.8,17.8,17.8,17.8,17.0,31.3,31.3,27.5,27.5,27.5,27.5
10,17.8,17.0,17.0,17.0,17.0,17.0,17.8,17.8,17.0,17.0,17.0,17.0
11,20.3,18.9,17.8,20.3,50.9,50.9,36.3,36.3,31.3,31.3,31.3,31.3
12,16.3,15.8,15.8,15.8,24.5,24.5,22.1,22.1,22.1,24.5,24.5,24.5
13,20.3,20.3,18.9,17.8,17.8,17.8,17.0,17.0,17.0,17.8,17.8,17.8
14,31.3,24.5,24.5,24.5,22.1,22.1,20.3,20.3,17.8,17.8,17.8,17.8
15,31.3,27.5,24.5,24.5,22.1,22.1,22.1,24.5,36.3,36.3,36.3,36.3
16,20.3,18.9,17.8,17.8,17.0,17.0,17.0,17.0,24.5,22.1,22.1,22.1
17,27.5,24.5,22.1,22.1,22.1,20.3,18.9,18.9,17.8,17.8,17.8,17.8
18,36.3,31.3,31.3,27.5,24.5,24.5,22.1,22.1,20.3,20.3,20.3,20.3
19,31.3,31.3,27.5,24.5,24.5,22.1,20.3,20.3,27.5,24.5,24.5,24.5
20,24.5,24.5,22.1,22.1,20.3,20.3,18.9,17.8,31.3,31.3,27.5,27.5
21,24.5,22.1,20.3,20.3,20.3,17.8,17.8,17.8,20.3,20.3,18.9,18.9
22,31.3,27.5,24.5,24.5,22.1,22.1,20.3,20.3,18.9,18.9,18.9,18.9
23,22.1,22.1,20.3,20.3,20.3,22.1,20.3,31.3,27.5,27.5,24.5,24.5
24,17.8,17.0,17.0,17.0,17.0,17.8,17.0,31.3,27.5,27.5,27.5,27.5
25,22.1,20.3,18.9,18.9,17.8,17.8,17.0,18.9,17.8,17.8,17.8,17.8
26,36.3,31.3,27.5,24.5,24.5,22.1,22.1,20.3,20.3,20.3,18.9,18.9
27,61.6,50.9,50.9,42.7,36.3,36.3,31.3,31.3,24.5,24.5,24.5,24.5
28,24.5,24.5,22.1,22.1,20.3,20.3,27.5,27.5,24.5,24.5,24.5,24.5
29,20.3,18.9,17.8,17.8,17.8,17.0,20.3,20.3,24.5,24.5,24.5,24.5
30,22.1,20.3,20.3,20.3,18.9,17.8,17.8,17.0,17.8,17.8,17.8,17.8
31,50.9,50.9,42.7,36.3,36.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5
32,115.5,92.8,92.8,75.2,61.6,61.6,50.9,50.9,36.3,36.3,36.3,36.3
33,92.8,75.2,61.6,50.9,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3
34,230.4,230.4,144.6,144.6,115.5,115.5,92.8,75.2,61.6,61.6,61.6,61.6
35,230.4,182.1,144.6,144.6,115.5,115.5,92.8,75.2,61.6,61.6,61.6,61.6
36,61.6,50.9,50.9,42.7,36.3,36.3,31.3,31.3,24.5,24.5,24.5,24.5
37,31.3,27.5,24.5,24.5,24.5,22.1,20.3,20.3,18.9,18.9,18.9,18.9
38,92.8,61.6,61.6,50.9,50.9,42.7,36.3,31.3,31.3,31.3,31.3,31.3
39,50.9,42.7,36.3,36.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,22.1
40,50.9,42.7,36.3,36.3,31.3,31.3,27.5,24.5,22.1,22.1,22.1,22.1
41,50.9,42.7,36.3,36.3,31.3,31.3,24.5,24.5,22.1,22.1,22.1,22.1
42,24.5,24.5,22.1,27.5,27.5,42.7,50.9,61.6,75.2,75.2,92.8,92.8
43,17.0,16.3,15.8,16.3,16.3,17.0,17.0,17.0,17.0,17.0,17.0,17.0
44,20.3,20.3,20.3,20.3,31.3,31.3,50.9,42.7,36.3,36.3,36.3,36.3
45,16.3,15.8,15.8,15.8,17.0,17.0,20.3,20.3,20.3,20.3,20.3,20.3
46,22.1,20.3,20.3,18.9,18.9,17.8,18.9,18.9,20.3,20.3,20.3,20.3
47,24.5,22.1,20.3,20.3,20.3,18.9,17.8,17.8,17.8,17.8,17.8,17.8
