,0,1,2,3,4,5,6,7,8
0,36.3,31.3,27.5,24.5,24.5,24.5,22.1,24.5,24.5
1,27.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3
2,17.0,15.8,17.0,61.6,61.6,50.9,50.9,50.9,50.9
3,14.8,14.6,14.8,31.3,31.3,36.3,36.3,36.3,36.3
4,14.6,17.0,16.3,17.8,18.9,50.9,50.9,50.9,50.9
5,14.3,17.8,17.0,17.0,17.0,20.3,20.3,20.3,20.3
6,14.4,92.8,92.8,61.6,61.6,50.9,50.9,50.9,50.9
7,14.3,17.0,22.1,22.1,20.3,20.3,20.3,18.9,18.9
8,14.8,14.8,61.6,50.9,50.9,50.9,42.7,42.7,42.7
9,14.5,14.5,17.8,22.1,31.3,31.3,31.3,27.5,27.5
10,15.8,15.4,15.4,17.0,50.9,50.9,50.9,50.9,50.9
11,17.8,17.0,17.0,17.0,22.1,22.1,24.5,24.5,24.5
12,24.5,22.1,20.3,20.3,18.9,18.9,20.3,20.3,20.3
13,36.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,22.1
14,92.8,61.6,61.6,50.9,50.9,42.7,36.3,36.3,36.3
15,50.9,42.7,36.3,36.3,31.3,31.3,27.5,27.5,27.5
16,36.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,22.1
17,92.8,61.6,50.9,50.9,42.7,36.3,36.3,36.3,36.3
18,61.6,50.9,36.3,36.3,31.3,31.3,31.3,27.5,27.5
19,92.8,75.2,61.6,61.6,50.9,50.9,42.7,42.7,42.7
20,36.3,31.3,31.3,27.5,24.5,24.5,31.3,31.3,31.3
21,24.5,22.1,22.1,20.3,20.3,18.9,24.5,24.5,24.5
22,36.3,31.3,27.5,24.5,24.5,22.1,24.5,24.5,24.5
23,31.3,27.5,24.5,24.5,22.1,22.1,22.1,27.5,27.5
24,24.5,24.5,22.1,20.3,20.3,20.3,18.9,20.3,20.3
25,36.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,22.1
26,75.2,61.6,50.9,50.9,50.9,50.9,92.8,75.2,75.2
27,20.3,18.9,17.8,17.8,17.8,17.8,20.3,18.9,18.9
28,50.9,36.3,36.3,31.3,31.3,27.5,24.5,24.5,24.5
29,61.6,50.9,42.7,36.3,31.3,31.3,31.3,27.5,27.5
30,36.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,22.1
31,36.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,22.1
32,230.4,144.6,115.5,92.8,92.8,92.8,75.2,61.6,61.6
33,230.4,144.6,144.6,115.5,92.8,92.8,92.8,75.2,75.2
34,115.5,92.8,75.2,61.6,50.9,50.9,50.9,42.7,42.7
35,230.4,182.1,144.6,115.5,115.5,92.8,92.8,92.8,92.8
36,115.5,92.8,75.2,61.6,61.6,50.9,50.9,50.9,50.9
37,61.6,50.9,42.7,36.3,31.3,31.3,31.3,27.5,27.5
38,50.9,36.3,36.3,31.3,31.3,27.5,24.5,24.5,24.5
39,144.6,115.5,92.8,75.2,61.6,61.6,61.6,50.9,50.9
40,230.4,144.6,115.5,115.5,92.8,92.8,75.2,61.6,61.6
41,50.9,42.7,36.3,36.3,31.3,31.3,27.5,27.5,27.5
42,42.7,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5
43,36.3,31.3,31.3,27.5,24.5,27.5,27.5,27.5,27.5
44,22.1,20.3,20.3,18.9,18.9,20.3,20.3,20.3,20.3
45,24.5,22.1,22.1,20.3,20.3,22.1,20.3,20.3,20.3
46,27.5,24.5,22.1,22.1,22.1,24.5,24.5,50.9,50.9
47,22.1,20.3,20.3,18.9,17.8,18.9,17.8,24.5,24.5
