,0,1,2,3,4,5
0,5.605,5.605,5.605,5.605,5.605,5.605
1,5.586,5.586,5.586,5.586,5.586,5.586
2,15.714,15.714,15.714,15.714,15.714,15.714
3,1.366,1.366,1.366,1.366,1.366,1.366
4,9.712,9.712,9.712,9.712,9.712,9.712
5,15.556,15.556,15.556,15.556,15.556,15.556
6,16.729,17.729,19.579,16.729,16.729,16.729
7,8.184,8.184,10.734,8.184,8.184,11.784
8,20.196,19.196,14.946,20.196,20.196,14.496
9,17.744,17.744,17.594,17.744,17.744,19.844
10,13.8,13.8,13.8,13.8,13.8,13.8
11,8.744,8.744,8.744,8.744,8.744,8.744
12,16.568,16.568,16.568,16.568,16.568,16.568
13,6.591,6.591,6.591,6.591,6.591,6.591
14,3.179,3.179,3.179,3.179,3.179,3.179
15,1.841,1.841,1.841,1.841,1.841,1.841
16,5.991,5.991,5.991,5.991,5.991,5.991
17,10.007,11.207,11.207,10.007,10.007,10.007
18,17.903,20.003,18.123,22.263,25.703,18.063
19,12.957,17.077,15.202,19.452,22.459,19.257
20,16.673,30.503,25.841,13.699,8.673,22.713
21,34.161,15.031,14.353,23.932,17.808,16.751
22,25.187,21.867,18.062,17.9,22.521,16.862
23,18.077,18.477,27.305,18.077,10.959,25.605
24,11.713,12.513,16.585,18.948,18.948,17.42
25,4.287,4.287,4.287,6.687,11.487,4.287
26,2.334,2.334,2.334,2.334,4.734,2.334
27,7.668,7.668,7.968,7.668,7.668,7.668
28,10.704,13.604,12.954,10.704,12.504,10.704
29,14.624,40.424,22.628,14.624,21.124,14.624
30,4.594,31.644,41.93,4.984,13.044,5.944
31,16.938,16.734,46.064,25.77,11.588,24.658
32,16.366,23.62,7.8,12.914,22.866,19.296
33,12.77,31.745,12.25,15.66,0.52,25.42
34,29.22,5.32,6.1,26.06,11.57,25.77
35,39.244,2.204,1.86,33.744,19.044,28.594
36,37.258,16.413,7.375,21.498,17.308,8.583
37,26.35,25.87,11.687,18.74,44.53,11.775
38,35.971,35.981,7.215,9.566,48.7,0.195
39,28.359,25.179,5.809,5.104,26.91,10.199
40,6.446,6.096,36.972,41.166,10.791,39.082
41,1.312,5.322,43.562,31.262,14.957,38.552
42,5.23,5.23,20.73,13.53,9.93,19.63
43,2.1,2.1,2.25,2.16,2.1,4.46
44,4.5,4.5,4.5,4.5,4.5,4.5
45,10.655,10.655,10.655,10.655,10.655,10.655
46,17.45,17.45,17.45,17.45,17.45,17.45
47,12.453,12.453,12.453,12.453,12.453,12.453
