,0,1,2,3,4,5
0,14.0,14.1,14.0,14.6,15.8,14.0
1,14.0,14.2,14.0,15.4,14.4,14.5
2,14.0,20.3,14.0,31.3,14.0,17.8
3,14.0,50.9,20.3,115.5,14.2,36.3
4,14.0,24.5,27.5,14.2,15.4,15.8
5,14.0,115.5,15.4,20.3,14.5,14.1
6,14.0,14.5,14.4,14.3,14.0,14.0
7,14.0,14.6,14.0,14.0,14.4,14.6
8,14.0,14.2,14.6,14.6,17.8,15.8
9,14.4,14.2,75.2,14.0,16.3,14.5
10,14.8,14.0,36.3,14.1,14.0,14.3
11,15.4,20.3,18.9,27.5,14.8,14.5
12,17.8,2304.0,14.8,14.0,14.8,15.4
13,14.3,14.4,14.0,14.0,14.6,14.3
14,14.2,14.0,14.0,14.0,14.0,14.5
15,18.9,15.4,14.0,14.0,14.0,14.0
16,14.0,14.8,17.8,14.0,14.0,14.0
17,14.2,17.8,36.3,14.0,14.0,14.3
18,14.0,14.0,15.8,14.0,14.8,27.5
19,14.0,14.0,50.9,14.0,31.3,15.8
20,14.0,15.1,14.4,14.0,17.0,14.4
21,14.0,14.4,14.0,14.0,14.5,14.2
22,14.0,14.6,14.8,14.0,14.0,14.2
23,14.3,14.0,14.0,15.8,14.0,14.0
24,14.6,14.0,14.3,15.4,14.0,14.0
25,14.0,15.4,15.4,14.1,14.0,36.3
26,14.0,14.6,14.3,15.4,14.5,14.8
27,22.1,14.0,14.8,18.9,92.8,14.0
28,14.0,14.0,14.6,14.1,14.0,14.6
29,24.5,14.0,14.6,31.3,15.8,14.8
30,230.4,14.0,15.4,15.8,22.1,16.3
31,24.5,14.4,14.0,14.0,14.2,15.4
32,17.8,14.4,14.0,14.3,14.4,24.5
33,16.3,14.5,14.0,14.8,14.4,20.3
34,15.4,14.4,17.8,14.3,14.3,14.0
35,17.8,14.2,14.0,14.2,14.4,14.0
36,14.3,14.0,14.0,14.2,14.0,14.0
37,17.0,14.0,14.0,14.2,14.3,14.4
38,22.1,14.0,16.3,14.0,16.3,14.6
39,115.5,14.0,15.1,17.8,15.1,14.8
40,14.3,14.0,14.3,2304.0,14.1,14.0
41,14.0,14.0,14.8,14.1,14.8,14.4
42,14.0,14.0,14.3,15.1,14.0,14.0
43,20.3,14.0,14.0,14.8,14.0,17.8
44,17.8,14.5,14.2,15.1,14.0,14.3
45,14.0,14.0,14.8,14.5,17.8,14.0
46,14.0,14.0,14.8,14.0,16.3,14.1
47,14.0,14.0,14.0,14.0,14.0,14.0
