,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
3,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
5,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
6,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
7,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
8,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
9,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
10,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.2,14.2,14.2
11,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
12,17.0,15.4,15.1,14.8,14.8,14.3,14.3,14.2,14.2,14.0,14.1,14.0,14.0,14.2,14.1,14.0,14.0
13,14.0,14.0,14.0,14.0,14.2,14.1,14.1,14.0,14.1,14.0,14.2,14.1,14.0,14.3,14.2,14.2,14.2
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
15,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.4,14.3,14.3,14.2,14.2,14.2,14.1,14.1,14.1
16,14.0,14.0,14.0,14.2,14.0,14.0,14.0,14.0,14.1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
17,14.0,14.0,14.0,15.4,14.5,14.2,14.0,14.5,14.5,14.6,14.5,14.5,14.5,14.4,14.3,14.3,14.3
18,14.0,14.0,14.0,14.1,14.0,14.0,14.0,14.0,14.0,14.1,14.0,14.0,14.2,14.1,14.0,14.0,14.0
19,14.5,14.0,14.3,14.2,14.2,14.3,14.2,14.1,14.0,14.2,14.1,14.0,14.3,14.3,14.3,14.2,14.2
20,14.0,14.0,14.0,14.0,14.0,14.6,14.5,14.3,14.3,14.2,14.2,14.0,14.2,14.1,14.0,14.0,14.0
21,15.8,14.3,14.2,14.0,14.0,14.6,14.6,14.5,14.5,14.4,14.4,14.3,14.3,14.3,14.3,14.3,14.3
22,14.2,14.5,14.4,14.1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
23,14.0,18.9,17.0,16.3,16.3,14.8,14.6,14.5,14.5,14.3,14.3,14.2,14.2,14.1,14.0,14.1,14.1
24,14.0,14.2,14.0,14.0,16.3,14.8,14.6,14.6,14.6,14.6,14.6,14.8,14.8,14.6,14.6,14.5,14.5
25,17.0,14.5,14.3,14.0,14.2,14.0,14.0,14.0,14.0,14.0,14.0,14.2,14.2,14.2,14.2,14.1,14.1
26,144.6,24.5,20.3,17.0,14.8,14.4,14.3,14.2,14.1,14.0,14.0,14.1,14.0,14.0,14.0,14.0,14.0
27,230.4,31.3,36.3,24.5,17.0,15.1,14.8,14.6,14.5,14.4,14.3,14.3,14.2,14.2,14.2,14.1,14.1
28,14.3,14.0,14.4,14.3,14.3,14.8,14.6,14.5,14.4,14.3,14.3,14.2,14.2,14.1,14.0,14.0,14.0
29,14.0,14.0,14.0,14.0,14.0,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.4,14.4,14.3,14.3,14.3
30,18.9,14.6,14.5,14.2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
31,20.3,36.3,24.5,18.9,15.8,14.6,14.5,14.4,14.4,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3
32,14.0,20.3,17.8,15.4,14.6,14.2,14.1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
33,14.0,14.8,15.1,20.3,15.8,14.6,14.5,14.4,14.3,14.3,14.3,14.2,14.2,14.3,14.3,14.2,14.2
34,14.0,14.0,14.0,15.8,14.6,14.3,14.2,14.1,14.0,14.0,14.0,14.0,14.0,14.2,14.1,14.1,14.1
35,14.3,14.0,14.0,14.2,14.6,14.2,14.1,14.3,14.3,14.2,14.2,14.1,14.0,14.0,14.0,14.0,14.0
36,14.0,14.0,14.0,14.0,14.2,14.1,14.0,14.5,14.4,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2
37,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
38,14.6,14.4,14.3,14.3,14.3,14.6,15.4,14.8,14.6,14.5,14.5,14.5,14.4,14.3,14.3,14.2,14.2
39,14.0,14.0,14.0,14.0,14.0,14.0,14.5,14.5,14.6,14.8,15.1,14.8,14.8,14.6,14.5,14.5,14.5
40,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.1,14.2,14.3,14.3,14.5,14.6,14.6
41,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
42,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
43,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
44,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
45,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
46,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
47,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
