,0,1,2,3,4,5
0,3172.743,3289.612,3398.554,3418.406,3274.419,3216.284
1,3164.361,3245.379,3297.663,3422.059,3390.135,3355.135
2,3121.324,3206.384,3380.127,3364.323,3268.525,3282.393
3,2865.191,3188.386,3330.506,3318.749,3211.794,3216.569
4,2718.868,3144.746,3668.639,3296.777,3237.567,3264.526
5,2587.915,3209.143,3356.317,3123.841,3148.345,3384.327
6,2329.131,3283.296,3291.977,3441.833,3506.555,3451.465
7,2470.913,3469.149,3373.622,3327.533,3407.784,3398.578
8,2742.889,3594.727,3428.145,3297.363,3282.541,3311.175
9,2658.753,3731.803,3409.052,3390.746,3388.82,3411.521
10,2825.521,3231.906,3396.032,3415.125,3262.613,3393.473
11,3143.553,3325.943,3312.783,3439.713,3121.48,3271.925
12,3397.391,3402.685,3359.608,3347.687,3178.793,3430.517
13,3422.236,3369.092,3387.999,3254.075,3313.098,3548.392
14,3454.69,3414.069,3422.336,3322.669,3407.201,3464.558
15,3540.003,3332.778,3120.185,3358.274,3259.616,3454.974
16,3713.971,3344.048,3283.453,3339.138,3418.643,3388.647
17,3675.103,3357.392,3371.711,3341.552,3481.085,3402.314
18,3416.169,3446.746,3388.19,3384.522,3327.167,3444.438
19,3292.197,3390.895,3330.681,3367.667,3349.396,3553.88
20,3504.883,3227.688,3284.29,3367.479,3373.709,3389.03
21,3527.416,3290.038,3318.64,3395.208,3444.265,3320.252
22,3318.241,3252.864,3314.26,3403.92,3401.003,3341.26
23,3362.484,3358.924,3289.33,3378.549,3457.041,3299.522
24,3466.45,3459.049,3230.652,3456.24,3434.761,3452.104
25,3320.0,3243.776,3249.008,3458.995,3335.748,3389.734
26,3389.668,3298.936,3294.718,3360.87,3417.556,3356.697
27,3516.611,3233.751,3348.725,3295.342,3374.248,3301.225
28,3935.55,3408.42,3365.391,3439.726,3459.771,3357.957
29,3831.166,3245.616,3324.616,3329.194,3464.414,3305.753
30,3398.098,3448.702,3419.331,3240.464,3377.275,3318.048
31,3256.696,3383.494,3338.307,3345.562,3276.793,3164.274
32,3833.674,3394.258,3321.984,3346.581,3359.937,3294.844
33,3943.023,3467.529,3462.712,3463.613,3500.098,3382.511
34,3800.62,3385.057,3314.001,3396.157,3442.269,3353.539
35,3696.225,3404.397,3263.087,3358.791,3399.847,3485.673
36,3617.083,3377.599,3282.984,3370.021,3431.547,3382.889
37,4020.162,3538.53,3472.286,3570.859,3521.238,3413.565
38,3782.994,3312.735,3295.355,3338.12,3351.67,3219.238
39,3815.196,3362.619,3314.282,3240.274,3354.465,3334.024
40,3734.333,3470.233,3528.506,3358.401,3390.248,3451.77
41,3502.108,3428.682,3413.034,3304.542,3377.41,3321.958
42,3397.199,3438.854,3360.866,3169.46,3315.125,3266.645
43,3495.803,3437.854,3408.224,3339.121,3496.15,3410.441
44,3266.204,3319.21,3152.181,3425.723,3479.532,3377.41
45,3323.755,3229.35,3383.453,3258.122,3174.8,3290.895
46,3342.893,3323.729,3495.755,3321.995,3217.032,3196.671
47,2865.413,3256.797,3423.312,3271.489,3113.341,3153.85
