,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,1.17,0.0,0.0,0.0,323612416.0,7910721.0,6027962517.8,0.0,6027962517.8
1,1.16,0.01,0.03,1340246.07,323612416.0,7813153.26,5842808631.58,0.0185,5844148877.65
2,1.15,0.02,0.05,2347316.99,323612416.0,7735634.29,5708060895.29,0.0121,5710408212.28
3,1.14,0.03,0.07,3362261.55,323612416.0,7663536.65,5602561784.13,0.0129,5605924045.68
4,1.12,0.04,0.09,4156163.15,323612416.0,7565518.05,5489341779.72,0.0181,5493497942.87
5,1.11,0.05,0.1,4868974.84,323612416.0,7515199.99,5436492960.11,0.0102,5441361934.95
6,1.11,0.06,0.1,5274906.21,323612416.0,7464596.4,5395911717.26,0.0076,5401186623.47
7,1.1,0.06,0.11,5715181.34,323612416.0,7412425.79,5358941213.09,0.0084,5364656394.43
8,1.09,0.07,0.12,6582659.58,323612416.0,7349500.69,5317770138.11,0.0123,5324352797.69
9,1.08,0.08,0.12,6939393.61,323612416.0,7310984.03,5298322501.08,0.0077,5305261894.69
10,1.08,0.08,0.12,7131096.74,323612416.0,7280566.91,5285658827.0,0.0063,5292789923.74
11,1.08,0.08,0.12,7231671.16,323612416.0,7256618.84,5276365124.47,0.0054,5283596795.63
12,1.07,0.09,0.13,7321261.23,323612416.0,7237527.4,5269484145.74,0.0049,5276805406.969999
13,1.07,0.09,0.13,7479369.8,323612416.0,7210626.68,5261284012.73,0.0057,5268763382.53
14,1.07,0.09,0.13,7560164.36,323612416.0,7193676.82,5256892288.85,0.0043,5264452453.21
15,1.07,0.09,0.13,7647063.03,323612416.0,7181419.53,5253606886.47,0.0034,5261253949.5
16,1.06,0.09,0.13,7698321.42,323612416.0,7175756.88,5251941523.34,0.0022,5259639844.76
17,1.06,0.09,0.13,7736486.83,323612416.0,7170448.35,5250468002.64,0.0021,5258204489.47
18,1.06,0.1,0.13,7761073.49,323612416.0,7146617.65,5246929580.7,0.0061,5254690654.19
19,1.06,0.1,0.13,7778413.56,323612416.0,7120688.8,5243048677.43,0.0062,5250827090.990001
20,1.06,0.1,0.13,7843622.77,323612416.0,7115093.82,5241752871.45,0.0024,5249596494.22
21,1.05,0.1,0.13,7857023.37,323612416.0,7082616.85,5239005518.58,0.007,5246862541.95
22,1.05,0.11,0.13,7879645.8,323612416.0,7074024.77,5237967104.39,0.003,5245846750.190001
23,1.05,0.11,0.13,7910612.24,323612416.0,7053795.73,5235574992.66,0.0053,5243485604.9
24,1.04,0.11,0.13,7932031.32,323612416.0,7042061.12,5234049670.76,0.0041,5241981702.08
25,1.04,0.11,0.13,7951703.63,323612416.0,7021399.42,5232743306.62,0.0048,5240695010.25
26,1.04,0.11,0.13,7980653.57,323612416.0,7001584.22,5231418214.72,0.0049,5239398868.29
27,1.04,0.12,0.13,8007318.06,323612416.0,6992002.38,5230313950.33,0.003,5238321268.39
28,1.04,0.12,0.13,8035610.45,323612416.0,6981085.72,5229531345.96,0.003,5237566956.41
29,1.03,0.12,0.13,8048389.3,323612416.0,6977393.9,5229229895.48,0.0025,5237278284.78
30,1.03,0.12,0.13,8057192.95,323612416.0,6972744.31,5228810219.38,0.0021,5236867412.33
31,1.03,0.12,0.13,8083030.36,323612416.0,6968293.39,5228346952.4,0.0021,5236429982.759999
32,1.03,0.12,0.13,8090269.3,323612416.0,6964733.13,5228032297.67,0.0023,5236122566.97
33,1.03,0.12,0.13,8118270.61,323612416.0,6956770.85,5227402359.42,0.0032,5235520630.03
34,1.03,0.12,0.13,8139924.18,323612416.0,6946958.97,5226869308.96,0.0034,5235009233.14
35,1.03,0.12,0.13,8155668.23,323612416.0,6942762.58,5226456705.23,0.0023,5234612373.459999
36,1.03,0.12,0.13,8167223.86,323612416.0,6939096.24,5226071422.34,0.0022,5234238646.2
37,1.03,0.12,0.13,8185672.14,323612416.0,6934311.94,5225776299.04,0.0022,5233961971.18
38,1.03,0.12,0.13,8185672.14,323612416.0,6934311.94,5225776299.04,0.0013,5233961971.18
