,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,1.15,0.0,0.0,0.0,261600600.0,6271885.0,5140256974.9,0.0,5140256974.9
1,1.13,0.02,0.04,1353202.35,261600600.0,6177481.38,4920199982.83,0.0179,4921553185.18
2,1.12,0.03,0.07,2379671.75,261600600.0,6108359.51,4777468141.44,0.016,4779847813.19
3,1.11,0.04,0.09,3234157.12,261600600.0,6048139.39,4682634002.09,0.0096,4685868159.21
4,1.1,0.04,0.1,3879005.56,261600600.0,5996390.33,4609140639.35,0.0119,4613019644.910001
5,1.09,0.05,0.11,4297838.97,261600600.0,5953834.75,4554188034.28,0.0091,4558485873.25
6,1.08,0.06,0.12,4752958.9,261600600.0,5895377.17,4500609294.98,0.0135,4505362253.879999
7,1.08,0.06,0.13,5067318.43,261600600.0,5867460.6,4476288267.75,0.0087,4481355586.18
8,1.07,0.07,0.13,5290156.21,261600600.0,5832990.97,4452693868.57,0.0094,4457984024.78
9,1.07,0.07,0.14,5473288.16,261600600.0,5808015.31,4436063760.73,0.0061,4441537048.889999
10,1.06,0.08,0.14,5607400.37,261600600.0,5780025.06,4421260342.37,0.0062,4426867742.74
11,1.05,0.08,0.14,5897683.11,261600600.0,5744394.98,4405039096.07,0.0087,4410936779.179999
12,1.05,0.09,0.14,6116838.74,261600600.0,5723620.63,4395748249.45,0.0056,4401865088.19
13,1.05,0.09,0.15,6207239.32,261600600.0,5696923.54,4388217618.26,0.008,4394424857.58
14,1.04,0.09,0.15,6311637.11,261600600.0,5680146.12,4384504050.27,0.0049,4390815687.38
15,1.04,0.09,0.15,6348485.96,261600600.0,5677319.08,4383754413.6,0.002,4390102899.56
16,1.04,0.1,0.15,6368485.58,261600600.0,5669686.83,4382805786.1,0.0022,4389174271.68
17,1.04,0.1,0.15,6410705.65,261600600.0,5656168.59,4381424170.45,0.0037,4387834876.099999
18,1.04,0.1,0.15,6431488.98,261600600.0,5650548.5,4380951342.67,0.002,4387382831.65
19,1.04,0.1,0.15,6482840.39,261600600.0,5645132.26,4380556512.2,0.0021,4387039352.59
20,1.02,0.12,0.15,6376127.55,261600600.0,5544607.22,4379178264.92,0.0057,4385554392.47
21,1.02,0.12,0.15,6409242.2,261600600.0,5540487.75,4378793386.22,0.0021,4385202628.42
22,1.02,0.12,0.15,6409242.2,261600600.0,5540487.75,4378793386.22,0.0012,4385202628.42
