,0,1,2,3,4,5
0,3169.903,3374.334,3266.38,3265.923,3418.687,3432.796
1,3078.069,3399.869,3387.468,3342.672,3421.399,3319.254
2,2872.582,3371.726,3490.93,3364.972,3254.766,3310.06
3,3065.504,3272.201,3443.056,3261.271,3204.506,3524.307
4,2721.137,3327.794,3458.149,3335.608,3245.185,3487.286
5,2769.327,3433.552,3263.557,3355.197,3487.857,3430.232
6,2544.722,3430.579,3278.584,3233.846,3261.349,3190.897
7,2331.408,3429.008,3299.579,3221.771,3385.249,3410.639
8,2339.493,3316.91,3455.655,3245.515,3418.049,3487.856
9,2381.074,3252.481,3380.177,3312.631,3259.826,3347.184
10,2737.163,3501.653,3389.368,3545.959,3580.162,3445.503
11,2973.363,3448.187,3329.279,3383.924,3456.619,3242.874
12,3225.325,3320.203,3392.869,3511.018,3520.904,3341.242
13,3503.061,3301.367,3472.486,3481.261,3332.217,3384.709
14,3695.589,3436.517,3428.839,3410.791,3295.65,3286.895
15,3735.803,3483.721,3307.527,3265.482,3418.525,3408.818
16,3701.307,3460.752,3333.606,3311.056,3565.019,3490.64
17,3717.323,3456.845,3296.733,3471.149,3520.166,3486.073
18,3501.796,3381.293,3432.082,3536.738,3376.286,3455.21
19,3573.752,3428.14,3370.04,3453.79,3358.324,3270.302
20,3641.096,3376.86,3233.494,3397.298,3423.273,3275.341
21,3387.567,3425.503,3298.165,3364.874,3274.754,3321.513
22,3711.708,3422.998,3351.222,3447.333,3462.144,3506.848
23,3446.584,3286.792,3364.745,3409.349,3427.306,3368.445
24,3477.12,3327.17,3369.684,3393.016,3476.122,3403.998
25,3537.75,3350.034,3377.938,3377.584,3476.244,3579.902
26,3515.254,3234.408,3458.474,3322.174,3369.758,3425.085
27,3522.875,3320.568,3468.652,3362.286,3298.428,3369.497
28,3518.304,3465.077,3543.888,3351.145,3292.534,3303.69
29,3441.637,3524.57,3470.973,3425.886,3285.396,3239.196
30,3548.963,3403.316,3270.727,3386.38,3235.672,3400.424
31,3710.074,3304.844,3258.781,3361.387,3430.77,3330.099
32,3926.801,3430.371,3360.543,3432.981,3504.673,3405.673
33,3921.22,3460.611,3419.901,3367.821,3356.313,3351.278
34,3936.134,3372.428,3476.53,3439.494,3375.581,3338.438
35,3877.878,3452.727,3380.725,3381.734,3382.926,3511.736
36,3790.534,3468.284,3419.671,3542.628,3368.77,3404.487
37,3772.233,3447.463,3402.842,3502.303,3370.151,3366.728
38,4090.139,3345.629,3308.824,3412.833,3410.592,3303.41
39,3788.557,3476.037,3438.878,3510.654,3376.344,3417.965
40,3844.313,3342.711,3318.565,3346.591,3341.305,3289.039
41,3681.034,3357.558,3392.87,3278.245,3335.554,3322.874
42,3670.298,3401.315,3379.785,3389.859,3341.836,3412.483
43,3337.189,3340.914,3415.599,3423.497,3439.942,3451.064
44,3032.011,3396.477,3472.724,3504.635,3468.038,3412.509
45,3104.337,3312.504,3522.399,3455.739,3379.706,3375.677
46,3444.19,3299.678,3430.587,3300.026,3418.138,3378.473
47,3208.39,3347.912,3438.341,3323.565,3418.876,3503.242
