,0,1,2,3,4,5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.2,2.2,2.2,2.2,2.2,2.2
2,3.3,3.3,3.3,3.3,3.3,3.3
3,3.3,3.3,3.3,3.3,3.3,3.3
4,3.45,3.45,3.45,3.45,3.45,3.45
5,3.35,3.35,3.35,3.35,3.35,3.35
6,0.0,0.0,0.0,0.0,0.0,0.0
7,4.8,4.8,4.8,4.8,4.8,4.8
8,0.0,0.0,0.0,0.0,0.0,0.0
9,7.2,7.2,7.2,7.2,7.2,7.2
10,4.8,4.8,4.8,4.8,4.8,4.8
11,0.225,0.225,0.225,0.225,0.225,0.225
12,4.65,4.65,4.65,4.65,4.65,4.65
13,7.45,7.45,7.45,7.45,7.45,7.45
14,3.0,3.0,3.0,3.0,3.0,3.0
15,1.0,1.0,1.0,1.0,1.0,1.0
16,4.0,4.0,4.0,4.0,4.0,4.0
17,0.124,0.124,0.124,0.124,0.124,0.124
18,0.186,0.186,0.186,0.186,0.186,0.186
19,0.062,0.062,0.062,0.062,0.062,0.062
20,3.6,3.6,3.6,3.6,3.6,3.6
21,8.2,8.2,8.2,8.2,8.2,8.2
22,3.3,3.3,3.3,3.3,3.3,6.8
23,5.7,5.7,5.77,5.77,5.7,12.77
24,11.57,11.69,13.725,13.725,11.57,3.225
25,7.345,7.465,13.465,13.465,7.345,13.465
26,21.345,6.105,0.0,0.0,15.345,0.0
27,12.0,2.0,15.0,15.0,16.0,0.0
28,11.7,7.2,21.7,14.5,9.2,0.0
29,4.575,15.075,4.575,11.775,0.075,26.775
30,3.15,14.65,3.15,3.15,4.65,14.65
31,0.144,4.644,0.144,0.144,4.644,3.144
32,6.8,9.8,6.8,6.8,9.8,6.8
33,6.4,6.4,6.4,6.4,6.4,6.4
34,5.5,5.5,5.5,5.5,5.5,5.5
35,6.6,6.6,6.6,6.6,6.6,6.6
36,3.818,3.818,3.818,3.818,3.818,3.818
37,6.071,6.071,6.071,6.071,6.071,6.071
38,7.2,7.2,7.2,7.2,7.2,7.2
39,1.4,1.4,1.4,1.4,1.4,1.4
40,0.45,0.45,0.45,0.45,0.45,0.45
41,1.5,1.5,1.5,1.5,1.5,1.5
42,3.85,3.85,3.85,3.85,3.85,3.85
43,2.08,2.08,2.08,2.08,2.08,2.08
44,1.98,1.98,1.98,1.98,1.98,1.98
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
