,0,1,2,3,4,5
0,15.8,15.8,14.0,22.1,14.0,14.0
1,14.5,14.6,14.6,14.6,14.0,14.0
2,14.0,14.0,14.3,14.0,14.0,14.0
3,17.8,14.0,14.2,15.4,14.0,14.2
4,14.0,14.0,17.0,14.0,22.1,17.0
5,14.0,17.8,14.3,14.0,2304.0,17.0
6,14.0,2304.0,14.0,14.0,16.3,14.2
7,14.8,50.9,14.5,14.0,15.4,14.1
8,14.0,14.0,14.0,22.1,14.0,24.5
9,14.0,14.0,14.0,22.1,14.0,14.0
10,14.0,14.0,15.1,14.8,14.0,14.5
11,92.8,14.0,14.3,22.1,14.8,14.0
12,14.8,20.3,14.0,14.0,14.1,14.2
13,14.0,27.5,14.0,14.0,14.0,14.0
14,14.1,14.0,14.3,14.0,14.6,14.2
15,17.0,14.2,14.2,14.0,14.0,14.3
16,15.8,14.0,14.4,14.0,17.0,14.0
17,14.0,14.2,14.0,22.1,15.4,14.0
18,14.0,14.0,14.0,20.3,14.5,14.0
19,14.0,14.0,14.0,2304.0,14.0,14.0
20,15.1,14.0,14.0,14.3,14.0,14.8
21,75.2,14.0,15.8,14.0,14.1,14.5
22,14.0,15.4,15.1,15.4,14.0,31.3
23,14.0,15.4,14.0,14.0,14.5,14.0
24,14.0,14.0,15.1,14.5,14.2,14.0
25,14.0,14.0,14.1,14.0,14.0,14.3
26,14.0,14.8,15.4,14.0,14.0,14.0
27,14.0,14.0,14.0,14.0,14.2,14.0
28,14.0,14.2,14.0,14.0,18.9,50.9
29,17.8,14.0,14.0,15.4,14.0,24.5
30,14.0,15.1,14.0,15.4,14.0,14.2
31,22.1,14.0,14.0,14.0,14.0,14.0
32,14.5,14.6,14.0,14.3,20.3,14.0
33,14.0,14.0,14.0,92.8,14.1,14.0
34,61.6,14.0,14.0,14.0,17.0,20.3
35,14.8,14.0,14.8,14.6,14.0,14.2
36,14.3,17.0,14.0,14.0,15.1,14.6
37,14.0,14.3,14.0,14.8,14.8,14.0
38,14.0,31.3,14.1,92.8,36.3,14.0
39,14.0,2304.0,17.0,14.0,15.8,14.0
40,14.0,14.2,14.6,15.1,14.0,61.6
41,14.0,14.5,14.0,14.0,14.0,24.5
42,15.4,14.0,14.0,14.0,14.0,14.0
43,230.4,14.0,14.0,14.5,14.0,24.5
44,92.8,14.0,2304.0,27.5,14.0,15.8
45,14.8,14.0,14.5,14.0,14.2,14.0
46,61.6,14.0,14.0,14.0,14.0,17.0
47,15.1,14.2,15.4,15.1,115.5,14.0
