,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,5.16,0.0,0.0,0.0,170254.0,18300.0,2982471.6,0.0,2982471.6
1,3.72,0.28,0.2,385.27,170254.0,13181.98,2391451.18,0.0181,2391836.45
2,3.08,0.4,0.2,577.55,170254.0,10913.54,2384375.03,0.0071,2384952.5799999996
3,2.82,0.45,0.2,573.82,170254.0,9992.81,2383772.42,0.0025,2384346.2399999998
4,2.74,0.47,0.2,569.95,170254.0,9707.07,2383656.58,0.0016,2384226.5300000003
5,2.71,0.47,0.2,568.7,170254.0,9614.04,2383637.33,0.0013,2384206.0300000003
6,2.71,0.48,0.2,568.36,170254.0,9603.41,2383633.41,0.0008,2384201.77
7,2.7,0.48,0.2,567.83,170254.0,9592.67,2383628.77,0.0011,2384196.6
8,2.71,0.47,0.2,564.66,170254.0,9619.2,2383620.48,0.0013,2384185.14
9,2.7,0.48,0.2,562.85,170254.0,9594.15,2383612.28,0.0013,2384175.13
10,2.71,0.47,0.2,558.71,170254.0,9629.34,2383608.35,0.001,2384167.06
11,2.71,0.48,0.2,558.1,170254.0,9603.21,2383604.14,0.0011,2384162.24
12,2.71,0.48,0.2,557.98,170254.0,9601.37,2383603.24,0.0008,2384161.22
13,2.72,0.47,0.2,556.96,170254.0,9630.66,2383594.31,0.0012,2384151.27
14,2.72,0.47,0.2,556.96,170254.0,9630.66,2383594.31,0.0006,2384151.27
