,0,1
0,1.265,1.265
1,9.49,9.49
2,7.387,7.387
3,2.229,2.229
4,5.51,5.51
5,5.422,5.422
6,2.737,2.737
7,8.22,8.22
8,0.679,0.679
9,4.35,6.75
10,8.093,11.493
11,12.661,7.581
12,15.42,4.12
13,18.118,3.498
14,8.311,14.939
15,2.031,7.981
16,12.448,11.798
17,12.572,12.445
18,2.438,3.765
19,9.885,9.885
20,5.752,12.208
21,5.737,12.987
22,9.056,15.152
23,19.182,6.108
24,11.655,13.255
25,5.834,9.578
26,4.193,4.193
27,5.342,5.342
28,6.225,6.225
29,2.793,2.793
30,8.506,8.506
31,4.222,5.422
32,8.17,13.22
33,7.193,12.978
34,5.588,12.553
35,10.104,3.282
36,18.305,12.025
37,16.734,3.295
38,7.22,13.041
39,12.325,13.525
40,8.427,14.607
41,12.788,11.118
42,3.425,12.445
43,12.126,10.604
44,8.963,5.387
45,7.65,9.61
46,5.47,4.52
47,18.809,9.887
