,0,1
0,14.0,14.3
1,14.0,14.0
2,14.0,14.0
3,14.8,14.0
4,14.0,14.0
5,14.0,14.0
6,14.0,14.3
7,14.0,14.3
8,15.4,16.3
9,14.0,15.4
10,17.0,14.6
11,14.0,15.4
12,14.0,14.8
13,15.8,18.9
14,27.5,20.3
15,14.8,14.6
16,17.8,14.6
17,14.0,14.3
18,14.0,14.6
19,22.1,14.3
20,20.3,17.0
21,15.8,15.8
22,14.8,17.0
23,15.4,14.8
24,17.0,16.3
25,14.6,14.4
26,14.0,14.5
27,15.8,22.1
28,15.4,115.5
29,16.3,18.9
30,15.8,17.8
31,20.3,17.8
32,61.6,50.9
33,36.3,14.0
34,20.3,17.8
35,31.3,14.6
36,36.3,14.8
37,15.8,14.1
38,17.0,14.6
39,14.0,17.0
40,36.3,17.0
41,17.8,15.8
42,17.0,15.1
43,14.3,17.8
44,14.3,22.1
45,15.8,20.3
46,27.5,15.1
47,230.4,18.9
