,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078,8.078
1,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764,13.764
2,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858,2.858
3,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42,8.42
4,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266,13.266
5,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
6,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383,11.383
7,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909,12.909
8,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733
9,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328,13.328
10,9.781,11.38805678756469,11.967942782552598,12.321309801676197,12.153196844288026,12.031443072456335,12.233497543816924,12.040890401867284,12.3652324520093,12.283058396477452,12.134138297194415,12.358698468260908,12.199120481938946,12.184601306335583,12.06660016505889,11.959190439184098,12.465465535777632,12.301425746768706,12.183444483994563,12.032172010576375,12.351705629457543,12.190473559011432,11.943559709751392,12.112572473507424,12.375153387941655,12.30798226637209,12.182167583774168,12.427465426384929,12.341004533430324,12.176310885798097,12.508478215043274,12.374106888286793,12.243123420677735,12.435307504563994,12.297009206709934,12.512118559591281,12.461173803710082,12.390925390958133,12.342958993093427,12.298945151124043,12.417788105874557,12.398320589870004,12.376647767589743,12.3358392587661,12.425781707057554,12.414317076754491,12.402711149338744,12.384905892289938,12.371416049227918,12.36774129101975,12.355579486079225,12.346554344664327,12.364994343558099,12.359480911808467,12.312478080671502,12.305793975182224,12.293323626438601,12.271389738841371,12.246024268937845,12.283163777094932,12.272267942382756,12.26659930381901,12.278266953576052,12.275433027238417,12.275433027238417
11,5.231,8.722876476683771,9.87570344711057,10.458684456222024,10.509794856227447,10.546810943964921,10.86059556734623,10.889685316821733,11.375151535843557,11.370567770051823,11.36226083117218,11.685364044418062,11.65723565773587,11.747319235222989,11.72197132962033,11.698898573180648,12.377040174123886,11.940366688549403,11.907161196266099,11.864585987028171,12.288881312481717,12.222532060998702,11.506065973645397,11.737347045622647,12.096668992802794,12.07425398934739,12.032269629413005,12.35934577946416,12.32248235299299,12.252263645294162,12.681905839475295,12.61042583953479,12.237674993901603,12.489698849546416,12.424116429987334,12.701743689491327,12.674309260487204,12.636479555369174,12.500378278312597,12.478570663478935,12.630847174371262,12.620512044593376,12.609006137477788,12.587341265871379,12.701589335682254,12.669205738710506,12.662867074992517,12.653142601212714,12.614691311874353,12.612728410583882,12.606232085857231,12.601411234871556,12.62483284150124,12.621858840315374,12.59650503493822,12.612530584750246,12.605706991078382,12.5937050864256,12.579825469786483,12.626298989191072,12.620223069101643,12.61706202675482,12.631638145581734,12.630048685822706,12.630048685822706
12,20.077,16.168479170984643,14.865311387042459,14.19071670630637,14.580259939133509,14.86238190418052,14.47256402515202,14.912708969670582,14.283157926962108,14.46739193419408,14.80127038853985,14.362678995725132,14.716436368935153,14.208027002215765,14.49615528290657,14.758422065337141,13.80248528992323,14.185902419127027,14.461665009081585,14.815240552161585,14.201272133192376,14.569791872865256,15.134149988463305,14.805168850934868,14.294058530009487,14.44379781154774,14.724266556731122,14.244448896259515,14.435000252647963,14.797968952975381,14.144604814450483,14.436868858038236,14.7217641464203,14.341861135513014,14.640681050519625,14.214480263418993,14.32383642292366,14.474629109962274,14.577592034507235,14.672070546369016,14.43585449285578,14.477503304225822,14.523870148706441,14.611175888477817,14.432201672832736,14.45667080984455,14.481441519459942,14.519443553781215,14.548235133572867,14.556078226608053,14.582035354185127,14.601297852494653,14.564566433873054,14.57632823448109,14.676599345642126,14.504653431727991,14.532176115047791,14.58058530188945,14.636568162494669,14.56367575947674,14.587683888037024,14.600174294416638,14.577266321894198,14.583507480893255,14.583507480893255
13,19.508,16.055803937824,15.292397940070401,15.185761498408304,15.074730376494232,14.99431743216342,14.942977290209127,14.830281203998306,14.756845699173843,14.717134598202708,14.645168074693741,14.600732925460916,14.53308493560491,14.760142511374664,14.698670483965701,14.642715994530029,14.54570536900465,14.848936590795248,14.786167277918285,14.705686115143857,14.64025403552933,14.569240201690297,15.07534585610209,15.030730425554275,14.961415183966766,14.92378150799869,14.853291855804734,14.79538575051707,14.753326436060508,14.673210424323287,14.605363636021966,14.551301166560869,14.801674802923605,14.75757598249918,14.69246889482309,14.64684017749432,14.6255968907002,14.596304235291239,14.686573617725164,14.666326005214705,14.641665035598507,14.633295139596948,14.623977090570888,14.606431812850161,14.588615260519349,14.609939866329416,14.605083241117804,14.597632439713932,14.623071180784121,14.621489343389507,14.616254169603605,14.612369204832309,14.608689601095339,14.606341075446164,14.586319542665539,14.662562190519488,14.656859628922975,14.646829488816579,14.63523012158771,14.627800671259317,14.622924426492162,14.620387524101153,14.61807579953291,14.616816073158617,14.616816073158617
14,10.66,12.683701139896277,13.038825148442118,12.896665463391054,12.748647121104401,12.641446630709941,12.573003814192992,12.422765866709863,12.324867173967547,12.271927320395012,12.175986963076326,12.116749363605853,12.02656615060311,12.238038355397727,12.160566968431635,12.090049172187138,11.967789535948045,12.254516709104166,12.179877297450892,12.084176606088707,12.006370880618181,11.92192785369867,11.79261020143398,11.93116334250466,11.87329952583414,11.84188323012513,11.783039024748305,11.73469946502479,11.699588681230871,11.632708466874504,11.57607050341888,11.530939580551024,11.486946528489094,11.458757553657065,11.417139613806878,11.387972693875252,11.374393498989182,11.355668963544938,11.342883642400079,11.331151864959025,11.316862920676417,11.312013274475202,11.306614253859705,11.296448250670208,11.28612506680821,11.283410932634006,11.280663347810968,11.27644813499039,11.273254552372247,11.272384590884517,11.269505407732815,11.267368797646517,11.26534512975741,11.264053513517533,11.253042291691717,11.336802457775113,11.333459625543272,11.327579973904252,11.32078044390613,11.316425312338977,11.313566865673891,11.312079737663403,11.31072460852239,11.309986158992997,11.309986158992997
