,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,14.0,16.3,15.4,14.8,17.8,16.3,15.8,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.1,15.4,15.4,15.4,15.4,15.4,15.4,15.4
1,18.9,15.4,15.8,15.4,15.1,16.3,15.8,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4
2,14.0,22.1,17.8,15.8,15.4,15.4,15.4,15.8,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4
3,14.0,14.0,14.0,14.2,14.1,14.1,14.0,14.3,14.2,14.2,14.2,14.3,14.3,14.5,14.5,14.4,14.5,14.5,14.5,14.5,14.5,14.5,14.5
4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.2,14.3,14.3,14.3,14.3,14.4,14.4,14.4,14.4,14.4,14.4,14.4
5,14.6,14.2,14.0,14.0,14.0,14.0,14.0,14.1,14.2,14.3,14.4,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
6,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.2,14.3,14.3,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
7,14.0,14.0,14.0,14.0,14.0,14.3,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.6,14.6,14.6,14.5,14.5
8,14.5,14.1,14.0,14.0,14.3,14.5,14.5,14.5,14.5,14.5,14.6,14.5,14.5,14.5,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
9,14.0,14.5,14.3,14.1,14.3,14.5,14.5,14.5,14.5,14.6,14.5,14.6,14.5,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
10,14.2,14.2,14.0,14.1,14.3,14.6,14.5,14.6,14.5,14.5,14.6,14.5,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
11,14.2,14.2,14.0,14.3,14.4,14.6,14.5,14.6,14.5,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
12,14.5,14.2,14.0,14.6,14.5,14.5,14.5,14.8,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.8,14.6,14.6,14.8,14.8,14.6,14.6
13,14.5,14.1,14.2,14.3,14.6,14.5,14.6,14.5,14.6,14.8,14.6,14.6,14.8,14.6,14.8,14.6,14.8,14.6,14.8,14.8,14.8,14.8,14.8
14,14.3,14.0,14.6,14.4,14.5,14.6,14.6,14.5,14.8,14.8,14.6,14.8,14.8,14.6,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
15,14.6,14.2,14.2,14.5,14.5,14.8,14.6,14.6,14.8,14.8,14.6,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
16,14.6,14.2,14.2,14.6,14.6,14.6,14.6,14.8,14.8,14.8,14.8,14.8,14.6,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
17,27.5,17.8,15.8,15.1,14.8,14.6,14.6,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
18,14.4,14.0,17.0,15.4,15.1,14.6,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
19,144.6,50.9,31.3,22.1,18.9,17.0,16.3,15.8,15.4,15.1,14.8,14.8,14.8,15.1,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
20,14.2,14.5,14.2,15.8,15.1,14.8,14.6,15.4,15.4,14.8,14.8,15.1,14.8,15.1,14.8,14.8,15.1,14.8,14.8,14.8,15.1,14.8,14.8
21,15.4,14.5,14.3,15.1,14.8,14.6,15.1,14.8,15.1,14.8,14.8,15.4,15.1,14.8,14.8,15.1,14.8,15.1,15.1,14.8,15.1,14.8,14.8
22,61.6,24.5,20.3,17.0,15.8,15.4,14.8,15.4,15.1,14.8,15.1,14.8,14.8,15.1,15.1,14.8,15.1,15.1,14.8,14.8,15.1,15.1,15.1
23,61.6,27.5,20.3,17.0,16.3,15.4,15.1,14.8,15.4,14.8,15.4,14.8,15.1,14.8,14.8,15.1,15.1,14.8,14.8,15.1,15.1,14.8,14.8
24,14.1,15.1,14.6,14.6,14.8,14.8,15.1,15.1,14.8,15.1,15.1,14.8,15.1,14.8,15.1,15.1,14.8,15.1,15.1,15.1,15.1,15.1,15.1
25,20.3,15.8,14.8,14.6,14.8,15.1,14.8,15.8,15.4,15.4,15.1,14.8,15.1,14.8,15.4,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1
26,230.4,61.6,36.3,24.5,22.1,17.8,17.0,16.3,15.8,15.4,15.4,14.8,15.4,15.1,15.1,15.1,15.1,14.8,15.1,15.1,15.1,15.1,15.1
27,42.7,22.1,17.8,15.8,15.4,14.8,15.4,14.8,15.4,15.1,15.1,15.1,15.1,15.1,15.1,15.1,14.8,15.1,15.1,15.1,15.1,15.1,15.1
28,17.8,15.4,14.6,14.8,14.8,15.4,15.1,15.4,14.8,15.4,15.1,15.1,15.4,15.1,14.8,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1
29,50.9,22.1,17.8,16.3,15.4,14.8,15.4,15.1,15.4,14.8,15.4,15.4,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1
30,17.8,15.4,14.6,15.4,14.8,15.8,15.4,14.8,15.8,15.8,15.4,15.1,15.4,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1
31,14.0,22.1,17.8,15.8,15.4,14.8,15.8,15.4,14.8,15.4,15.4,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1
32,22.1,16.3,15.4,14.6,16.3,15.4,15.1,15.4,15.4,15.1,15.4,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1
33,14.8,14.3,14.8,14.6,17.0,15.8,15.8,15.1,15.4,15.4,15.1,15.4,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1
34,31.3,17.8,16.3,15.4,14.8,17.0,15.8,15.4,15.1,15.4,15.1,15.4,15.1,15.1,15.1,15.4,15.1,15.1,15.1,15.1,15.1,15.1,15.1
35,22.1,17.0,15.4,14.8,16.3,15.4,15.4,15.1,15.4,15.4,15.1,15.4,15.1,15.1,15.1,15.4,15.1,15.1,15.1,15.1,15.1,15.4,15.4
36,14.3,14.1,17.0,15.4,15.1,15.4,15.1,15.8,15.8,15.4,15.1,15.4,15.4,15.1,15.1,15.4,15.1,15.1,15.1,15.4,15.1,15.4,15.4
37,14.3,14.1,17.8,15.8,15.4,14.8,16.3,15.4,15.4,15.1,15.4,15.4,15.1,15.1,15.4,15.1,15.1,15.4,15.4,15.1,15.4,15.1,15.1
38,15.8,14.6,14.6,15.8,15.1,15.4,15.4,15.4,15.1,15.4,15.4,15.1,15.4,15.1,15.1,15.4,15.1,15.4,15.4,15.1,15.4,15.1,15.1
39,16.3,14.8,14.5,18.9,17.8,16.3,15.8,15.4,14.8,15.8,15.8,15.4,15.4,15.1,15.4,15.1,15.4,15.1,15.1,15.4,15.1,15.4,15.4
40,15.8,14.6,14.6,17.8,17.0,15.8,15.4,15.1,15.8,15.8,15.4,15.4,15.1,15.4,15.1,15.4,15.4,15.1,15.1,15.4,15.1,15.4,15.4
41,14.6,14.2,17.0,15.4,15.1,15.4,15.4,15.4,15.4,15.4,15.1,15.4,15.4,15.4,15.4,15.1,15.4,15.1,15.4,15.1,15.4,15.4,15.4
42,14.0,24.5,18.9,17.0,15.8,15.1,16.3,15.4,15.4,15.4,15.4,15.1,15.4,15.4,15.1,15.4,15.4,15.4,15.4,15.4,15.4,15.1,15.1
43,14.1,16.3,15.1,15.4,15.1,15.8,15.4,15.4,15.4,15.1,15.8,15.4,15.4,15.1,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4
44,14.5,14.1,22.1,17.8,17.0,15.8,15.4,15.4,15.4,15.4,15.4,15.4,15.1,15.4,15.4,15.4,15.4,15.4,15.1,15.4,15.4,15.1,15.1
45,14.0,17.8,16.3,15.4,15.1,15.8,15.4,15.8,15.4,15.4,15.4,15.4,15.1,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4
