,0,1,2,3,4,5
0,14.0,14.8,14.0,31.3,24.5,14.0
1,14.0,14.0,14.0,27.5,15.4,15.8
2,14.0,14.0,14.0,17.8,14.0,17.8
3,14.0,14.5,14.0,115.5,22.1,14.1
4,14.0,16.3,20.3,14.0,14.0,14.0
5,230.4,14.3,14.8,14.1,14.0,14.0
6,14.0,14.0,14.0,14.6,14.0,50.9
7,14.4,2304.0,14.8,14.0,15.4,42.7
8,14.0,17.8,15.8,14.1,50.9,2304.0
9,14.2,14.5,14.0,14.0,14.0,14.0
10,18.9,14.1,14.0,14.0,14.0,14.0
11,14.5,14.0,14.5,14.0,14.0,14.0
12,14.0,14.6,14.0,14.0,14.0,22.1
13,14.0,15.4,14.6,14.0,14.0,14.3
14,15.8,14.1,14.5,14.6,14.2,14.4
15,14.0,36.3,14.2,17.8,17.8,14.0
16,14.3,22.1,36.3,14.0,92.8,14.0
17,14.8,15.1,14.0,2304.0,14.0,15.8
18,14.6,14.6,14.5,14.0,14.0,14.6
19,36.3,14.0,14.3,14.6,14.0,14.1
20,36.3,14.1,15.1,14.3,14.0,61.6
21,14.8,14.0,36.3,14.0,2304.0,14.2
22,14.6,14.0,14.0,14.0,20.3,14.6
23,15.4,14.6,14.5,14.0,14.2,17.0
24,14.3,14.5,14.0,14.0,75.2,14.0
25,14.0,15.4,14.0,14.0,14.0,14.0
26,15.8,14.0,92.8,14.0,14.0,14.0
27,61.6,50.9,14.1,15.4,14.3,15.8
28,17.0,36.3,14.4,14.5,14.0,14.0
29,14.0,14.0,92.8,14.0,14.6,14.5
30,14.0,14.0,14.8,17.0,14.0,14.6
31,14.0,115.5,14.6,50.9,14.0,2304.0
32,14.4,14.0,230.4,14.0,20.3,16.3
33,22.1,14.8,14.3,14.4,14.6,15.4
34,36.3,14.0,15.8,14.1,61.6,14.2
35,230.4,14.0,14.0,14.0,14.3,14.0
36,115.5,14.0,14.0,14.0,14.4,14.3
37,22.1,14.0,14.5,15.8,14.0,14.0
38,14.0,14.0,14.3,24.5,14.0,14.0
39,15.1,14.0,14.6,14.2,14.2,14.0
40,14.5,18.9,14.3,17.0,14.0,14.0
41,14.0,14.0,14.0,14.0,14.0,14.0
42,14.2,15.8,14.0,14.6,14.6,14.0
43,14.0,14.6,17.0,14.0,14.0,14.0
44,22.1,15.1,14.0,17.8,14.0,15.8
45,14.0,14.3,15.8,15.8,15.4,14.0
46,14.0,14.0,14.3,22.1,17.8,14.5
47,14.0,17.0,14.0,14.6,15.4,14.6
