,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,step_size,objective
0,2.16,0.0,0.0,0.0,667180.0,29979.0,10785508.1,0.0,1.0,10785510.26
1,1.76,0.18,0.13,429.91,667180.0,24484.0,9435584.4,0.0339,0.2191,9436016.07
2,1.49,0.31,0.13,609.1,667180.0,20713.02,9360918.88,0.0194,0.1542,9361529.47
3,1.31,0.39,0.13,731.83,667180.0,18266.43,9346519.78,0.0153,0.1181,9347252.92
4,1.25,0.42,0.13,779.7,667180.0,17355.43,9343628.07,0.006,0.05,9344409.02
5,1.22,0.43,0.13,808.72,667180.0,16943.08,9342658.28,0.0037,0.0238,9343468.22
6,1.2,0.44,0.13,819.41,667180.0,16711.39,9342241.04,0.0034,0.0137,9343061.649999999
7,1.18,0.45,0.13,843.34,667180.0,16449.39,9341747.44,0.003,0.0159,9342591.959999999
8,1.17,0.46,0.13,855.64,667180.0,16269.24,9341479.94,0.0028,0.012,9342336.75
9,1.17,0.46,0.13,862.93,667180.0,16200.89,9341387.96,0.0014,0.0046,9342252.06
10,1.16,0.46,0.13,883.55,667180.0,16105.89,9341188.59,0.0025,0.0115,9342073.3
11,1.15,0.47,0.13,886.12,667180.0,16017.75,9341080.9,0.0016,0.0056,9341968.17
12,1.15,0.47,0.13,889.76,667180.0,15973.98,9341029.25,0.0011,0.0028,9341920.16
13,1.15,0.47,0.13,894.28,667180.0,15923.4,9340976.84,0.001,0.0032,9341872.27
14,1.14,0.47,0.13,897.83,667180.0,15859.81,9340933.44,0.0011,0.0041,9341832.41
15,1.14,0.47,0.13,901.49,667180.0,15796.94,9340861.54,0.0013,0.004,9341764.17
16,1.13,0.47,0.13,905.04,667180.0,15759.6,9340822.99,0.001,0.0024,9341729.16
17,1.13,0.48,0.13,907.0,667180.0,15718.18,9340794.84,0.0015,0.0027,9341702.97
18,1.13,0.48,0.13,910.66,667180.0,15682.66,9340752.33,0.001,0.0023,9341664.120000001
19,1.13,0.48,0.13,911.81,667180.0,15660.4,9340736.63,0.0008,0.0014,9341649.570000002
20,1.12,0.48,0.13,914.91,667180.0,15609.91,9340709.74,0.0013,0.0033,9341625.77
21,1.12,0.48,0.13,915.76,667180.0,15586.62,9340691.44,0.0008,0.0015,9341608.319999998
22,1.12,0.48,0.13,915.76,667180.0,15586.62,9340691.44,0.0006,0.0,9341608.319999998
