,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,20.3,14.8,14.0,14.0,14.1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.2,14.1,14.0,14.2,14.1,14.0,14.1,14.0,14.1,14.0,14.1,14.0,14.0,14.0,14.0,14.1,14.1,14.1,14.1,14.1,14.1,14.0,14.1,14.0,14.0,14.0,14.0
1,14.5,14.0,14.0,14.0,14.0,14.0,14.0,14.1,14.0,14.0,14.0,14.0,14.1,14.0,14.0,14.1,14.0,14.0,14.2,14.1,14.0,14.1,14.0,14.0,14.1,14.0,14.1,14.0,14.1,14.1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.1,14.1,14.1,14.1
2,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.1,14.0,14.0,14.1,14.0,14.0,14.2,14.0,14.1,14.0,14.0,14.0,14.0,14.0,14.1,14.1,14.0,14.0,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.0,14.1,14.0,14.1,14.1
3,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.2,14.0,14.1,14.0,14.0,14.0,14.1,14.0,14.0,14.1,14.0,14.1,14.0,14.1,14.1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.1,14.1,14.1,14.1
4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.1,14.0,14.0,14.0,14.1,14.0,14.1,14.0,14.0,14.1,14.1,14.0,14.1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.1,14.1,14.1,14.1
5,14.3,14.0,14.0,14.0,14.0,14.1,14.0,14.1,14.0,14.0,14.2,14.2,14.1,14.0,14.0,14.2,14.2,14.1,14.0,14.0,14.1,14.0,14.0,14.1,14.1,14.1,14.0,14.0,14.0,14.0,14.2,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.0,14.0,14.0,14.0
6,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.2,14.1,14.0,14.2,14.2,14.1,14.0,14.0,14.3,14.2,14.1,14.0,14.1,14.0,14.2,14.2,14.0,14.1,14.0,14.1,14.1,14.1,14.1,14.0,14.1,14.1,14.0,14.1,14.1,14.1,14.0,14.1,14.1,14.1,14.1
7,14.0,14.0,14.0,14.0,14.3,14.0,14.1,14.0,14.0,14.1,14.0,14.1,14.0,14.2,14.1,14.0,14.2,14.1,14.0,14.2,14.1,14.0,14.1,14.0,14.1,14.0,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.0,14.1,14.0,14.1,14.1,14.1,14.1
8,14.0,14.0,14.0,14.0,14.2,14.0,14.0,14.3,14.2,14.1,14.0,14.0,14.1,14.0,14.1,14.0,14.1,14.1,14.1,14.0,14.1,14.0,14.1,14.1,14.0,14.1,14.0,14.1,14.0,14.1,14.0,14.0,14.0,14.1,14.0,14.0,14.1,14.0,14.2,14.1,14.1,14.1
9,14.0,14.0,14.0,14.0,14.0,14.2,14.0,14.5,14.3,14.2,14.0,14.1,14.0,14.2,14.2,14.0,14.0,14.1,14.1,14.1,14.1,14.0,14.1,14.0,14.1,14.1,14.0,14.1,14.0,14.1,14.0,14.1,14.1,14.1,14.0,14.1,14.0,14.1,14.0,14.0,14.1,14.1
10,14.0,14.1,14.0,14.0,14.1,14.0,14.1,14.0,14.2,14.2,14.0,14.0,14.0,14.3,14.2,14.0,14.1,14.1,14.2,14.1,14.1,14.0,14.2,14.1,14.0,14.2,14.1,14.0,14.1,14.1,14.1,14.1,14.0,14.1,14.0,14.1,14.0,14.1,14.1,14.1,14.1,14.1
11,14.1,14.0,14.0,14.1,14.0,14.1,14.1,14.2,14.0,14.2,14.0,14.0,14.1,14.1,14.1,14.2,14.0,14.2,14.0,14.2,14.1,14.1,14.0,14.2,14.2,14.1,14.1,14.1,14.1,14.1,14.0,14.1,14.1,14.1,14.0,14.1,14.0,14.1,14.1,14.1,14.1,14.1
12,14.0,14.0,14.0,14.0,14.0,14.2,14.2,14.0,14.2,14.1,14.3,14.2,14.2,14.0,14.2,14.0,14.2,14.1,14.2,14.2,14.2,14.0,14.1,14.1,14.1,14.1,14.0,14.1,14.1,14.1,14.1,14.0,14.1,14.1,14.1,14.1,14.0,14.1,14.1,14.1,14.1,14.1
