,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,2.3,0.0,0.0,0.0,1534078.0,73598.0,22862667.2,0.0,22862667.2
1,1.84,0.2,0.06,1712.86,1534078.0,58861.95,21599627.5,0.0323,21601340.36
2,1.68,0.27,0.06,2399.93,1534078.0,53787.41,21529963.09,0.0135,21532363.02
3,1.6,0.31,0.06,2848.21,1534078.0,51007.3,21510644.35,0.0079,21513492.560000002
4,1.52,0.34,0.06,3304.95,1534078.0,48515.75,21498064.04,0.0089,21501368.99
5,1.47,0.36,0.06,3568.08,1534078.0,46893.71,21493210.89,0.0077,21496778.97
6,1.34,0.42,0.06,4133.09,1534078.0,42854.5,21482238.27,0.0104,21486371.36
7,1.31,0.43,0.06,4258.16,1534078.0,41930.83,21480818.29,0.0037,21485076.45
8,1.28,0.45,0.06,4307.21,1534078.0,40830.5,21479648.81,0.005,21483956.02
9,1.27,0.45,0.06,4323.12,1534078.0,40465.4,21479257.6,0.0024,21483580.720000003
10,1.25,0.46,0.06,4375.15,1534078.0,39985.36,21478722.13,0.0027,21483097.279999997
11,1.24,0.46,0.06,4388.86,1534078.0,39509.3,21478212.99,0.0032,21482601.849999998
12,1.23,0.47,0.06,4398.77,1534078.0,39273.53,21478049.22,0.002,21482447.99
13,1.23,0.47,0.06,4404.05,1534078.0,39159.07,21477957.2,0.0013,21482361.25
14,1.22,0.47,0.06,4406.39,1534078.0,39006.95,21477858.31,0.0013,21482264.7
15,1.22,0.47,0.06,4415.56,1534078.0,38854.92,21477786.1,0.0016,21482201.66
16,1.21,0.48,0.06,4468.88,1534078.0,38580.26,21477500.43,0.0026,21481969.31
17,1.2,0.48,0.06,4467.13,1534078.0,38503.37,21477464.58,0.001,21481931.709999997
18,1.2,0.48,0.06,4469.46,1534078.0,38388.75,21477382.74,0.0018,21481852.2
19,1.2,0.48,0.06,4469.46,1534078.0,38388.75,21477382.74,0.0005,21481852.2
