,0,1,2,3,4,5,6,7,8,9
0,61.6,42.7,31.3,31.3,24.5,24.5,24.5,24.5,24.5,24.5
1,24.5,22.1,20.3,22.1,24.5,31.3,31.3,36.3,36.3,36.3
2,14.8,14.6,15.1,15.4,15.4,15.8,15.8,15.8,15.8,15.8
3,14.8,14.6,22.1,36.3,36.3,36.3,31.3,31.3,31.3,31.3
4,14.6,14.5,15.4,18.9,24.5,27.5,27.5,31.3,31.3,31.3
5,15.8,17.8,17.0,17.0,17.8,17.8,17.8,17.8,18.9,18.9
6,14.4,50.9,36.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5
7,14.0,17.0,22.1,22.1,27.5,24.5,31.3,27.5,27.5,27.5
8,14.5,14.6,17.8,17.8,22.1,22.1,31.3,31.3,31.3,31.3
9,15.8,17.0,17.0,20.3,20.3,18.9,20.3,20.3,20.3,20.3
10,15.8,17.0,17.8,36.3,31.3,36.3,36.3,36.3,36.3,36.3
11,17.8,17.0,17.0,22.1,20.3,24.5,22.1,22.1,22.1,22.1
12,42.7,31.3,24.5,22.1,22.1,24.5,24.5,24.5,24.5,24.5
13,42.7,31.3,24.5,22.1,22.1,22.1,24.5,27.5,27.5,27.5
14,42.7,31.3,24.5,22.1,22.1,20.3,20.3,22.1,22.1,22.1
15,230.4,144.6,115.5,75.2,61.6,61.6,50.9,50.9,50.9,50.9
16,61.6,50.9,61.6,50.9,50.9,42.7,50.9,50.9,50.9,50.9
17,20.3,18.9,20.3,18.9,20.3,18.9,20.3,20.3,20.3,20.3
18,50.9,36.3,31.3,27.5,61.6,61.6,61.6,61.6,61.6,61.6
19,24.5,22.1,20.3,17.8,22.1,22.1,20.3,20.3,20.3,20.3
20,115.5,61.6,50.9,36.3,31.3,31.3,31.3,27.5,27.5,27.5
21,92.8,61.6,42.7,36.3,31.3,31.3,27.5,27.5,27.5,27.5
22,50.9,36.3,31.3,24.5,22.1,22.1,22.1,22.1,22.1,22.1
23,92.8,61.6,50.9,36.3,31.3,31.3,27.5,27.5,27.5,27.5
24,61.6,50.9,36.3,36.3,31.3,42.7,42.7,50.9,50.9,50.9
25,18.9,22.1,20.3,18.9,18.9,20.3,18.9,20.3,20.3,20.3
26,22.1,92.8,115.5,115.5,92.8,92.8,75.2,75.2,75.2,75.2
27,17.8,20.3,22.1,50.9,50.9,42.7,42.7,42.7,42.7,42.7
28,27.5,22.1,20.3,24.5,24.5,22.1,24.5,24.5,24.5,24.5
29,61.6,42.7,31.3,27.5,24.5,22.1,22.1,22.1,22.1,22.1
30,50.9,61.6,144.6,115.5,92.8,75.2,61.6,61.6,61.6,61.6
31,17.8,20.3,36.3,31.3,36.3,36.3,36.3,36.3,36.3,36.3
32,24.5,22.1,22.1,22.1,22.1,24.5,22.1,24.5,24.5,24.5
33,50.9,36.3,31.3,24.5,24.5,24.5,24.5,22.1,24.5,24.5
34,61.6,50.9,36.3,31.3,24.5,24.5,24.5,22.1,22.1,22.1
35,115.5,75.2,50.9,36.3,31.3,31.3,31.3,31.3,31.3,31.3
36,115.5,75.2,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3
37,61.6,50.9,36.3,31.3,24.5,24.5,24.5,24.5,24.5,24.5
38,92.8,61.6,42.7,36.3,31.3,31.3,27.5,27.5,27.5,27.5
39,115.5,75.2,50.9,42.7,36.3,36.3,36.3,36.3,36.3,36.3
40,36.3,31.3,24.5,22.1,22.1,20.3,22.1,22.1,22.1,22.1
41,61.6,50.9,36.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5
42,36.3,31.3,27.5,31.3,27.5,24.5,24.5,24.5,24.5,24.5
43,31.3,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
44,36.3,31.3,31.3,24.5,31.3,31.3,27.5,31.3,31.3,31.3
45,24.5,24.5,22.1,20.3,20.3,20.3,18.9,18.9,18.9,18.9
46,24.5,42.7,50.9,61.6,75.2,92.8,92.8,115.5,115.5,115.5
47,14.5,14.5,14.5,14.6,14.6,14.6,14.8,14.8,14.8,14.8
