,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.25,0.0,0.0,0.0,32722744.0,852443.0,589261496.1,0.0
1,1.21,0.03,0.08,40467.12,32722744.0,827239.21,541201808.78,0.0264
2,1.18,0.06,0.11,74835.36,32722744.0,805194.38,524368822.33,0.0236
3,1.15,0.08,0.13,109513.07,32722744.0,783735.5,512955329.79,0.0221
4,1.11,0.11,0.14,148270.44,32722744.0,759042.47,504455067.36,0.0257
5,1.09,0.13,0.15,167576.85,32722744.0,745497.01,501387491.18,0.0159
6,1.09,0.13,0.15,173887.98,32722744.0,740294.86,500435670.88,0.0069
7,1.08,0.14,0.15,178949.79,32722744.0,735865.37,499779052.44,0.006
8,1.07,0.14,0.15,181873.2,32722744.0,729999.81,499278781.85,0.0077
9,1.07,0.15,0.15,184089.7,32722744.0,727084.59,498943306.49,0.0044
10,1.06,0.15,0.15,186045.18,32722744.0,724905.81,498725923.84,0.0035
11,1.06,0.15,0.15,188850.95,32722744.0,721289.03,498477227.57,0.0052
12,1.05,0.16,0.15,190267.02,32722744.0,719127.62,498315862.78,0.0041
13,1.05,0.16,0.15,191665.75,32722744.0,717690.29,498233910.29,0.0028
14,1.05,0.16,0.15,192599.97,32722744.0,714824.23,498128874.13,0.0044
15,1.04,0.17,0.16,194738.12,32722744.0,711502.66,497878298.74,0.0077
16,1.04,0.17,0.16,195157.93,32722744.0,710617.19,497832146.04,0.0027
17,1.04,0.17,0.16,195370.88,32722744.0,709733.33,497782683.37,0.0027
18,1.04,0.17,0.16,195614.07,32722744.0,709285.32,497750848.68,0.0019
19,1.04,0.17,0.16,195768.05,32722744.0,708841.39,497724428.85,0.0019
20,1.04,0.17,0.16,196103.5,32722744.0,708398.18,497692755.27,0.0134
21,1.04,0.17,0.16,196103.5,32722744.0,708398.18,497692755.27,0.0011
