,0,1,2,3,4,5
0,42.7,92.8,50.9,2304.0,2304.0,230.4
1,14.6,15.4,16.3,92.8,36.3,14.6
2,14.0,14.0,14.0,14.0,14.5,14.0
3,17.8,17.8,17.8,14.0,14.0,17.8
4,92.8,92.8,92.8,14.0,2304.0,50.9
5,14.0,14.0,14.0,2304.0,20.3,14.0
6,14.0,14.0,14.0,230.4,14.6,14.1
7,14.0,14.0,14.0,14.0,14.0,14.0
8,22.1,20.3,22.1,16.3,14.3,14.8
9,17.0,17.0,14.8,17.0,14.0,14.4
10,14.0,14.0,14.0,14.0,14.0,14.0
11,14.0,14.0,14.0,14.0,14.0,14.0
12,14.0,14.0,14.0,14.0,14.0,14.0
13,14.0,14.0,14.0,14.0,14.0,14.0
14,14.0,14.0,14.0,14.0,14.0,14.0
15,14.0,14.0,14.0,14.0,14.0,14.0
16,14.0,14.0,14.0,14.5,14.0,14.0
17,14.0,14.0,14.0,14.0,14.0,14.0
18,18.9,18.9,15.4,14.5,14.6,18.9
19,14.0,14.0,14.0,14.0,14.0,14.0
20,14.0,14.0,14.0,14.0,14.0,14.0
21,16.3,15.8,15.8,14.0,16.3,16.3
22,92.8,92.8,92.8,36.3,92.8,92.8
23,75.2,22.1,75.2,61.6,75.2,75.2
24,14.0,14.0,14.0,14.0,14.0,14.0
25,14.1,14.1,14.1,14.0,14.1,14.1
26,14.2,14.2,14.3,14.0,14.3,14.2
27,14.0,14.0,14.0,14.0,14.0,14.0
28,14.0,14.0,14.0,14.0,14.0,14.0
29,14.0,14.0,14.0,14.0,14.0,14.0
30,14.0,14.0,14.0,14.0,14.0,14.0
31,14.0,14.0,14.0,14.0,14.0,14.0
32,14.0,14.0,14.0,14.0,14.0,14.0
33,14.0,14.0,14.0,14.0,14.0,14.0
34,15.1,14.8,14.6,14.3,15.1,14.8
35,50.9,24.5,31.3,31.3,50.9,42.7
36,14.0,14.0,14.0,14.0,14.0,14.0
37,50.9,50.9,50.9,14.0,14.5,50.9
38,14.0,14.0,14.0,14.0,14.0,14.0
39,14.6,14.6,14.6,14.0,14.0,14.6
40,14.6,14.6,14.6,14.0,14.0,14.6
41,14.0,14.0,14.0,14.0,14.0,14.0
42,14.2,14.0,14.2,14.0,14.0,14.2
43,230.4,144.6,144.6,31.3,230.4,230.4
44,75.2,75.2,22.1,31.3,75.2,75.2
45,14.0,14.0,14.0,14.5,14.0,14.0
46,230.4,230.4,115.5,14.2,50.9,230.4
47,17.0,17.0,17.0,14.0,14.5,17.0
