,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,1.18,0.0,0.0,0.0,162511410.0,3990403.0,3040517746.8,0.0,3040517746.8
1,1.17,0.01,0.03,141936.17,162511410.0,3947511.53,2949754296.63,0.0122,2949896232.8
2,1.16,0.02,0.05,246412.9,162511410.0,3916777.53,2892338754.72,0.0077,2892585167.62
3,1.15,0.03,0.07,327924.58,162511410.0,3882543.1,2838915636.97,0.0093,2839243561.5499997
4,1.13,0.04,0.08,442453.76,162511410.0,3836831.05,2783485923.08,0.0143,2783928376.84
5,1.12,0.05,0.1,562793.64,162511410.0,3790899.99,2735261916.31,0.0153,2735824709.95
6,1.11,0.06,0.11,638553.7,162511410.0,3761208.48,2709305835.43,0.0095,2709944389.1299996
7,1.11,0.06,0.11,687292.46,162511410.0,3741483.36,2692476822.97,0.0069,2693164115.43
8,1.1,0.07,0.12,731964.86,162511410.0,3728347.86,2680914744.07,0.0036,2681646708.9300003
9,1.1,0.07,0.12,770516.68,162511410.0,3711903.69,2668874662.78,0.0052,2669645179.46
10,1.09,0.08,0.13,823078.85,162511410.0,3690070.05,2657657634.58,0.0077,2658480713.43
11,1.08,0.08,0.13,868031.01,162511410.0,3670333.42,2647590245.15,0.0078,2648458276.1600003
12,1.08,0.09,0.13,891089.58,162511410.0,3650676.52,2640135992.02,0.0078,2641027081.6
13,1.08,0.09,0.13,904424.82,162511410.0,3641604.34,2636456427.2,0.0038,2637360852.02
14,1.07,0.09,0.13,917681.36,162511410.0,3634654.44,2633474536.51,0.0036,2634392217.8700004
15,1.07,0.09,0.14,937257.18,162511410.0,3614292.1,2628064621.59,0.0061,2629001878.77
16,1.06,0.1,0.14,947135.0,162511410.0,3601084.83,2624393464.67,0.0061,2625340599.67
17,1.06,0.1,0.14,956304.68,162511410.0,3592456.71,2622469353.51,0.0036,2623425658.19
18,1.06,0.1,0.14,963636.75,162511410.0,3583869.75,2620849107.99,0.0037,2621812744.74
19,1.06,0.1,0.14,969817.3,162511410.0,3576174.82,2619422816.52,0.0037,2620392633.82
20,1.05,0.11,0.14,982976.36,162511410.0,3570971.62,2618305148.67,0.0029,2619288125.03
21,1.05,0.11,0.14,991073.29,162511410.0,3567644.0,2617605326.5,0.0019,2618596399.79
22,1.05,0.11,0.14,999205.11,162511410.0,3563552.66,2616861075.65,0.002,2617860280.76
23,1.04,0.11,0.14,996535.33,162511410.0,3533017.43,2613956255.97,0.0092,2614952791.2999997
24,1.04,0.11,0.14,996535.33,162511410.0,3533017.43,2613956255.97,0.0011,2614952791.2999997
