,0,1,2,3,4,5
0,3177.49,3280.215,3223.631,3395.872,3312.705,3255.929
1,3049.396,3414.358,3255.934,3413.259,3200.028,3274.751
2,3033.274,3471.669,3303.4,3339.657,3300.017,3480.199
3,3138.398,3293.671,3529.193,3320.803,3380.881,3488.433
4,2801.023,3224.455,3418.561,3668.35,3475.826,3314.762
5,2537.859,3256.873,3373.705,3452.335,3357.962,3405.613
6,2537.755,3409.477,3251.994,3269.351,3488.411,3593.244
7,2543.625,3356.448,3360.884,3535.49,3258.844,3292.213
8,2801.062,3229.535,3386.777,3392.637,3230.587,3415.096
9,2849.776,3319.461,3111.905,3364.671,3432.139,3309.329
10,2855.713,3338.58,3182.832,3329.551,3435.743,3252.319
11,2972.92,3263.888,3247.024,3331.421,3368.719,3294.862
12,3128.469,3147.026,3263.123,3295.375,3293.205,3256.662
13,2935.613,3278.703,3321.578,3283.63,3183.263,3355.532
14,3141.475,3395.425,3438.488,3366.926,3232.029,3307.925
15,3263.393,3329.691,3341.351,3318.752,3320.175,3302.148
16,3660.034,3434.559,3408.084,3437.235,3404.144,3460.924
17,3745.708,3436.793,3458.218,3394.933,3432.069,3462.435
18,3765.004,3470.945,3448.63,3389.987,3422.787,3486.708
19,3770.01,3492.784,3418.45,3335.015,3410.51,3392.444
20,3967.19,3530.094,3446.837,3365.022,3366.518,3519.173
21,3798.188,3408.513,3414.258,3385.255,3417.624,3462.545
22,3541.614,3369.372,3398.93,3407.408,3572.593,3420.5
23,3427.034,3242.205,3374.317,3397.313,3479.889,3212.322
24,3541.504,3313.428,3417.949,3346.431,3381.697,3194.948
25,3487.017,3398.688,3399.516,3266.679,3291.554,3336.716
26,3527.66,3396.623,3401.473,3397.823,3332.598,3366.731
27,3442.761,3391.187,3543.112,3357.025,3246.561,3286.326
28,3612.612,3549.362,3473.008,3341.433,3246.449,3319.359
29,3555.224,3533.244,3420.933,3453.696,3316.409,3340.341
30,3655.182,3502.853,3375.786,3486.111,3492.991,3325.795
31,3630.422,3338.728,3430.648,3413.59,3435.533,3410.192
32,3539.908,3279.792,3434.086,3400.491,3435.605,3425.797
33,3648.019,3390.038,3518.019,3277.122,3351.117,3498.723
34,3989.539,3505.471,3375.661,3447.509,3412.435,3489.652
35,3990.403,3405.05,3458.795,3513.699,3418.94,3447.2
36,3935.39,3397.513,3404.473,3432.208,3414.701,3477.487
37,3638.982,3447.168,3351.47,3449.347,3548.826,3377.188
38,3793.818,3483.75,3426.534,3405.015,3471.361,3432.872
39,3893.032,3394.863,3451.901,3346.901,3338.665,3445.383
40,3551.419,3412.829,3559.968,3340.905,3360.671,3348.658
41,3711.112,3336.956,3448.022,3420.704,3442.682,3316.699
42,3718.99,3412.461,3454.979,3375.846,3484.019,3370.49
43,3684.396,3381.011,3339.199,3426.45,3513.94,3361.36
44,3391.947,3522.41,3434.863,3365.964,3457.483,3332.133
45,3009.478,3499.371,3479.249,3400.688,3478.859,3408.081
46,3241.616,3434.976,3337.022,3302.318,3442.235,3631.317
47,2878.956,3388.898,3196.64,3353.207,3419.411,3551.894
