,0,1,2,3,4,5
0,24.5,31.3,36.3,50.9,31.3,31.3
1,22.1,31.3,50.9,50.9,24.5,42.7
2,22.1,42.7,42.7,36.3,24.5,36.3
3,24.5,31.3,36.3,36.3,31.3,27.5
4,17.0,36.3,31.3,42.7,31.3,27.5
5,15.1,36.3,31.3,31.3,31.3,27.5
6,15.1,42.7,42.7,24.5,50.9,50.9
7,15.1,31.3,36.3,27.5,50.9,36.3
8,17.0,31.3,42.7,27.5,61.6,31.3
9,17.8,31.3,36.3,36.3,31.3,31.3
10,17.8,36.3,31.3,31.3,50.9,61.6
11,20.3,31.3,27.5,31.3,50.9,61.6
12,24.5,31.3,50.9,36.3,36.3,36.3
13,18.9,31.3,36.3,50.9,31.3,36.3
14,24.5,50.9,31.3,50.9,50.9,36.3
15,31.3,36.3,36.3,50.9,50.9,50.9
16,92.8,50.9,42.7,50.9,50.9,36.3
17,115.5,50.9,50.9,50.9,42.7,50.9
18,115.5,36.3,42.7,50.9,36.3,36.3
19,115.5,31.3,50.9,36.3,36.3,31.3
20,230.4,36.3,36.3,50.9,42.7,36.3
21,144.6,42.7,42.7,50.9,50.9,36.3
22,61.6,50.9,50.9,42.7,42.7,42.7
23,42.7,61.6,50.9,36.3,42.7,50.9
24,61.6,36.3,50.9,50.9,42.7,42.7
25,50.9,50.9,36.3,36.3,50.9,50.9
26,61.6,50.9,36.3,36.3,42.7,42.7
27,50.9,31.3,31.3,31.3,36.3,36.3
28,75.2,36.3,50.9,36.3,61.6,36.3
29,61.6,31.3,42.7,50.9,50.9,36.3
30,92.8,42.7,42.7,61.6,36.3,36.3
31,75.2,50.9,36.3,50.9,36.3,36.3
32,61.6,36.3,31.3,50.9,31.3,36.3
33,92.8,50.9,31.3,42.7,31.3,42.7
34,230.4,36.3,61.6,42.7,36.3,50.9
35,230.4,36.3,50.9,50.9,50.9,50.9
36,230.4,42.7,50.9,36.3,42.7,50.9
37,92.8,31.3,50.9,36.3,31.3,50.9
38,144.6,36.3,36.3,50.9,36.3,50.9
39,182.1,36.3,36.3,36.3,42.7,42.7
40,61.6,61.6,31.3,31.3,50.9,36.3
41,115.5,36.3,61.6,61.6,61.6,42.7
42,115.5,36.3,50.9,50.9,50.9,42.7
43,92.8,50.9,42.7,36.3,42.7,50.9
44,42.7,50.9,36.3,36.3,42.7,50.9
45,20.3,144.6,50.9,36.3,27.5,50.9
46,31.3,42.7,31.3,31.3,36.3,42.7
47,17.8,27.5,31.3,36.3,36.3,31.3
