,0,1,2,3,4,5
0,3245.135,3332.293,3347.898,3231.778,3344.954,3290.175
1,3021.211,3122.146,3455.03,3335.484,3376.225,3294.995
2,2873.435,3300.049,3323.391,3291.181,3585.4,3396.213
3,2811.263,3294.693,3340.092,3156.783,3510.449,3267.573
4,2543.084,3321.967,3405.408,3114.509,3401.169,3236.91
5,2538.983,3276.853,3383.291,3278.43,3409.504,3315.409
6,2756.328,3250.544,3389.158,3429.593,3180.253,3270.067
7,2794.422,3523.398,3321.823,3513.85,3177.362,3490.482
8,2652.744,3467.703,3196.409,3496.587,3219.989,3444.121
9,2523.767,3401.487,3315.156,3601.533,3217.838,3402.346
10,2528.173,3498.433,3384.273,3467.033,3229.553,3346.825
11,2858.716,3263.548,3630.868,3392.244,3466.686,3192.44
12,3026.267,3234.111,3444.687,3559.744,3464.74,3284.823
13,3350.746,3427.681,3213.672,3389.315,3327.199,3376.864
14,3380.741,3455.97,3393.956,3384.527,3450.297,3489.173
15,3699.51,3435.359,3304.48,3380.337,3275.999,3334.545
16,3834.774,3366.861,3435.226,3269.007,3353.222,3363.552
17,3627.557,3358.041,3346.406,3336.097,3337.355,3325.041
18,3606.665,3356.593,3369.642,3457.495,3367.91,3322.657
19,3604.731,3441.325,3393.451,3364.322,3388.932,3378.343
20,3568.726,3357.79,3294.855,3351.063,3319.383,3455.758
21,3249.506,3375.601,3308.818,3439.556,3393.8,3485.35
22,3435.433,3299.78,3398.519,3408.45,3264.581,3295.835
23,3429.169,3274.069,3401.249,3451.132,3327.101,3423.621
24,3663.398,3359.443,3295.308,3296.982,3362.961,3463.301
25,3587.054,3297.716,3303.556,3380.074,3297.957,3394.356
26,3774.859,3310.568,3463.708,3383.251,3342.693,3378.44
27,3640.9,3376.909,3405.826,3284.453,3360.945,3369.706
28,3484.356,3520.246,3466.88,3380.908,3259.5,3423.401
29,3662.193,3389.958,3391.168,3315.827,3319.682,3439.508
30,3721.165,3320.559,3297.448,3218.571,3342.513,3276.839
31,3823.973,3465.82,3380.661,3274.328,3344.65,3326.158
32,3860.413,3335.592,3394.092,3265.069,3277.035,3271.795
33,3792.681,3323.522,3301.54,3248.145,3462.975,3354.127
34,3751.229,3400.175,3287.631,3183.761,3505.284,3320.998
35,3851.398,3467.106,3405.616,3268.975,3345.598,3406.245
36,3838.847,3385.798,3419.348,3370.5,3343.625,3435.151
37,3978.374,3459.559,3519.316,3407.245,3355.357,3467.06
38,3946.882,3448.162,3418.175,3407.089,3318.497,3400.419
39,3820.137,3442.733,3392.162,3464.246,3382.672,3312.01
40,3771.425,3455.526,3362.1,3417.716,3478.992,3383.392
41,3470.39,3476.366,3330.571,3422.219,3417.392,3361.901
42,3371.836,3506.017,3326.738,3488.162,3288.078,3523.618
43,3388.76,3173.828,3226.696,3318.196,3320.599,3295.279
44,3292.87,3243.418,3178.16,3352.957,3370.974,3331.012
45,2969.252,3378.625,3324.774,3447.422,3621.623,3355.596
46,3042.011,3239.538,3264.829,3343.159,3476.807,3362.423
47,3002.927,3254.937,3514.355,3429.111,3482.106,3332.563
