,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,1.27,0.0,0.0,0.0,162396320.0,4297046.0,2682273332.5,0.0,2682273332.5
1,1.25,0.02,0.03,764110.67,162396320.0,4213188.91,2605790669.39,0.0195,2606554780.06
2,1.22,0.04,0.05,1567547.92,162396320.0,4136101.01,2549334259.2,0.0206,2550901807.12
3,1.2,0.05,0.06,2289144.81,162396320.0,4068961.35,2509052761.83,0.0168,2511341906.64
4,1.19,0.06,0.07,2712241.54,162396320.0,4021695.52,2487914931.61,0.0124,2490627173.15
5,1.18,0.07,0.08,2973616.4,162396320.0,3989496.48,2477290520.52,0.0087,2480264136.92
6,1.17,0.08,0.08,3205395.6,162396320.0,3952572.77,2466074106.78,0.0103,2469279502.38
7,1.16,0.09,0.08,3481913.21,162396320.0,3913072.21,2455736360.55,0.0102,2459218273.76
8,1.14,0.1,0.09,3756110.26,162396320.0,3868812.65,2446578687.17,0.0101,2450334797.4300003
9,1.14,0.1,0.09,3850501.81,162396320.0,3848010.83,2442785944.98,0.0065,2446636446.79
10,1.13,0.11,0.09,3935549.01,162396320.0,3833271.74,2439834082.92,0.0059,2443769631.9300003
11,1.13,0.11,0.09,4009654.46,162396320.0,3820950.72,2437221837.81,0.0041,2441231492.27
12,1.12,0.12,0.09,4093852.04,162396320.0,3785694.3,2432232559.78,0.0099,2436326411.82
13,1.12,0.12,0.09,4143608.65,162396320.0,3773704.62,2430670371.42,0.0041,2434813980.07
14,1.11,0.13,0.09,4181459.93,162396320.0,3755396.14,2428443487.41,0.0042,2432624947.3399997
15,1.11,0.13,0.1,4222108.68,162396320.0,3743563.28,2427092108.86,0.0051,2431314217.54
16,1.1,0.13,0.1,4265141.06,162396320.0,3734334.33,2426213595.43,0.0033,2430478736.49
17,1.1,0.13,0.1,4289253.38,162396320.0,3728907.84,2425603192.12,0.0026,2429892445.5
18,1.1,0.14,0.1,4354124.19,162396320.0,3714249.23,2424238819.4,0.0041,2428592943.59
19,1.1,0.14,0.1,4383627.5,162396320.0,3705064.0,2423532548.33,0.0042,2427916175.83
20,1.09,0.14,0.1,4414739.51,162396320.0,3691458.34,2422646307.57,0.005,2427061047.0800004
21,1.08,0.15,0.1,4449938.28,162396320.0,3668674.53,2421623141.56,0.0056,2426073079.84
22,1.08,0.15,0.1,4471746.55,162396320.0,3652499.99,2420852958.24,0.0058,2425324704.79
23,1.08,0.15,0.1,4510588.55,162396320.0,3641084.55,2420335622.79,0.0041,2424846211.34
24,1.07,0.15,0.1,4550305.16,162396320.0,3633055.72,2420093501.97,0.0034,2424643807.1299996
25,1.07,0.16,0.1,4570568.78,162396320.0,3626197.27,2419891263.18,0.0033,2424461831.96
26,1.07,0.16,0.1,4589571.75,162396320.0,3619459.87,2419772224.62,0.0034,2424361796.37
27,1.07,0.16,0.1,4602727.24,162396320.0,3614273.43,2419579849.59,0.0027,2424182576.83
28,1.07,0.16,0.1,4613730.94,162396320.0,3610855.29,2419510242.85,0.0019,2424123973.79
29,1.07,0.16,0.1,4630239.03,162396320.0,3605861.45,2419409752.42,0.0026,2424039991.4500003
30,1.06,0.16,0.1,4644152.08,162396320.0,3600579.36,2419284173.43,0.0026,2423928325.5099998
31,1.06,0.16,0.1,4652268.05,162396320.0,3596694.17,2419231356.52,0.0019,2423883624.57
32,1.06,0.16,0.1,4652268.05,162396320.0,3596694.17,2419231356.52,0.0011,2423883624.57
