,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,1.2,0.0,0.0,0.0,161926802.0,4033235.0,2988630241.1,0.0,2988630241.1
1,1.17,0.02,0.05,1165496.96,161926802.0,3947164.01,2839012916.92,0.0246,2840178413.88
2,1.16,0.03,0.07,1799411.59,161926802.0,3899577.59,2771709377.36,0.0152,2773508788.9500003
3,1.14,0.05,0.1,2543673.55,161926802.0,3832604.59,2699027761.13,0.0192,2701571434.6800003
4,1.12,0.06,0.11,3095111.58,161926802.0,3773357.16,2646394120.17,0.0186,2649489231.75
5,1.11,0.07,0.12,3326447.51,161926802.0,3740406.24,2621876960.35,0.0106,2625203407.86
6,1.1,0.08,0.13,3667714.15,161926802.0,3700585.18,2598557363.44,0.0119,2602225077.59
7,1.09,0.09,0.14,3982184.54,161926802.0,3667941.93,2583717112.04,0.0102,2587699296.58
8,1.08,0.1,0.14,4094503.54,161926802.0,3644114.18,2575206788.05,0.0082,2579301291.59
9,1.08,0.1,0.14,4181812.35,161926802.0,3630813.24,2571258069.85,0.0062,2575439882.2
10,1.07,0.1,0.14,4302857.04,161926802.0,3616256.43,2566721721.33,0.006,2571024578.37
11,1.07,0.11,0.14,4424147.0,161926802.0,3597847.75,2562338128.15,0.007,2566762275.15
12,1.06,0.11,0.14,4469195.27,161926802.0,3588641.91,2560344266.59,0.0045,2564813461.86
13,1.06,0.11,0.14,4522514.37,161926802.0,3583451.49,2559556407.97,0.0021,2564078922.3399997
14,1.05,0.12,0.15,4551937.7,161926802.0,3546530.63,2554491077.04,0.012,2559043014.74
15,1.05,0.12,0.15,4586558.57,161926802.0,3536624.42,2553340713.56,0.0045,2557927272.13
16,1.05,0.12,0.15,4610567.32,161926802.0,3531026.57,2552691960.39,0.0039,2557302527.71
17,1.05,0.13,0.15,4630350.75,161926802.0,3526648.47,2552384596.41,0.0028,2557014947.16
18,1.04,0.13,0.15,4645169.05,161926802.0,3522551.13,2552155768.58,0.0029,2556800937.63
19,1.04,0.13,0.15,4663426.77,161926802.0,3508935.14,2551569890.43,0.0046,2556233317.2
20,1.04,0.13,0.15,4693533.71,161926802.0,3504030.22,2551221857.26,0.0029,2555915390.9700003
21,1.04,0.13,0.15,4716722.62,161926802.0,3497651.27,2550956861.87,0.0038,2555673584.49
22,1.04,0.13,0.15,4732878.81,161926802.0,3492961.58,2550698733.61,0.0029,2555431612.42
23,1.03,0.14,0.15,4757018.2,161926802.0,3488584.88,2550486044.96,0.0028,2555243063.16
24,1.03,0.14,0.15,4767831.78,161926802.0,3482640.59,2550301678.37,0.0037,2555069510.15
25,1.03,0.14,0.15,4790529.59,161926802.0,3478851.96,2550120701.03,0.003,2554911230.6200004
26,1.03,0.14,0.15,4808872.58,161926802.0,3474163.29,2549948028.24,0.003,2554756900.8199997
27,1.03,0.14,0.15,4808872.58,161926802.0,3474163.29,2549948028.24,0.0013,2554756900.8199997
