,0,1,2,3,4,5
0,20.3,31.3,31.3,24.5,22.1,31.3
1,17.8,22.1,24.5,36.3,22.1,24.5
2,17.0,20.3,31.3,36.3,22.1,24.5
3,16.3,24.5,27.5,36.3,24.5,31.3
4,17.0,24.5,27.5,31.3,31.3,24.5
5,15.4,31.3,31.3,27.5,31.3,31.3
6,15.4,36.3,36.3,24.5,31.3,31.3
7,15.4,50.9,31.3,24.5,31.3,36.3
8,15.8,50.9,36.3,31.3,31.3,36.3
9,15.1,36.3,22.1,31.3,42.7,22.1
10,16.3,27.5,24.5,31.3,31.3,24.5
11,18.9,36.3,24.5,20.3,31.3,31.3
12,24.5,36.3,31.3,24.5,42.7,24.5
13,27.5,24.5,31.3,22.1,36.3,27.5
14,42.7,22.1,31.3,27.5,31.3,31.3
15,92.8,31.3,24.5,24.5,27.5,31.3
16,115.5,27.5,24.5,27.5,31.3,31.3
17,50.9,24.5,22.1,31.3,27.5,31.3
18,36.3,24.5,24.5,24.5,31.3,24.5
19,36.3,27.5,27.5,27.5,31.3,31.3
20,50.9,31.3,31.3,24.5,27.5,22.1
21,50.9,27.5,31.3,24.5,24.5,22.1
22,61.6,31.3,24.5,31.3,31.3,22.1
23,50.9,24.5,27.5,27.5,31.3,27.5
24,36.3,27.5,31.3,22.1,24.5,31.3
25,22.1,31.3,31.3,24.5,31.3,27.5
26,22.1,27.5,36.3,42.7,31.3,50.9
27,20.3,36.3,31.3,50.9,36.3,50.9
28,31.3,31.3,31.3,42.7,31.3,31.3
29,50.9,22.1,31.3,24.5,24.5,22.1
30,36.3,24.5,36.3,24.5,27.5,24.5
31,50.9,31.3,31.3,27.5,27.5,31.3
32,50.9,27.5,24.5,24.5,24.5,24.5
33,61.6,31.3,24.5,31.3,24.5,24.5
34,144.6,24.5,31.3,31.3,27.5,24.5
35,144.6,31.3,36.3,31.3,31.3,31.3
36,230.4,36.3,50.9,36.3,36.3,50.9
37,230.4,42.7,50.9,36.3,36.3,50.9
38,182.1,42.7,36.3,36.3,31.3,36.3
39,92.8,31.3,24.5,27.5,31.3,31.3
40,61.6,27.5,24.5,27.5,24.5,36.3
41,42.7,31.3,22.1,24.5,24.5,31.3
42,31.3,31.3,20.3,24.5,22.1,22.1
43,22.1,31.3,27.5,31.3,31.3,31.3
44,17.0,24.5,31.3,27.5,31.3,24.5
45,20.3,24.5,42.7,36.3,36.3,27.5
46,20.3,27.5,36.3,31.3,31.3,36.3
47,17.0,36.3,31.3,31.3,31.3,31.3
