,0,1,2,3,4,5,6,7,8,9
0,22.1,20.3,18.9,17.8,17.8,17.8,22.1,20.3,22.1,22.1
1,18.9,17.8,17.8,20.3,20.3,20.3,20.3,18.9,18.9,18.9
2,15.8,15.4,15.4,50.9,50.9,50.9,50.9,61.6,75.2,75.2
3,15.4,15.1,15.1,17.0,17.0,17.0,16.3,17.8,18.9,18.9
4,14.8,50.9,42.7,36.3,31.3,31.3,31.3,31.3,31.3,31.3
5,14.5,36.3,36.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5
6,14.8,15.4,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3
7,14.6,14.6,31.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5
8,15.4,15.1,15.8,31.3,31.3,31.3,27.5,27.5,24.5,24.5
9,15.4,15.4,15.1,24.5,31.3,31.3,27.5,27.5,27.5,27.5
10,17.0,16.3,15.8,16.3,36.3,36.3,36.3,36.3,36.3,36.3
11,17.0,17.0,16.3,15.8,20.3,20.3,36.3,36.3,36.3,36.3
12,20.3,18.9,17.8,17.8,17.8,17.0,22.1,22.1,22.1,22.1
13,31.3,27.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1
14,31.3,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3
15,36.3,36.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5
16,61.6,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,31.3
17,92.8,92.8,75.2,61.6,50.9,50.9,50.9,50.9,42.7,42.7
18,75.2,61.6,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3
19,61.6,61.6,50.9,42.7,36.3,36.3,36.3,36.3,36.3,36.3
20,42.7,36.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5
21,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,27.5,27.5
22,27.5,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3
23,31.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1
24,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,22.1,22.1
25,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5,24.5
26,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,22.1,22.1
27,36.3,36.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5
28,36.3,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5
29,27.5,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3
30,61.6,50.9,50.9,36.3,36.3,36.3,31.3,31.3,31.3,31.3
31,50.9,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,31.3
32,61.6,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3
33,61.6,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3
34,75.2,61.6,61.6,50.9,42.7,42.7,36.3,36.3,36.3,36.3
35,115.5,115.5,92.8,75.2,61.6,61.6,61.6,61.6,50.9,50.9
36,230.4,230.4,182.1,144.6,115.5,115.5,115.5,92.8,92.8,92.8
37,144.6,115.5,115.5,92.8,75.2,75.2,61.6,61.6,61.6,61.6
38,115.5,115.5,92.8,75.2,61.6,61.6,61.6,61.6,50.9,50.9
39,50.9,42.7,36.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5
40,36.3,31.3,31.3,24.5,24.5,24.5,22.1,22.1,22.1,22.1
41,31.3,31.3,27.5,24.5,24.5,22.1,22.1,24.5,24.5,24.5
42,24.5,24.5,22.1,22.1,20.3,20.3,20.3,22.1,22.1,22.1
43,27.5,24.5,24.5,22.1,22.1,22.1,20.3,22.1,22.1,22.1
44,27.5,24.5,24.5,22.1,22.1,22.1,20.3,20.3,22.1,22.1
45,24.5,24.5,22.1,20.3,20.3,20.3,20.3,18.9,20.3,20.3
46,22.1,22.1,20.3,20.3,22.1,36.3,61.6,50.9,50.9,50.9
47,17.0,17.0,16.3,15.8,15.8,18.9,27.5,27.5,27.5,27.5
