,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,31.3,31.3,27.5,24.5,24.5,27.5,27.5,24.5,27.5,36.3,36.3,36.3,31.3,31.3,50.9,50.9
1,24.5,22.1,22.1,20.3,22.1,24.5,24.5,24.5,27.5,50.9,50.9,50.9,50.9,50.9,42.7,42.7
2,17.8,17.8,17.8,17.8,61.6,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,42.7
3,17.8,17.8,18.9,18.9,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,42.7,36.3,36.3,36.3
4,17.0,16.3,42.7,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,50.9,50.9,42.7,42.7
5,14.8,15.4,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,42.7,36.3,36.3
6,14.6,75.2,61.6,61.6,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,31.3,31.3
7,14.8,17.8,17.8,17.8,17.8,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,42.7
8,15.1,15.1,36.3,31.3,31.3,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3
9,17.8,17.8,17.8,17.8,36.3,36.3,36.3,36.3,31.3,31.3,31.3,42.7,42.7,42.7,36.3,36.3
10,20.3,20.3,18.9,24.5,24.5,24.5,22.1,36.3,36.3,31.3,31.3,50.9,50.9,50.9,42.7,42.7
11,20.3,20.3,17.8,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,50.9,50.9
12,24.5,24.5,22.1,22.1,22.1,20.3,42.7,42.7,42.7,36.3,36.3,36.3,36.3,36.3,42.7,42.7
13,50.9,42.7,36.3,36.3,31.3,31.3,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
14,50.9,50.9,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,42.7,36.3,36.3
15,115.5,92.8,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,42.7,36.3,36.3
16,115.5,92.8,92.8,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,42.7,42.7
17,115.5,115.5,92.8,92.8,75.2,61.6,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7
18,115.5,92.8,92.8,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,42.7,42.7
19,61.6,61.6,50.9,50.9,42.7,36.3,36.3,36.3,36.3,31.3,31.3,36.3,31.3,36.3,36.3,36.3
20,92.8,75.2,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3
21,144.6,115.5,92.8,92.8,92.8,75.2,75.2,61.6,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9
22,75.2,61.6,61.6,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
23,36.3,36.3,31.3,31.3,27.5,27.5,27.5,24.5,27.5,24.5,42.7,36.3,36.3,36.3,36.3,36.3
24,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,36.3,31.3,36.3,36.3,36.3,36.3,36.3,36.3
25,31.3,31.3,24.5,24.5,24.5,22.1,24.5,22.1,50.9,42.7,42.7,42.7,36.3,36.3,42.7,42.7
26,50.9,50.9,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3,36.3
27,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3,31.3,50.9,50.9,50.9
28,42.7,36.3,36.3,31.3,31.3,31.3,27.5,27.5,27.5,36.3,36.3,36.3,36.3,36.3,42.7,42.7
29,61.6,50.9,50.9,42.7,36.3,36.3,36.3,36.3,31.3,36.3,36.3,36.3,36.3,36.3,42.7,42.7
30,115.5,92.8,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,42.7,36.3,36.3
31,144.6,115.5,115.5,92.8,92.8,75.2,75.2,61.6,61.6,61.6,61.6,61.6,50.9,50.9,50.9,50.9
32,115.5,92.8,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,42.7,36.3,36.3
33,115.5,92.8,75.2,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7,42.7,36.3,36.3
34,144.6,144.6,115.5,115.5,92.8,92.8,92.8,75.2,75.2,61.6,61.6,61.6,61.6,61.6,50.9,50.9
35,230.4,230.4,182.1,144.6,144.6,115.5,115.5,115.5,115.5,92.8,92.8,92.8,92.8,92.8,75.2,75.2
36,182.1,144.6,115.5,115.5,92.8,92.8,92.8,92.8,75.2,61.6,61.6,61.6,61.6,61.6,61.6,61.6
37,115.5,92.8,75.2,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7,42.7,36.3,36.3
38,115.5,92.8,92.8,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,42.7,42.7
39,92.8,92.8,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3
40,144.6,144.6,115.5,115.5,92.8,92.8,92.8,75.2,75.2,61.6,61.6,61.6,61.6,61.6,50.9,50.9
41,144.6,115.5,92.8,92.8,92.8,75.2,61.6,61.6,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9
42,61.6,50.9,50.9,42.7,36.3,36.3,36.3,36.3,31.3,31.3,31.3,50.9,42.7,42.7,42.7,42.7
43,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3,42.7,42.7
