,0,1,2,3,4,5
0,31.3,42.7,50.9,61.6,61.6,61.6
1,24.5,36.3,61.6,75.2,61.6,36.3
2,17.8,75.2,61.6,50.9,36.3,50.9
3,17.8,50.9,50.9,36.3,36.3,42.7
4,17.0,36.3,50.9,42.7,36.3,61.6
5,14.8,36.3,50.9,50.9,36.3,61.6
6,14.6,24.5,31.3,24.5,50.9,50.9
7,14.8,50.9,42.7,61.6,36.3,50.9
8,15.1,50.9,27.5,42.7,27.5,36.3
9,17.8,92.8,42.7,42.7,42.7,36.3
10,20.3,75.2,31.3,36.3,27.5,50.9
11,20.3,50.9,36.3,50.9,27.5,75.2
12,24.5,50.9,50.9,50.9,61.6,50.9
13,50.9,36.3,31.3,42.7,36.3,36.3
14,50.9,31.3,50.9,36.3,42.7,31.3
15,115.5,36.3,42.7,36.3,50.9,36.3
16,115.5,36.3,36.3,36.3,50.9,50.9
17,115.5,31.3,42.7,42.7,50.9,50.9
18,115.5,36.3,36.3,36.3,42.7,36.3
19,61.6,31.3,31.3,36.3,31.3,36.3
20,92.8,36.3,36.3,42.7,36.3,31.3
21,144.6,42.7,50.9,50.9,50.9,42.7
22,75.2,31.3,36.3,24.5,36.3,36.3
23,36.3,31.3,50.9,36.3,50.9,27.5
24,50.9,31.3,42.7,36.3,31.3,31.3
25,31.3,31.3,50.9,42.7,36.3,31.3
26,50.9,31.3,36.3,31.3,36.3,31.3
27,50.9,50.9,50.9,42.7,50.9,42.7
28,42.7,50.9,42.7,42.7,36.3,50.9
29,61.6,42.7,42.7,42.7,31.3,42.7
30,115.5,31.3,31.3,42.7,36.3,36.3
31,144.6,50.9,50.9,42.7,50.9,50.9
32,115.5,42.7,36.3,42.7,36.3,36.3
33,115.5,50.9,36.3,36.3,42.7,42.7
34,144.6,50.9,50.9,50.9,61.6,61.6
35,230.4,61.6,92.8,92.8,92.8,75.2
36,182.1,61.6,61.6,61.6,61.6,50.9
37,115.5,36.3,36.3,42.7,42.7,31.3
38,115.5,36.3,42.7,36.3,50.9,36.3
39,92.8,31.3,31.3,42.7,50.9,42.7
40,144.6,50.9,42.7,50.9,61.6,50.9
41,144.6,36.3,36.3,42.7,61.6,50.9
42,61.6,36.3,31.3,36.3,42.7,50.9
43,50.9,61.6,36.3,42.7,36.3,50.9
44,31.3,115.5,36.3,36.3,27.5,36.3
45,36.3,50.9,31.3,31.3,31.3,31.3
46,50.9,31.3,36.3,36.3,42.7,36.3
47,31.3,42.7,42.7,42.7,36.3,31.3
