,0,1,2,3,4,5
0,3302.328,3488.721,3527.945,3554.569,3557.334,3611.597
1,2826.497,3253.586,3308.198,3416.205,3472.09,3538.246
2,2757.844,3012.064,2958.034,3119.809,3026.206,3118.32
3,2727.254,3341.866,3167.039,3602.54,3397.272,3533.84
4,2570.686,3004.531,2991.695,3073.548,3096.558,3073.258
5,2784.278,3453.09,3409.508,3271.279,3664.448,3232.322
6,2746.637,3003.683,2962.586,2970.92,3100.485,2873.299
7,2560.617,3378.076,3272.762,3081.474,3296.071,3231.612
8,2531.914,3700.897,3660.133,3409.983,3682.265,3538.233
9,2568.408,3061.999,2983.384,2958.495,3082.182,2885.713
10,2902.755,3411.469,3563.933,3498.998,3440.038,3401.838
11,2931.33,3349.007,3611.272,3435.007,3430.512,3524.422
12,3135.024,3070.688,3141.172,3022.938,3053.109,3014.412
13,3248.32,3040.366,3053.406,3042.747,3081.877,3018.584
14,3409.645,3170.359,3183.957,3214.944,3227.133,3190.696
15,3650.003,3510.846,3335.409,3449.172,3429.082,3407.749
16,3571.732,3417.637,3313.379,3396.803,3392.068,3345.746
17,3728.072,3544.075,3480.473,3488.979,3497.201,3505.78
18,3756.135,3569.213,3475.518,3465.481,3504.486,3522.723
19,3557.835,3375.538,3374.241,3336.13,3331.892,3342.717
20,3559.253,3341.87,3337.902,3356.175,3306.796,3327.086
21,3384.445,3165.296,3167.474,3193.6,3148.64,3198.632
22,3646.563,3398.794,3336.623,3472.804,3318.345,3453.29
23,3464.464,3218.345,3180.839,3198.394,3158.307,3289.601
24,3550.613,3238.019,3341.831,3326.059,3278.687,3335.736
25,3536.576,3269.718,3311.485,3327.722,3251.664,3298.315
26,3433.406,3203.567,3242.259,3229.964,3204.014,3183.624
27,3360.178,3136.209,3197.696,3170.25,3073.621,3111.065
28,3521.156,3305.91,3349.502,3269.391,3248.824,3270.823
29,3502.018,3334.703,3317.293,3282.974,3287.279,3230.194
30,3558.292,3363.494,3386.84,3349.753,3389.924,3268.388
31,3504.375,3259.787,3293.434,3293.992,3261.506,3270.036
32,3519.66,3294.059,3325.461,3288.376,3235.919,3293.583
33,3672.594,3442.639,3474.603,3454.625,3399.879,3402.368
34,3704.41,3464.778,3488.116,3551.921,3471.06,3493.663
35,3722.717,3496.967,3491.112,3535.447,3518.322,3518.466
36,3761.813,3530.306,3493.161,3486.362,3541.584,3547.879
37,4026.399,3806.968,3724.114,3734.076,3807.315,3704.258
38,3848.519,3613.801,3568.982,3596.886,3549.286,3589.352
39,3819.16,3582.311,3546.689,3618.571,3539.746,3569.163
40,3754.32,3553.671,3546.148,3551.31,3524.126,3545.865
41,3633.61,3445.897,3405.764,3440.319,3419.265,3429.92
42,3307.618,3120.201,3107.6,3083.718,3124.354,3150.055
43,3175.253,3043.627,3097.672,3079.944,3111.814,3227.759
44,3168.518,3189.501,3238.683,3260.511,3246.065,3372.828
45,3053.236,3041.088,3025.164,2982.09,2964.063,3052.3
46,3249.31,3712.206,3879.379,3779.426,3629.029,3677.022
47,2979.418,2953.765,3035.338,2960.527,2913.465,2962.83
