,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.27,0.0,0.0,0.0,162499101.0,4285984.0,2661801906.1,0.0
1,1.25,0.01,0.02,203820.35,162499101.0,4222220.27,2606236504.75,0.0121
2,1.23,0.03,0.04,358260.96,162499101.0,4167680.64,2566563232.81,0.0103
3,1.22,0.04,0.05,466985.11,162499101.0,4122192.09,2538978123.05,0.0089
4,1.21,0.05,0.05,571709.76,162499101.0,4085395.22,2519194854.79,0.0075
5,1.2,0.06,0.06,644034.49,162499101.0,4045884.37,2502327186.94,0.008
6,1.19,0.06,0.06,699481.82,162499101.0,4017648.0,2492201787.56,0.0059
7,1.18,0.07,0.07,769134.77,162499101.0,3985619.08,2481918021.02,0.0067
8,1.17,0.08,0.07,859076.52,162499101.0,3954085.66,2472214680.49,0.0067
9,1.15,0.09,0.08,926960.25,162499101.0,3906896.73,2461623040.48,0.0096
10,1.14,0.1,0.08,996837.09,162499101.0,3848697.87,2450410959.07,0.0112
11,1.13,0.11,0.08,1027391.05,162499101.0,3835143.94,2447827150.49,0.0145
12,1.13,0.11,0.08,1044639.46,162499101.0,3823650.01,2445465652.72,0.0031
13,1.12,0.11,0.08,1084843.62,162499101.0,3793167.66,2440933769.6,0.0066
14,1.12,0.12,0.08,1098471.62,162499101.0,3785585.48,2439734310.33,0.0024
15,1.12,0.12,0.08,1109580.51,162499101.0,3778018.09,2438701031.25,0.014
16,1.11,0.12,0.08,1120647.82,162499101.0,3770465.83,2437744471.66,0.0023
17,1.11,0.12,0.08,1136207.67,162499101.0,3759165.75,2436375449.75,0.003
18,1.1,0.13,0.09,1176657.05,162499101.0,3725464.55,2433468049.29,0.0095
19,1.1,0.13,0.09,1185480.47,162499101.0,3721739.08,2432969512.04,0.0016
20,1.09,0.14,0.09,1194109.33,162499101.0,3699464.41,2431052681.31,0.0054
21,1.09,0.14,0.09,1202640.15,162499101.0,3681004.05,2429976307.61,0.0045
22,1.08,0.15,0.09,1207892.96,162499101.0,3655314.2,2428768611.01,0.006
23,1.08,0.15,0.09,1215563.57,162499101.0,3640715.47,2427978761.8,0.0104
24,1.07,0.15,0.09,1220917.57,162499101.0,3633437.71,2427651307.76,0.0023
25,1.07,0.15,0.09,1224163.3,162499101.0,3629804.28,2427484368.56,0.0017
26,1.07,0.15,0.09,1226543.26,162499101.0,3626174.48,2427329688.62,0.0017
27,1.07,0.15,0.09,1233525.67,162499101.0,3622623.66,2427179029.4,0.0144
28,1.07,0.16,0.09,1237398.47,162499101.0,3619001.05,2427093298.58,0.0017
29,1.07,0.16,0.09,1242279.78,162499101.0,3615382.05,2426988862.55,0.0017
30,1.07,0.16,0.09,1248215.67,162499101.0,3611766.67,2426886895.21,0.0016
31,1.07,0.16,0.09,1251609.23,162499101.0,3608154.91,2426769357.27,0.0026
32,1.07,0.16,0.09,1251609.23,162499101.0,3608154.91,2426769357.27,0.0009
