,0,1,2,3,4,5
0,20.3,36.3,36.3,42.7,22.1,61.6
1,17.0,42.7,36.3,50.9,24.5,61.6
2,17.8,42.7,36.3,31.3,36.3,22.1
3,17.0,36.3,144.6,20.3,50.9,27.5
4,15.4,61.6,36.3,22.1,50.9,31.3
5,15.1,230.4,42.7,22.1,24.5,22.1
6,17.8,24.5,36.3,20.3,61.6,61.6
7,18.9,22.1,42.7,31.3,92.8,50.9
8,17.8,24.5,50.9,31.3,42.7,36.3
9,15.8,22.1,36.3,27.5,24.5,36.3
10,15.4,31.3,24.5,27.5,50.9,31.3
11,18.9,36.3,31.3,50.9,50.9,36.3
12,22.1,24.5,36.3,61.6,50.9,31.3
13,50.9,24.5,24.5,50.9,31.3,36.3
14,42.7,31.3,36.3,50.9,24.5,31.3
15,92.8,36.3,27.5,36.3,36.3,36.3
16,230.4,61.6,50.9,61.6,61.6,61.6
17,61.6,27.5,24.5,36.3,31.3,24.5
18,92.8,31.3,36.3,42.7,31.3,27.5
19,61.6,36.3,31.3,50.9,61.6,36.3
20,36.3,31.3,22.1,50.9,42.7,24.5
21,115.5,31.3,27.5,36.3,24.5,36.3
22,50.9,31.3,24.5,31.3,22.1,31.3
23,36.3,31.3,24.5,24.5,27.5,36.3
24,50.9,31.3,24.5,27.5,31.3,36.3
25,50.9,27.5,31.3,24.5,22.1,27.5
26,50.9,31.3,31.3,24.5,31.3,24.5
27,31.3,27.5,36.3,24.5,24.5,31.3
28,50.9,24.5,36.3,24.5,24.5,31.3
29,31.3,31.3,36.3,31.3,36.3,31.3
30,22.1,31.3,36.3,42.7,50.9,75.2
31,75.2,50.9,36.3,36.3,36.3,36.3
32,50.9,31.3,31.3,36.3,27.5,27.5
33,50.9,31.3,36.3,50.9,27.5,24.5
34,92.8,31.3,31.3,50.9,36.3,24.5
35,92.8,24.5,31.3,31.3,31.3,24.5
36,144.6,36.3,36.3,27.5,31.3,31.3
37,75.2,31.3,31.3,27.5,27.5,31.3
38,61.6,24.5,31.3,24.5,31.3,36.3
39,92.8,36.3,42.7,36.3,36.3,31.3
40,230.4,61.6,61.6,50.9,61.6,61.6
41,92.8,36.3,31.3,31.3,31.3,31.3
42,182.1,50.9,36.3,36.3,50.9,50.9
43,31.3,31.3,22.1,31.3,31.3,31.3
44,24.5,50.9,20.3,36.3,36.3,36.3
45,27.5,50.9,24.5,31.3,36.3,36.3
46,24.5,31.3,115.5,75.2,31.3,61.6
47,15.8,27.5,61.6,31.3,22.1,24.5
