,0,1,2,3,4,5
0,1302.271,1346.034,1317.858,1347.452,1344.922,1344.23
1,1245.953,1443.878,1409.639,1442.511,1402.982,1423.766
2,1147.304,1340.582,1337.344,1397.748,1300.208,1351.961
3,1110.53,1345.06,1458.53,1337.049,1339.619,1539.223
4,1125.145,1419.155,1368.547,1359.326,1354.587,1389.153
5,1098.094,1373.458,1256.694,1304.635,1361.517,1288.236
6,979.027,1352.165,1438.204,1298.485,1311.645,1357.636
7,1076.601,1324.84,1510.302,1296.912,1279.62,1295.074
8,1066.322,1358.277,1413.49,1264.513,1286.356,1329.303
9,1154.802,1319.344,1346.946,1297.275,1348.491,1359.089
10,1074.051,1470.477,1293.773,1209.754,1387.938,1468.828
11,1132.51,1269.264,1273.531,1324.667,1413.17,1308.474
12,1217.553,1284.737,1366.485,1407.652,1439.866,1332.809
13,1121.693,1305.56,1409.786,1271.236,1434.937,1367.844
14,1350.709,1318.215,1408.592,1356.918,1419.596,1360.857
15,1401.672,1320.015,1392.822,1291.199,1339.949,1370.277
16,1328.28,1337.431,1416.69,1266.585,1412.048,1376.848
17,1320.391,1355.844,1454.752,1278.664,1392.741,1360.009
18,1536.235,1271.639,1333.244,1334.429,1338.175,1349.455
19,1518.073,1348.566,1361.073,1425.843,1357.659,1385.021
20,1501.607,1413.803,1357.308,1457.383,1319.275,1341.65
21,1375.222,1396.154,1426.61,1302.363,1336.4,1381.142
22,1516.918,1323.034,1375.768,1321.224,1317.273,1336.978
23,1585.236,1312.188,1325.217,1357.909,1340.298,1385.969
24,1445.93,1359.961,1382.973,1437.209,1334.327,1338.317
25,1475.297,1301.198,1389.999,1402.902,1301.202,1376.497
26,1587.491,1392.666,1381.379,1392.128,1356.212,1348.245
27,1553.365,1383.95,1388.134,1418.536,1329.042,1367.148
28,1383.858,1389.471,1326.534,1340.896,1353.124,1374.098
29,1434.658,1367.383,1285.656,1303.902,1309.331,1356.273
30,1480.853,1368.147,1223.293,1337.838,1354.808,1307.871
31,1584.783,1397.277,1306.407,1385.566,1343.18,1331.857
32,1525.535,1345.695,1332.454,1393.281,1350.259,1308.373
33,1561.959,1355.747,1285.29,1388.7,1369.461,1385.585
34,1659.786,1425.27,1302.322,1498.634,1427.076,1477.147
35,1715.481,1524.608,1403.994,1559.282,1467.254,1511.355
36,1622.223,1422.075,1363.78,1459.291,1418.057,1451.754
37,1506.127,1315.753,1371.269,1416.439,1337.137,1390.523
38,1355.91,1288.694,1314.939,1404.182,1303.089,1288.819
39,1376.012,1348.01,1257.63,1339.701,1275.601,1360.721
40,1492.147,1392.517,1286.826,1326.262,1331.265,1398.675
41,1580.587,1400.267,1312.498,1370.873,1336.691,1424.964
42,1342.606,1322.378,1370.908,1339.837,1474.703,1327.018
43,1248.128,1296.74,1375.585,1288.645,1413.775,1276.31
44,1234.996,1354.862,1362.111,1407.08,1351.411,1284.023
45,1284.432,1391.028,1273.609,1421.848,1373.537,1205.823
46,1358.278,1389.143,1421.669,1364.297,1360.704,1301.692
47,1123.59,1337.671,1447.767,1271.17,1369.713,1223.311
