,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.18,0.0,0.0,0.0,161107711.0,3947538.0,2979839477.8,0.0
1,1.16,0.01,0.03,0.0,161107711.0,3908239.79,2904575723.87,0.0092
2,1.16,0.02,0.04,0.0,161107711.0,3877083.08,2852582239.98,0.0074
3,1.14,0.03,0.07,0.0,161107711.0,3826982.31,2782929002.72,0.0229
4,1.13,0.04,0.08,0.0,161107711.0,3781310.26,2732814388.72,0.0108
5,1.11,0.05,0.1,0.0,161107711.0,3739923.2,2695184484.51,0.01
6,1.1,0.06,0.1,0.0,161107711.0,3707539.15,2671704695.05,0.0084
7,1.1,0.07,0.11,0.0,161107711.0,3681664.11,2654256861.16,0.0067
8,1.09,0.07,0.11,0.0,161107711.0,3663538.5,2642508029.97,0.0051
9,1.09,0.08,0.12,0.0,161107711.0,3649135.69,2636101473.78,0.0044
10,1.08,0.08,0.12,0.0,161107711.0,3634561.02,2628984406.26,0.0042
11,1.08,0.08,0.12,0.0,161107711.0,3620044.57,2623279186.0,0.0048
12,1.08,0.08,0.12,0.0,161107711.0,3616424.53,2621732804.19,0.0018
13,1.08,0.09,0.12,0.0,161107711.0,3609195.3,2618778873.45,0.0026
14,1.07,0.09,0.12,0.0,161107711.0,3591783.07,2613054182.62,0.0052
15,1.07,0.09,0.12,0.0,161107711.0,3584603.1,2610857124.75,0.0034
16,1.07,0.09,0.12,0.0,161107711.0,3581018.5,2610042241.62,0.0018
17,1.07,0.09,0.12,0.0,161107711.0,3577437.48,2609146362.99,0.0018
18,1.06,0.1,0.12,0.0,161107711.0,3570286.18,2607514340.83,0.0026
19,1.06,0.1,0.13,0.0,161107711.0,3566715.89,2606708617.84,0.0018
20,1.06,0.1,0.13,0.0,161107711.0,3559586.03,2604972957.81,0.0147
21,1.06,0.1,0.13,0.0,161107711.0,3556033.25,2604286771.99,0.0018
22,1.06,0.1,0.13,0.0,161107711.0,3556033.25,2604286771.99,0.001
