,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.21,0.0,0.0,0.0,159685208.0,4026399.0,2756395935.8,0.0
1,1.19,0.01,0.02,170102.79,159685208.0,3974368.72,2689395894.83,0.0224
2,1.18,0.02,0.04,331294.88,159685208.0,3930868.6,2642081535.85,0.021
3,1.17,0.03,0.05,415225.59,159685208.0,3903434.93,2625780200.22,0.0182
4,1.16,0.04,0.06,537373.98,159685208.0,3864575.77,2597395670.72,0.0212
5,1.15,0.05,0.06,633946.23,159685208.0,3837604.76,2581838356.59,0.0065
6,1.14,0.05,0.07,705074.21,159685208.0,3807011.16,2564432044.7,0.0202
7,1.13,0.06,0.08,804115.64,159685208.0,3772884.83,2546742665.96,0.0202
8,1.13,0.06,0.08,826718.45,159685208.0,3765342.85,2545278601.78,0.0155
9,1.13,0.06,0.08,826718.45,159685208.0,3765342.85,2545278601.78,0.0118
