,0,1,2,3,4,5
0,22.1,61.6,50.9,36.3,61.6,61.6
1,17.0,20.3,20.3,20.3,20.3,20.3
2,15.8,24.5,24.5,42.7,36.3,22.1
3,15.4,31.3,31.3,61.6,61.6,31.3
4,15.8,17.0,17.8,20.3,20.3,17.8
5,15.8,36.3,50.9,61.6,31.3,36.3
6,15.4,17.8,18.9,17.8,17.8,18.9
7,15.8,42.7,36.3,31.3,36.3,31.3
8,14.8,42.7,27.5,36.3,42.7,31.3
9,15.4,22.1,20.3,24.5,22.1,20.3
10,16.3,50.9,36.3,50.9,36.3,42.7
11,17.0,115.5,50.9,42.7,61.6,61.6
12,18.9,27.5,22.1,22.1,24.5,22.1
13,61.6,31.3,31.3,31.3,31.3,31.3
14,50.9,22.1,24.5,24.5,24.5,24.5
15,50.9,24.5,31.3,24.5,31.3,31.3
16,50.9,27.5,31.3,24.5,31.3,31.3
17,36.3,22.1,24.5,22.1,24.5,22.1
18,61.6,31.3,36.3,36.3,31.3,31.3
19,42.7,36.3,31.3,36.3,24.5,31.3
20,36.3,24.5,24.5,24.5,22.1,24.5
21,61.6,31.3,36.3,36.3,36.3,31.3
22,36.3,24.5,27.5,27.5,27.5,24.5
23,50.9,27.5,31.3,31.3,31.3,24.5
24,36.3,22.1,27.5,24.5,24.5,24.5
25,36.3,24.5,27.5,27.5,24.5,27.5
26,36.3,27.5,31.3,31.3,31.3,27.5
27,36.3,24.5,27.5,24.5,24.5,24.5
28,61.6,31.3,31.3,24.5,27.5,31.3
29,50.9,24.5,27.5,22.1,24.5,27.5
30,61.6,36.3,42.7,31.3,31.3,36.3
31,36.3,24.5,31.3,24.5,24.5,24.5
32,42.7,24.5,24.5,24.5,24.5,22.1
33,182.1,61.6,50.9,61.6,75.2,61.6
34,230.4,75.2,92.8,92.8,92.8,115.5
35,230.4,75.2,92.8,75.2,115.5,92.8
36,92.8,31.3,36.3,36.3,36.3,36.3
37,115.5,36.3,42.7,50.9,50.9,36.3
38,75.2,27.5,36.3,31.3,31.3,42.7
39,182.1,61.6,61.6,75.2,61.6,61.6
40,61.6,31.3,31.3,36.3,31.3,31.3
41,50.9,24.5,24.5,31.3,24.5,24.5
42,36.3,24.5,22.1,24.5,22.1,22.1
43,36.3,36.3,27.5,31.3,27.5,27.5
44,24.5,115.5,42.7,42.7,50.9,50.9
45,20.3,20.3,20.3,17.8,18.9,20.3
46,24.5,115.5,115.5,50.9,61.6,61.6
47,17.0,20.3,20.3,17.0,18.9,20.3
