,0,1,2,3,4,5
0,3275.831,3456.486,3597.548,3445.795,3393.545,3626.551
1,3177.691,3080.625,3255.458,3173.493,3036.815,3143.28
2,2816.15,3497.113,3646.679,3480.215,3255.717,3364.691
3,2683.109,3656.729,3673.179,3636.362,3625.556,3749.674
4,2586.673,3117.177,3103.718,3079.506,3184.534,3220.809
5,2467.375,3721.813,3626.946,3596.004,3431.631,3660.246
6,2454.784,3469.367,3352.693,3319.637,3140.368,3306.104
7,2575.495,3489.87,3458.326,3583.666,3190.966,3349.063
8,2592.61,3324.269,3242.755,3302.886,3107.077,3129.133
9,2807.069,3270.095,3308.177,3194.936,3271.348,3209.464
10,2930.496,3387.147,3293.954,3242.598,3598.091,3268.89
11,3001.457,3486.017,3227.637,3291.003,3573.773,3353.178
12,3064.483,3707.254,3698.081,3775.02,3579.697,3531.652
13,3313.943,3214.001,3253.891,3337.3,3150.491,3123.026
14,3827.826,3479.632,3523.82,3479.037,3629.532,3544.543
15,3520.393,3251.888,3277.63,3240.865,3353.019,3356.907
16,3815.155,3316.537,3325.41,3322.773,3416.473,3361.249
17,3979.32,3495.217,3571.451,3506.433,3479.208,3474.108
18,3576.441,3449.626,3379.189,3319.411,3474.882,3537.257
19,3374.75,3341.722,3280.679,3262.531,3299.241,3471.35
20,3542.715,3206.963,3212.794,3260.919,3202.299,3135.482
21,3424.399,3383.997,3297.69,3333.978,3305.942,3341.284
22,3358.889,3387.631,3263.122,3213.255,3316.707,3317.202
23,3519.767,3320.024,3255.781,3188.377,3258.55,3240.77
24,3481.683,3536.825,3532.251,3423.906,3524.892,3569.136
25,3376.42,3147.96,3147.908,3214.161,3093.948,3180.712
26,3765.685,3317.528,3262.733,3425.889,3322.354,3374.25
27,3842.242,3537.784,3502.829,3636.306,3454.291,3537.466
28,3643.062,3304.715,3290.901,3294.729,3230.545,3255.679
29,3622.139,3299.88,3371.024,3398.271,3330.106,3397.371
30,3329.29,3001.21,3141.162,3213.861,3200.906,3149.398
31,3427.76,3444.128,3508.062,3588.786,3724.048,3647.162
32,3390.038,3218.603,3190.444,3250.878,3376.251,3343.82
33,3793.112,3341.532,3212.609,3332.453,3343.18,3306.483
34,4213.635,3644.015,3588.037,3666.659,3739.978,3734.048
35,4172.556,3579.007,3580.18,3657.55,3628.004,3721.515
36,4003.175,3429.807,3499.466,3578.535,3433.701,3538.914
37,3886.973,3364.223,3389.39,3405.615,3470.805,3406.577
38,3846.156,3341.015,3403.225,3430.059,3428.481,3299.199
39,3754.994,3332.19,3472.953,3374.858,3430.561,3281.013
40,3759.871,3497.496,3469.55,3418.751,3479.488,3291.654
41,3701.864,3216.699,3291.777,3216.201,3239.448,3253.894
42,3867.443,3296.3,3292.712,3313.808,3431.209,3359.198
43,3473.161,3415.969,3399.247,3615.734,3553.474,3511.862
44,3251.32,3477.139,3490.045,3483.228,3484.435,3574.342
45,3220.487,3184.374,3250.318,3136.089,3200.108,3175.412
46,3083.576,3738.981,3743.726,3582.465,3808.58,3453.948
47,3019.101,3433.984,3455.407,3367.772,3408.309,3433.598
