,0,1,2,3,4,5,6,7,8,9
0,27.5,24.5,24.5,22.1,24.5,24.5,27.5,27.5,27.5,27.5
1,17.8,17.0,17.8,17.0,17.8,17.8,18.9,18.9,18.9,18.9
2,17.0,17.0,22.1,22.1,22.1,20.3,20.3,20.3,18.9,18.9
3,15.8,15.8,50.9,50.9,61.6,61.6,50.9,50.9,50.9,50.9
4,15.1,15.4,17.8,17.8,36.3,31.3,31.3,31.3,31.3,31.3
5,14.8,17.8,17.8,17.0,22.1,22.1,20.3,24.5,24.5,24.5
6,14.5,22.1,20.3,20.3,20.3,18.9,17.8,18.9,18.9,18.9
7,14.5,61.6,61.6,61.6,61.6,50.9,42.7,42.7,42.7,42.7
8,14.5,17.8,50.9,75.2,61.6,61.6,50.9,50.9,50.9,50.9
9,14.8,14.8,17.0,22.1,22.1,22.1,20.3,20.3,20.3,20.3
10,20.3,18.9,17.8,36.3,36.3,36.3,31.3,31.3,31.3,31.3
11,18.9,17.8,17.0,20.3,22.1,24.5,24.5,22.1,22.1,22.1
12,22.1,20.3,18.9,17.8,17.8,22.1,22.1,20.3,22.1,22.1
13,24.5,24.5,22.1,22.1,20.3,20.3,20.3,18.9,20.3,20.3
14,31.3,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3
15,36.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1
16,61.6,61.6,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3
17,92.8,61.6,61.6,50.9,50.9,42.7,36.3,36.3,36.3,36.3
18,42.7,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5
19,42.7,36.3,31.3,27.5,27.5,24.5,24.5,22.1,22.1,22.1
20,31.3,27.5,24.5,24.5,24.5,24.5,36.3,36.3,36.3,36.3
21,22.1,20.3,18.9,18.9,17.8,17.8,27.5,27.5,24.5,24.5
22,27.5,24.5,22.1,22.1,22.1,20.3,24.5,36.3,36.3,36.3
23,24.5,22.1,20.3,20.3,18.9,18.9,17.8,24.5,24.5,24.5
24,27.5,24.5,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3
25,31.3,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3
26,36.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1
27,27.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3
28,27.5,24.5,22.1,22.1,20.3,20.3,24.5,24.5,24.5,24.5
29,22.1,22.1,20.3,20.3,18.9,17.8,18.9,18.9,20.3,20.3
30,31.3,27.5,24.5,24.5,22.1,22.1,20.3,20.3,20.3,20.3
31,36.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1
32,75.2,61.6,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3
33,92.8,61.6,61.6,50.9,50.9,50.9,36.3,36.3,36.3,36.3
34,144.6,115.5,115.5,92.8,92.8,75.2,61.6,61.6,61.6,61.6
35,230.4,182.1,144.6,115.5,115.5,115.5,92.8,75.2,75.2,75.2
36,230.4,182.1,144.6,144.6,115.5,115.5,92.8,92.8,92.8,92.8
37,92.8,75.2,61.6,50.9,50.9,50.9,36.3,36.3,36.3,36.3
38,92.8,61.6,50.9,50.9,50.9,42.7,36.3,36.3,36.3,36.3
39,61.6,50.9,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3
40,31.3,31.3,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1
41,24.5,22.1,22.1,20.3,20.3,20.3,24.5,22.1,22.1,22.1
42,22.1,20.3,20.3,18.9,18.9,17.8,20.3,20.3,20.3,20.3
43,24.5,22.1,22.1,20.3,20.3,20.3,18.9,18.9,18.9,18.9
44,31.3,24.5,24.5,22.1,24.5,50.9,42.7,42.7,36.3,36.3
45,20.3,17.8,17.8,17.8,17.0,22.1,20.3,20.3,20.3,20.3
46,22.1,20.3,20.3,22.1,22.1,24.5,50.9,61.6,75.2,75.2
47,18.9,17.8,17.0,17.8,17.8,17.0,17.8,17.8,17.8,17.8
