,0,1,2,3,4,5
0,78.676,124.069,64.06,106.377,59.368,81.782
1,67.22,115.853,81.282,100.159,92.75,66.217
2,78.57,82.37,72.625,81.1,74.692,65.111
3,113.341,94.978,92.256,53.467,99.621,81.81
4,95.746,64.501,97.936,54.687,88.902,86.61
5,64.113,71.042,92.228,45.139,68.594,62.822
6,44.509,51.952,79.175,53.634,42.39,38.708
7,50.076,32.652,63.211,52.446,64.765,56.373
8,62.455,51.789,79.935,95.708,84.246,100.565
9,41.18,58.794,100.959,86.711,76.394,76.4
10,38.648,68.922,94.089,57.501,69.033,49.846
11,65.239,122.923,56.937,78.005,77.808,54.753
12,100.281,79.26,53.277,90.72,66.452,88.76
13,97.486,90.306,65.832,67.631,68.872,72.172
14,85.318,85.313,60.468,47.603,57.273,54.201
15,81.1,74.89,63.663,58.353,57.19,52.844
16,76.654,64.294,61.039,89.738,98.844,66.634
17,83.218,92.864,59.998,82.133,62.203,54.128
18,90.156,91.387,60.798,86.461,55.381,64.091
19,64.449,91.927,104.479,60.428,58.998,94.95
20,55.966,96.856,81.139,58.061,75.849,100.979
21,78.767,54.948,63.067,93.48,75.847,63.294
22,52.06,63.342,61.672,80.686,126.47,80.309
23,74.536,87.191,83.953,78.655,132.105,59.418
24,45.709,57.591,102.036,73.919,56.739,85.1
25,58.923,37.947,83.871,61.051,58.355,103.708
26,75.538,86.183,74.006,48.416,66.055,89.943
27,51.452,107.002,52.481,53.063,69.752,57.205
28,104.047,86.351,85.313,86.463,60.372,61.454
29,108.633,81.617,81.081,91.703,71.286,67.139
30,82.111,62.536,58.558,136.57,94.601,71.1
31,75.064,50.495,63.533,92.614,64.721,78.691
32,64.189,50.906,69.895,69.35,57.809,82.741
33,75.982,82.602,83.146,86.22,74.597,77.714
34,87.922,76.798,62.008,76.135,74.962,82.798
35,84.141,86.847,38.035,72.601,74.153,87.586
36,45.143,46.457,53.224,71.519,50.967,73.089
37,48.885,42.882,76.372,59.88,51.582,97.235
38,69.16,32.034,66.086,49.615,107.552,113.159
39,81.519,56.308,69.718,52.529,86.899,75.765
40,98.279,63.153,116.456,55.349,73.573,66.969
41,105.041,44.083,91.57,89.304,73.645,61.367
42,73.466,52.632,66.534,65.532,60.856,71.768
43,61.444,76.126,80.55,59.33,49.466,48.615
44,77.543,79.184,77.528,85.684,82.227,73.286
45,83.966,92.83,51.895,85.489,76.297,67.019
46,99.418,89.046,67.562,78.621,66.738,75.38
47,38.668,81.974,70.471,76.167,98.756,94.399
