,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,1.79,0.0,0.0,0.0,3215649.0,120139.0,51536442.3,0.0,51536442.3
1,1.44,0.2,0.11,5212.92,3215649.0,96525.43,45757941.59,0.0681,45763154.510000005
2,1.45,0.19,0.12,7896.76,3215649.0,97346.31,45587643.43,0.0188,45595540.19
3,1.38,0.23,0.12,9392.58,3215649.0,92468.69,45455420.46,0.0153,45464813.04
4,1.37,0.24,0.12,10939.49,3215649.0,91838.72,45408814.7,0.0087,45419754.190000005
5,1.38,0.23,0.12,11658.97,3215649.0,92314.89,45379431.67,0.009,45391090.64
6,1.37,0.24,0.12,12936.85,3215649.0,91808.57,45340378.38,0.01,45353315.230000004
7,1.36,0.24,0.12,13789.58,3215649.0,91397.86,45315229.53,0.0078,45329019.11
8,1.36,0.24,0.12,15218.51,3215649.0,90863.11,45283120.89,0.0117,45298339.4
9,1.36,0.24,0.12,15870.09,3215649.0,90823.78,45268050.39,0.0066,45283920.480000004
10,1.36,0.24,0.12,15870.09,3215649.0,90823.78,45268050.39,0.0006,45283920.480000004
