,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,2.06,0.0,0.0,0.0,3493009.0,150263.0,51795905.8,0.0,51795905.8
1,1.76,0.15,0.05,3804.43,3493009.0,127864.75,49379107.31,0.0378,49382911.74
2,1.51,0.27,0.05,5044.03,3493009.0,109700.0,49029147.76,0.0235,49034191.79
3,1.4,0.32,0.05,6008.4,3493009.0,102165.63,48972959.43,0.0172,48978967.83
4,1.36,0.34,0.05,6742.07,3493009.0,99145.49,48957248.04,0.0081,48963990.11
5,1.31,0.37,0.06,7636.06,3493009.0,95217.29,48938703.48,0.0107,48946339.54
6,1.28,0.38,0.06,7924.66,3493009.0,92943.79,48931414.32,0.0073,48939338.98
7,1.26,0.39,0.06,8334.39,3493009.0,91635.05,48926398.22,0.0046,48934732.61
8,1.24,0.4,0.06,8924.92,3493009.0,89949.77,48919393.17,0.0062,48928318.09
9,1.22,0.41,0.06,9232.15,3493009.0,88783.01,48916241.31,0.0025,48925473.46
10,1.2,0.42,0.06,9720.69,3493009.0,87326.24,48912803.55,0.0066,48922524.239999995
11,1.19,0.42,0.06,9798.17,3493009.0,86844.16,48911605.04,0.0024,48921403.21
12,1.18,0.43,0.06,9976.79,3493009.0,86157.07,48910354.82,0.0033,48920331.61
13,1.18,0.43,0.06,10048.12,3493009.0,85593.81,48909290.65,0.004,48919338.769999996
14,1.17,0.43,0.06,10092.53,3493009.0,85110.12,48908541.85,0.0038,48918634.38
15,1.16,0.44,0.06,10164.26,3493009.0,84564.94,48907822.32,0.003,48917986.58
16,1.16,0.44,0.06,10289.39,3493009.0,84144.9,48907082.56,0.0033,48917371.95
17,1.15,0.44,0.06,10393.49,3493009.0,83700.31,48906440.02,0.004,48916833.510000005
18,1.15,0.44,0.06,10443.61,3493009.0,83405.46,48906090.8,0.001,48916534.41
19,1.14,0.45,0.06,10492.23,3493009.0,83231.4,48905832.83,0.0027,48916325.059999995
20,1.14,0.45,0.06,10546.21,3493009.0,83021.8,48905625.87,0.0022,48916172.08
21,1.13,0.45,0.06,10711.83,3493009.0,82472.81,48904862.03,0.005,48915573.86
22,1.13,0.45,0.06,10721.54,3493009.0,82314.04,48904652.27,0.0024,48915373.81
23,1.13,0.45,0.06,10725.04,3493009.0,82238.01,48904566.34,0.0007,48915291.38
24,1.13,0.45,0.06,10760.61,3493009.0,82068.89,48904396.15,0.0026,48915156.76
25,1.13,0.45,0.06,10762.41,3493009.0,82057.67,48904372.62,0.0013,48915135.029999994
26,1.13,0.45,0.06,10767.21,3493009.0,82022.91,48904320.3,0.0008,48915087.51
27,1.13,0.45,0.06,10781.85,3493009.0,81965.71,48904266.22,0.003,48915048.07
28,1.13,0.45,0.06,10787.04,3493009.0,81938.39,48904237.62,0.0013,48915024.66
29,1.12,0.46,0.06,10916.07,3493009.0,81508.65,48903726.79,0.0054,48914642.86
30,1.12,0.46,0.06,10925.2,3493009.0,81413.32,48903578.98,0.002,48914504.18
31,1.12,0.46,0.06,10924.81,3493009.0,81356.53,48903526.84,0.0011,48914451.650000006
32,1.12,0.46,0.06,10931.25,3493009.0,81303.51,48903475.88,0.0028,48914407.13
33,1.12,0.46,0.06,10933.72,3493009.0,81258.75,48903450.27,0.0015,48914383.99
34,1.12,0.46,0.06,10934.86,3493009.0,81247.67,48903438.11,0.0014,48914372.97
35,1.12,0.46,0.06,10940.16,3493009.0,81223.0,48903412.03,0.0013,48914352.19
36,1.12,0.46,0.06,10953.08,3493009.0,81171.72,48903349.7,0.0027,48914302.78
37,1.12,0.46,0.06,10958.26,3493009.0,81146.11,48903320.26,0.0017,48914278.519999996
38,1.11,0.46,0.06,10965.49,3493009.0,81116.41,48903297.07,0.0018,48914262.56
39,1.11,0.46,0.06,10968.2,3493009.0,81103.05,48903286.86,0.0007,48914255.06
40,1.11,0.46,0.06,10978.76,3493009.0,81067.44,48903252.25,0.0026,48914231.01
41,1.11,0.46,0.06,10985.69,3493009.0,81013.45,48903217.77,0.0026,48914203.46
42,1.11,0.46,0.06,10988.83,3493009.0,80988.87,48903193.09,0.0018,48914181.92
43,1.11,0.46,0.06,10989.89,3493009.0,80981.34,48903182.71,0.001,48914172.6
44,1.11,0.46,0.06,10992.48,3493009.0,80972.14,48903171.94,0.0016,48914164.419999994
45,1.11,0.46,0.06,10998.63,3493009.0,80947.88,48903154.77,0.0019,48914153.400000006
46,1.11,0.46,0.06,11003.81,3493009.0,80926.44,48903132.04,0.003,48914135.85
47,1.11,0.46,0.06,11006.1,3493009.0,80915.12,48903120.81,0.0016,48914126.910000004
48,1.11,0.46,0.06,11006.93,3493009.0,80910.36,48903114.54,0.0016,48914121.47
49,1.11,0.46,0.06,11015.85,3493009.0,80880.82,48903088.1,0.0041,48914103.95
50,1.11,0.46,0.06,11016.37,3493009.0,80869.51,48903078.9,0.0015,48914095.269999996
51,1.11,0.46,0.06,11016.37,3493009.0,80869.51,48903078.9,0.0005,48914095.269999996
