,0,1,2,3,4,5
0,14.0,14.0,14.0,14.0,14.0,14.0
1,14.0,14.0,14.0,14.0,15.4,14.0
2,14.0,14.0,14.0,14.0,14.0,14.0
3,14.0,14.0,14.0,14.3,14.6,14.0
4,14.0,14.0,14.0,50.9,14.3,14.3
5,14.0,14.0,17.8,22.1,14.0,31.3
6,14.0,14.0,15.4,14.0,14.0,15.8
7,14.0,14.2,14.0,17.0,14.0,14.0
8,14.0,14.0,14.2,24.5,14.5,14.0
9,14.0,36.3,14.0,2304.0,14.0,14.0
10,14.0,14.3,14.0,14.0,14.0,14.0
11,14.0,14.0,14.0,14.0,14.3,14.3
12,14.0,14.0,14.0,14.0,14.0,14.0
13,14.0,14.5,14.0,14.0,14.0,14.8
14,14.0,14.2,14.8,14.3,14.0,27.5
15,14.6,15.8,15.1,14.0,14.2,14.0
16,14.0,14.6,15.4,14.0,31.3,14.2
17,14.0,14.8,14.1,14.1,22.1,14.8
18,17.8,14.8,15.8,17.0,14.6,14.0
19,18.9,14.0,42.7,14.0,17.0,14.5
20,16.3,14.1,14.3,14.0,14.8,15.1
21,15.4,50.9,14.5,14.8,14.4,14.0
22,27.5,14.2,14.0,14.0,15.8,14.0
23,42.7,14.3,14.4,14.4,14.4,15.4
24,42.7,15.1,14.0,17.0,14.0,14.8
25,230.4,14.6,15.4,15.4,15.1,14.3
26,16.3,14.0,14.0,14.0,14.0,14.2
27,20.3,14.6,14.2,14.2,14.0,15.8
28,15.4,15.4,14.0,14.4,14.8,14.0
29,14.0,14.3,14.5,14.4,14.0,15.4
30,14.0,14.0,15.4,14.0,14.0,20.3
31,14.0,14.0,14.2,14.0,14.0,14.2
32,14.8,14.2,24.5,14.6,14.0,14.0
33,14.0,17.0,15.4,14.0,14.5,27.5
34,14.0,17.8,14.0,14.0,14.3,50.9
35,14.6,15.8,14.0,14.0,14.5,20.3
36,42.7,14.0,18.9,14.0,20.3,14.0
37,15.8,14.6,14.0,14.6,14.0,14.0
38,14.2,14.2,14.1,27.5,14.0,14.3
39,14.0,15.1,14.0,115.5,14.4,14.8
40,15.4,14.4,14.0,14.0,14.2,14.4
41,15.8,14.0,14.0,14.0,17.0,14.0
42,14.3,14.1,20.3,14.0,14.3,14.0
43,15.8,14.0,14.3,14.2,14.4,14.0
44,17.8,14.3,14.2,14.0,17.8,15.4
45,14.3,15.8,27.5,14.0,115.5,14.0
46,14.0,14.0,20.3,14.0,14.3,14.8
47,14.6,14.0,14.0,14.1,14.0,14.4
