,0,1,2,3,4,5
0,65.559,68.317,49.259,59.489,77.769,99.435
1,64.601,68.303,53.701,58.733,73.111,73.201
2,71.267,62.373,64.162,65.804,70.717,63.997
3,91.85,86.243,91.512,97.229,91.962,92.353
4,47.713,75.556,59.619,110.695,50.767,92.56
5,30.835,72.789,47.044,119.483,38.465,113.565
6,32.026,48.632,40.251,65.483,32.616,59.386
7,74.301,73.469,71.342,50.008,71.595,58.797
8,71.333,69.621,67.105,27.775,66.013,58.393
9,79.216,78.058,86.79,55.325,76.106,65.178
10,50.286,54.833,74.842,56.13,54.136,48.95
11,56.317,66.338,69.262,61.133,71.852,50.203
12,62.844,66.286,62.914,59.998,71.844,51.002
13,77.06,73.26,62.903,61.597,65.025,62.266
14,70.954,67.72,52.677,60.838,60.884,54.53
15,87.978,72.705,70.948,85.254,69.578,79.604
16,72.495,55.173,56.884,68.661,59.795,65.416
17,79.742,70.297,72.942,77.976,71.149,84.74
18,42.186,45.138,48.503,50.52,49.719,63.048
19,39.635,33.135,35.078,40.91,34.695,42.13
20,83.837,80.013,80.717,79.404,82.937,74.037
21,97.473,92.853,99.023,92.873,97.273,90.053
22,60.305,58.895,59.795,72.414,58.43,72.785
23,50.64,46.092,55.025,56.342,47.365,47.79
24,64.346,67.605,78.585,69.317,71.498,72.745
25,56.611,74.036,74.945,82.851,78.105,91.193
26,36.788,52.975,40.109,44.246,35.682,44.484
27,71.206,64.926,69.903,62.856,65.206,63.163
28,97.188,82.906,91.059,84.838,91.188,81.071
29,98.03,87.299,95.366,82.41,94.43,90.862
30,89.392,87.783,89.186,89.437,85.544,88.413
31,49.122,47.872,49.065,42.397,46.128,47.679
32,71.949,83.395,72.854,65.319,78.571,64.192
33,45.957,42.572,44.012,46.357,48.667,40.567
34,80.789,71.166,72.689,67.269,74.529,48.72
35,114.287,101.638,107.597,91.167,112.617,82.734
36,90.512,78.268,89.962,64.842,82.754,76.763
37,108.184,97.328,106.974,67.521,108.16,92.8
38,74.898,66.313,67.893,72.113,69.782,55.224
39,78.1,95.197,86.525,104.716,85.266,78.988
40,56.001,66.733,68.71,78.018,60.325,70.862
41,46.002,42.555,47.597,43.687,48.26,45.132
42,74.54,55.484,70.526,68.335,72.025,59.228
43,70.505,66.368,71.477,70.423,70.65,60.388
44,56.749,92.171,71.277,59.802,59.023,81.641
45,38.339,49.909,45.604,39.547,38.957,48.368
46,91.86,64.81,89.1,87.696,88.743,62.645
47,72.833,69.233,61.328,75.403,84.728,83.36
