,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,14.0,14.0,14.0,14.0,14.0,14.0,14.4,14.3,14.3,14.2,15.8,15.8,15.4,15.4,15.4,15.1,15.1,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
1,17.0,15.4,14.8,14.6,14.5,14.5,14.6,14.5,14.5,14.5,15.8,15.8,15.8,15.4,15.4,15.4,15.1,15.1,15.1,15.1,15.1,14.8,15.4,15.4,15.1,15.1
2,20.3,17.0,15.8,15.4,14.8,14.6,14.6,14.5,14.5,14.6,14.8,14.6,14.6,14.6,14.6,14.6,15.1,15.1,15.1,15.1,15.1,15.1,14.8,14.8,14.8,14.8
3,17.0,15.4,14.8,14.6,14.5,14.4,14.3,14.5,14.3,14.8,14.8,14.6,14.6,14.6,14.6,14.6,15.4,15.4,15.4,15.4,15.4,15.4,15.1,15.1,15.1,15.1
4,31.3,20.3,17.8,17.0,16.3,15.8,15.4,15.1,14.8,14.8,14.6,14.6,14.5,14.6,14.6,15.1,15.1,15.1,15.1,14.8,14.8,14.8,14.8,14.8,14.8,14.8
5,14.6,14.4,14.3,14.2,14.2,16.3,15.8,15.4,15.4,15.1,14.8,14.8,14.6,14.6,14.6,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.1,15.1,14.8,14.8
6,15.4,14.8,14.5,14.4,14.3,15.4,15.4,14.8,14.8,14.6,14.8,14.6,14.6,14.6,14.8,14.6,14.6,14.6,14.6,14.6,14.8,14.8,14.8,14.8,14.8,14.8
7,14.5,14.2,14.1,14.2,14.6,14.6,14.5,14.5,14.5,14.4,14.6,14.6,14.5,15.4,15.4,15.4,15.1,15.1,15.1,15.1,15.1,15.1,14.8,14.8,15.1,15.1
8,14.0,14.6,14.5,14.3,14.5,14.5,14.4,14.4,15.1,14.8,14.8,14.6,14.6,15.1,15.1,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
9,14.0,14.5,14.3,14.3,14.3,14.2,14.3,14.3,17.0,16.3,15.8,15.8,15.4,15.4,15.4,15.1,15.1,14.8,14.8,14.8,14.8,14.8,15.1,15.1,14.8,14.8
10,14.0,14.2,14.1,24.5,22.1,20.3,18.9,17.8,17.0,17.0,16.3,15.8,15.8,15.4,15.4,15.4,15.1,15.1,15.1,15.1,15.1,15.1,14.8,14.8,14.8,14.8
11,14.6,14.3,14.2,17.0,15.8,15.4,15.4,15.1,14.8,14.6,14.6,14.8,14.8,14.8,14.8,14.6,14.6,14.6,14.6,14.6,15.1,15.1,14.8,14.8,14.8,14.8
12,14.8,14.5,14.3,14.3,14.2,14.4,14.3,14.3,14.3,14.5,14.4,15.8,15.8,15.4,15.4,15.4,15.4,15.1,15.1,15.1,15.1,15.1,14.8,14.8,14.8,14.8
13,36.3,22.1,20.3,17.8,17.0,16.3,15.8,15.4,15.4,15.1,14.8,14.8,14.6,14.6,14.6,14.6,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,15.1,15.1
