,0,1,2,3,4,5
0,14.0,14.0,14.0,14.0,14.0,14.0
1,17.0,14.3,16.3,14.6,14.8,16.3
2,20.3,17.0,15.4,14.5,18.9,18.9
3,17.0,14.2,14.8,14.8,15.8,15.8
4,31.3,16.3,15.8,17.8,20.3,20.3
5,14.6,14.2,14.0,14.0,14.1,14.0
6,15.4,14.3,14.6,14.6,14.0,14.0
7,14.5,17.0,22.1,92.8,14.8,22.1
8,14.0,14.3,15.8,14.5,15.1,14.6
9,14.0,42.7,18.9,15.8,14.3,14.8
10,14.0,14.5,14.2,14.1,14.0,14.0
11,14.6,14.0,14.0,14.5,14.6,14.6
12,14.8,14.8,14.0,14.4,14.8,14.8
13,36.3,144.6,50.9,31.3,2304.0,36.3
14,14.0,14.1,14.0,14.2,14.3,14.0
15,14.8,14.0,14.0,14.8,14.1,14.4
16,24.5,14.1,15.8,15.8,24.5,24.5
17,61.6,36.3,36.3,31.3,31.3,50.9
18,17.8,17.0,15.8,14.5,15.8,15.8
19,17.8,16.3,14.6,14.4,17.0,15.8
20,15.4,14.6,14.3,14.0,14.8,14.4
21,15.4,24.5,50.9,22.1,16.3,15.4
22,14.2,22.1,50.9,22.1,15.4,14.0
23,14.1,14.2,16.3,14.8,14.0,14.0
24,14.2,14.0,14.3,14.0,14.0,14.0
25,14.1,15.4,16.3,18.9,22.1,17.0
26,14.0,182.1,92.8,42.7,31.3,31.3
27,14.0,14.0,14.1,14.0,14.2,14.1
28,17.0,14.8,14.0,15.1,15.8,14.3
29,17.8,14.6,14.3,15.1,17.0,15.1
30,14.8,14.0,14.5,14.5,14.5,14.5
31,14.8,14.2,14.1,14.8,14.6,14.5
32,230.4,22.1,61.6,115.5,115.5,92.8
33,92.8,24.5,15.8,17.0,42.7,22.1
34,14.4,14.2,14.0,14.0,14.0,14.4
35,14.1,15.4,27.5,17.0,14.2,17.0
36,14.0,14.2,14.0,14.3,14.0,14.0
37,14.6,14.2,14.0,14.3,14.8,14.1
38,14.3,14.0,14.0,14.0,14.2,14.0
39,15.4,14.8,14.6,14.4,14.5,15.4
40,230.4,182.1,61.6,22.1,36.3,230.4
41,15.4,14.8,14.3,14.5,14.4,15.4
42,14.5,14.3,14.3,14.3,14.0,14.3
43,17.0,14.8,15.8,14.5,14.8,15.1
44,31.3,42.7,36.3,14.8,15.8,27.5
45,14.1,14.0,14.0,14.0,14.0,14.0
46,22.1,50.9,144.6,115.5,36.3,50.9
47,14.0,14.3,15.4,14.8,14.5,14.3
